"Name","Code","Country","L1","L2","L3","Lat","Lon","Image","URL"
"Peachtree Creek at Atlanta","aang1","US","Georgia",,,33.81944,-84.40778,"http://water.weather.gov/resources/hydrographs/aang1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=aang1&hydro_type=2 "
"Ocmulgee River at Abbeville","abbg1","US","Georgia",,,31.99667,-83.27917,"http://water.weather.gov/resources/hydrographs/abbg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=abbg1&hydro_type=2 "
"Flint River at Albany","abng1","US","Georgia",,,31.59417,-84.14417,"http://water.weather.gov/resources/hydrographs/abng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=abng1&hydro_type=2 "
"Middle Oconee River near Arcade","acdg1","US","Georgia",,,34.031667,-83.563333,"http://water.weather.gov/resources/hydrographs/acdg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acdg1&hydro_type=2 "
"Alcovy River above Covington","acyg1","US","Georgia",,,33.64,-83.77917,"http://water.weather.gov/resources/hydrographs/acyg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acyg1&hydro_type=2"
"Little River (SW Georgia) near Adel (SR 37)","adlg1","US","Georgia",,,31.155,-83.54361,"http://water.weather.gov/resources/hydrographs/adlg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=adlg1&hydro_type=2"
"Chipola River near Altha (CR 274)","altf1","US","Georgia",,,30.53389,-85.16528,"http://water.weather.gov/resources/hydrographs/altf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=altf1&hydro_type=2"
"Valley River at Andrews","anvn7","US","Georgia",,,35.20583,-83.81778,"http://water.weather.gov/resources/hydrographs/anvn7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=anvn7&hydro_type=2"
"Big Creek near Alpharetta","aphg1","US","Georgia",,,34.05056,-84.26944,"http://water.weather.gov/resources/hydrographs/aphg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=aphg1&hydro_type=2"
"Armuchee Creek near Armuchee","arcg1","US","Georgia",,,34.36083,-85.14028,"http://water.weather.gov/resources/hydrographs/arcg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=arcg1&hydro_type=2"
"Black Warrior River at Smith Dam","arka1","US","Georgia",,,33.94222,-87.10778,"http://water.weather.gov/resources/hydrographs/arka1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=arka1&hydro_type=2"
"Pea River near Ariton (US 231)","arta1","US","Georgia",,,31.59472,-85.78306,"http://water.weather.gov/resources/hydrographs/arta1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=arta1&hydro_type=2"
"Satilla River at Atkinson","atkg1","US","Georgia",,,31.22056,-81.8675,"http://water.weather.gov/resources/hydrographs/atkg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=atkg1&hydro_type=2"
"Limestone Creek near Athens (Capshaw)","atna1","US","Georgia",,,34.75167,-86.82306,"http://water.weather.gov/resources/hydrographs/atna1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=atna1&hydro_type=2"
"Savannah River below Augusta (Butler Creek)","augg1","US","Georgia",,,33.37361,-81.94306,"http://water.weather.gov/resources/hydrographs/augg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=augg1&hydro_type=2"
"Sweetwater Creek near Austell","ausg1","US","Georgia",,,33.77639,-84.61556,"http://water.weather.gov/resources/hydrographs/ausg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=ausg1&hydro_type=2"
"Satilla River near Waycross","aysg1","US","Georgia",,,31.23806,-82.32472,"http://water.weather.gov/resources/hydrographs/aysg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=aysg1&hydro_type=2"
"Yadkin River at Badin Lake","badn7","US","Georgia",,,35.42,-80.09583,"http://water.weather.gov/resources/hydrographs/badn7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=badn7&hydro_type=2"
"Blackwater River near Baker","bakf1","US","Georgia",,,30.83333,-86.73472,"http://water.weather.gov/resources/hydrographs/bakf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bakf1&hydro_type=2"
"Altamaha River near Baxley","baxg1","US","Georgia",,,31.93889,-82.35361,"http://water.weather.gov/resources/hydrographs/baxg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=baxg1&hydro_type=2"
"Broad River in NC/SC near Blacksburg","bbgs1","US","Georgia",,,35.12389,-81.58806,"http://water.weather.gov/resources/hydrographs/bbgs1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bbgs1&hydro_type=2"
"Burnt Corn Creek at HWY 41 NEAR BREWTON 1NW ","bcna1","US","Georgia",,,31.12972,-87.08722,"http://water.weather.gov/resources/hydrographs/bcna1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bcna1&hydro_type=2"
"Black Creek (SC) near Quinby","bcrs1","US","Georgia",,,34.24361,-79.745,"http://water.weather.gov/resources/hydrographs/bcrs1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=bcrs1&hydro_type=2"
"Choctawhatchee River near Bellwood (CR 45)","bela1","US","Georgia",,,31.15917,-85.78444,"http://water.weather.gov/resources/hydrographs/bela1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=bela1&hydro_type=2"
"Pee Dee River near Bennettsville","bens1","US","Georgia",,,34.60611,-79.78861,"http://water.weather.gov/resources/hydrographs/bens1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=bens1&hydro_type=2"
"Savannah River at Burton's Ferry","bfyg1","US","Georgia",,,32.93889,-81.50278,"http://water.weather.gov/resources/hydrographs/bfyg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=bfyg1&hydro_type=2"
"Flint River at Bainbridge (US 27)","bgeg1","US","Georgia",,,30.91139,-84.58,"http://water.weather.gov/resources/hydrographs/bgeg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=bgeg1&hydro_type=2"
"Big Wills Creek near Fort Payne","bgwa1","US","Georgia",,,34.43806,-85.76722,"http://water.weather.gov/resources/hydrographs/bgwa1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=bgwa1&hydro_type=2"
"Big Creek at (SR 87)","biga1","US","Georgia",,,31.48889,-86.05306,"http://water.weather.gov/resources/hydrographs/biga1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=biga1&hydro_type=2"
"Oconaluftee River at Birdtown","birn7","US","Georgia",,,35.46139,-83.35361,"http://water.weather.gov/resources/hydrographs/birn7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=birn7&hydro_type=2"
"French Broad River at Blantyre","blan7","US","Georgia",,,35.29917,-82.62389,"http://water.weather.gov/resources/hydrographs/blan7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=blan7&hydro_type=2"
"Pee Dee River at Blewett Falls Lake","blfn7","US","Georgia",,,34.98278,-79.87778,"http://water.weather.gov/resources/hydrographs/blfn7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=blfn7&hydro_type=2"
"Apalachicola River near Blountstown","blof1","US","Georgia",,,30.425,-85.03139,"http://water.weather.gov/resources/hydrographs/blof1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=blof1&hydro_type=2"
"Broad River in NC/SC at Blair","blrs1","US","Georgia",,,34.39444,-81.4,"http://water.weather.gov/resources/hydrographs/blrs1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=blrs1&hydro_type=2"
"Nottely River near Blairsville","blvg1","US","Georgia",,,34.845,-83.93861,"http://water.weather.gov/resources/hydrographs/blvg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=blvg1&hydro_type=2"
