Organisation,KV:cap_oid,Acronym,Type,Country,Website,Twitter,Comments
Abteilung Wasserhaushalt,2.49.0.0.40.1,,Government,AT,,,Met - 
Administration de l'Aéroport de Luxembourg,2.49.0.0.442.0,,Government,LU,,, - 
Administration de la Gestion de l'Eau,2.49.0.0.442.1,,Government,LU,,, - 
Administration of Hydrometeorology,2.49.0.0.795.0,,Government,TM,www.worldweather.org/111/c00212.htm,,Met - 
Afghan Meteorological Authority,2.49.0.0.4.0,,Government,AF,www.worldweather.org/115/m115.htm,, - 
Agence Nationale de la Météorologie et de Télédétection par Satellite,2.49.0.0.180.0,,Government,CD,www.meteo-congo-kinshasa.net/en/fichehtml/prevtemp.htm,,"Met, - By Presidential Ordinance, METTELSAT was created in 1991 from two services, the National Institute of Meteorology and the ERTS-Zaire Program (Studying of Earth Resources by Satellite). METTELSAT is under supervision of the Ministry of Transport and Communications"
Agencia Estatal de Meteorología,2.49.0.0.724.0,,Government,ES,www.worldweather.wmo.int/083/m083.htm,,"Met - The Statute of the State Meteorological Agency of Spain (AEMET) provides a detailed description of the functions and duties to be performed. Specifically, it establishes that AEMET is the organisation responsible for the development, provision and dissemination of weather information and forecasts of general interest to citizens throughout the country, and issuing warnings and forecasts of weather phenomena that may affect the safety of persons and properties."
Alberta Emergency Management Agency,2.49.0.0.124.2,,Government,CA, ,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Transport,Infra,CBRNE,Other, - The Alberta Emergency Management Agency leads the coordination, collaboration and cooperation of all organizations involved in the prevention, preparedness and response to disasters and emergencies. This ensures the delivery of vital services during a crisis. These organizations include government, industry, municipalities and first responders. The Agency is accountable and responsible to the Government of Alberta, to Albertans, to their communities and to industry for the protection of people, their property and the environment from the effects of emergency events. emergencyalert.alberta.ca/aeapublic/feed.atom (Government of Alberta, Ministry of Municipal Affairs)"
Algeria Office National de la Météorologie,,,Government,DZ,www.worldweather.org/122/m122.htm,,Met - 
Amt der Vorarlberger Landesregierung. Wasserwirtschaft,2.49.0.0.40.5,,Government,AT,www.vorarlberg.at/hochwasser/,,Met - 
Anguilla Disaster Management,,,Government,AI,,,
Antigua and Barbuda Meteorological Services,,,Government,AG,www.worldweather.org/041/c00151.htm,,"Geo,Met, - As agreed under Caribbean Meteorological Organization(CMO) agreements"
Argentina Servicio Meteorologico Nacional,,,Government,AR,www.smn.gov.ar,,"Met,Safety,Fire,Health,Env,CBRNE - www.smn.gov.ar/?mod=feeds&id=2"
Armenian State Hydrometeorological and Monitoring Service,2.49.0.0.51.0,,Government,AM,www.worldweather.org/018/m018.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Aruba Department of Disaster Management,,,Government,AW,,,
"Badan Meteorologi, Klimatologi, dan Geofisika",,BKMG,Government,ID,www.worldweather.org/043/m043.htm,,"Met - No law establishing the Meteorological Service as of year 2000 Indonesia: InaTEWS BMKG, Earthquake with magnitude..."
Bahamas Department of Meteorology,,,Government,BS,www.worldweather.org/025/c00097.htm,,"Met,Health,Env,CBRNE, - Meteorological Service is the exclusive agent for issuing warnings on hurricanes, tropical storms and other weather conditions that are likely to give rise to floods, surges and wind damage."
Bahrain Meteorological Service,2.49.0.0.48.0,,Government,BH,www.bahrainweather.gov.bh,,"Geo,Met, - METEOROLOGICAL WEATHER , radioactive monitoring"
Bangladesh Meteorological Department,2.49.0.0.50.0,,Government,BD,www.worldweather.org/141/m141.htm,,Met - 
Bangladesh Water Development Board,2.49.0.0.50.1,BWDB,Government,BD,,,Met - 
Barbados Meteorological Services,,,Government,BB,,,Met - 
Belarus Department of Hydrometeorology,,,Government,BY,www.worldweather.org/106/c00205.htm,,"Met,Fire,Health,Env,CBRNE - "
Belize National Meteorological Service,,,Government,BZ,www.hydromet.gov.bz,,"Geo,Met, - "
Bermuda Weather Service,2.49.0.0.826.3,,Government,BM,www.weather.bm/,,"Geo,Met,Safety,Security,Rescue,Env -  "
Bolivia Servicio Nacional de Meteorología e Hidrología,,,Government,BO,,,Met - 
Botswana Meteorological Services,2.49.0.0.72.0,,Government,BW,,,"Met,Health,Env,CBRNE, - As one of the basic functions of the National Meteorological service, the Draft Issues Paper of 28 June 2004, indicates: The exclusive responsibility for the issue of warning of gales, storms and other weather conditions likely to endanger life and property, including weather conditions likely to give rise to floods and storm surges. A Cabinet Memorandum (2003) sought to establish the National Meteorological Service including the clause: Designation of the Director of Meteorological Services as the official national authority and authoritative voice on weather and climate."
Brazilian Instituto Nacional de Meteorologia,2.49.0.0.76.0,INMET,Government,BR,www.worldweather.org/136/m136.htm,,Met - alert-as.inmet.gov.br/cap_12/rss/alert-as.rss
British Virgin Islands Department of Disaster Management,2.49.0.0.600.0,,Government,VG,,,"Geo,Met,Fire,Health,Env,CBRNE - "
British Virgin Islands Met Office,2.49.0.0.634.0,,Government,VG,www.metoffice.gov.uk/,,"Geo,Met,Safety,Security,Fire,Health,Env,Transport,Infra,CBRNE,, -  "
Brunei Meteorological Service,2.49.0.0.96.0,,Government,BN,www.worldweather.org/023/c00095.htm,,Met - 
Bundesamt für Bevölkerungsschutz,2.49.0.0.36.0,,Government,CH,www.naz.ch,,"CBRNE - Federal NBCN Operations Ordinance, Federal Alerting Ordinance"
Bureau of Meteorology,2.49.0.0.484.0,,Government,AU,www.worldweather.org/185/m185.htm,,"Geo,Met,Fire,Health,Env,CBRNE - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Burkina Faso Direction de la Météorologie,2.49.0.0.384.0,,Government,BF,,,"Met,Fire,Env - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings"
Cabinet du Ministre des Transports,2.49.0.0.184.0,,Government,GA,www.worldweather.org/128/c00255.htm,,"Geo,Met, - "
Cambodia Department of Meteorology,2.49.0.0.64.0,DOM,Government,KH,www.worldweather.org/145/m145.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Cameroon Direction de la Météorologie Nationale,2.49.0.0.266.0,,Government,CM,www.worldweather.org/055/c00257.htm,,Met - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings.
Caribbean Meteorological Organization,2.49.0.0.826.2,,Government,KY,,, - 
Cayman Islands National Weather Service,2.49.0.0.136.0,,Government,KY,www.weather.gov.ky/,,"Geo,Met,Env,CBRNE, - National Weather Service Law"
Central African Republic,2.49.0.0.796.0,,Government,CF,,, - 
Central Institute for Meteorology and Geodynamics,2.49.0.0.40.0,,Government,AT,www.worldweather.org/006/m006.htm,,"Geo,Met,Fire - "
Centre for Ecology and Hydrology,2.49.0.0.826.1,,Government,GB,,,Met - 
China Meteorological Administration,2.49.0.0.156.0,,Government,CN,www.worldweather.org/001/m001.htm,,"Geo,Met,Fire,Env, - The law provides exclusive powers to CMA: 'The state applies a unified system for the issuance of public meteorological forecasts and severe weather warnings. Meteorological and stations subordinate to the competent meteorological departments at different levels shall, in compliance with their functions and duties, issue to the community, public meteorological forecasts and severe weather warnings … No other organization or individual may issue to the community such forecasts and warnings'."
Civil Defence Commission,2.49.0.0.144.0,,Government,GY,,,"Safety,CBRNE,Other - "
Civil Protection and Disaster Relief Administration of the Republic of Slovenia - URSZR,2.49.0.0.800.0,URSZR,Government,SI,www.sos112.si/,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other -  Regulation on the Organisation and Operation of the Monitoring, Notification and Alarming System (Official Gazette of the Republic of Slovenia, 45/97)C"
Comoros Direction de la Météorologie Nationale,2.49.0.0.116.0,,Government,KM,www.worldweather.org/058/c00311.htm,,Met - This is a test to see if the device works CAP. Certainly there were precipitation without consequences for now
Congo Direction de la Météorologie,2.49.0.0.562.0,,Government,CG,www.meteo-congo-brazza.net/,,"Geo,Met,Health,Transport,Infra - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings. we use chatty bittle"
Cook Islands Meteorological Service,2.49.0.0.104.0,,Government,CK,,,"Geo,Met, - "
Cote d'Ivoire Direction de la Météorologie Nationale,2.49.0.0.710.1,,Government,CI,,,"Met,Fire, - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings"
Council for Renewable Natural Resources Research,2.49.0.0.270.0,,Government,BT,www.worldweather.org/191/m191.htm,,Met - 
Croatia: Državni hidrometeorološki zavod,,DHMZ,Government,HR,,,
Cyprus Meteorological Service,2.49.0.0.276.0,,Government,CY,www.worldweather.org/104/m104.htm,,"Met,Other, - The Meteorological Service of Cyprus formally issues warnings for Volcanic Ash and Radiological Hazards in addition to the meteorological category."
Czech Hydrometeorological Institute,2.49.0.0.203.0,,Government,CZ,www.worldweather.org/172/m172.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Danish Meteorological Institute,2.49.0.0.508.1,,Government,DK,www.worldweather.org/173/m173.htm,,"Met,Env,CBRNE - "
Department of Disaster Management and Emergencies,2.49.0.0.796.0,,Government,TC,,,"Department,of,Disaster,Management,and,Emergencies -  Geo Met Fire Health Env CBRNE"
Department of Hydrology and Meteorology,2.49.0.0.524.0,,Government,NP,www.worldweather.org/031/c00114.htm,,Met - 
Department of Hydromet Services,2.49.0.0.64.1,,Government,BT,,,"Geo,Met,Env - Based on Observation, WRF Model and real time data collection"
Department of Water Affairs and Forestry,2.49.0.0.152.0,,Government,ZA,,,"Geo,Met, - "
Department of Water Resources,2.49.0.0.858.0,,Government,GM,www.worldweather.org/036/c00140.htm,,Met - 
Deutscher Wetterdienst,2.49.0.0.276.0,,Government,DE,www.worldweather.org/016/m016.htm,,"Met - Under 'Duties and Competences', the Deutscher Wetterdienst is mandated with 'issuance of official warnings of weather occurrences that could become a danger for public safety and order, especially concerning the impending danger of floods'. See www.dwd.de or www.wettergefahren.de No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Direcção-General dos Recursos Hidrico,2.49.0.0.624.1,,Government,GW,,,Met - 
Direcccion Nacional de Aqua,2.49.0.0.508.1,,Government,MZ,,,Met - 
Dirección de Meteorología e Hidrología,2.49.0.0.600.0,,Government,PY,www.worldweather.org/138/m138.htm,,Met - 
Dirección de Meteorología e Hidrología - Ministerio del Ambiente,2.49.0.0.862.1,,Government,VE,www.worldweather.org/135/m135.htm,,Met - 
Dirección General de Aguas,2.49.0.0.686.0,,Government,CL,,,Met - 
Direccion Meteorologica de Chile,2.49.0.0.120.0,,Government,CL,www.worldweather.org/028/m028.htm,,"Geo,Met,Fire,, - "
Direction de l'Hydraulique Rurale et du Réseau Hydrographique National,2.49.0.0.152.1,,Government,SN,,, - 
Direction de la Defense et de la Protection Civile,2.49.0.0.258.1,,Government,PF,,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other - In French Polynesia, the direction de la defense et de la protection civile is in charge of all hazards (Meteo-France is advisor for MET hazards). It has the responsibility to prevent and manage natural and industrial hazards at sea, land or air, also in charge of civil defence (in liaise with armed forces) - including transports activities."
Direction de la Meteorologie Nationale,2.49.0.0.768.0,,Government,SN,www.worldweather.org/048/c00244.htm,,"Met,Fire,Env - "
Direction des Ressources en Eau et de la Météorologie,2.49.0.0.148.0,,Government,TD,www.worldweather.org/088/m088.htm,,Met - 
Direction Générale de la Météorologie,2.49.0.0.450.0,,Government,MG,www.worldweather.org/004/m004.htm,,"Geo,Met, - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Direction Générale de la Météorologie Nationale,2.49.0.0.768.249007680,,Government,TG,,,Met - dgmn
Direction Nationale de l'Hydraulique,2.49.0.0.466.1,,Government,ML,,, - 
Direction Nationale de la Gestion des Ressources en Eau,2.49.0.0.788.1,,Government,TN,,,Met - 
Direction Nationale de la Météorologie,2.49.0.0.504.0,,Government,GN,www.worldweather.org/132/m132.htm,,Met - 
Direction Nationale de la Météorologie du Mali,2.49.0.0.466.0,,Government,ML,www.worldweather.org/034/m034.htm,,"Met,Env, - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings"
Directorate for Water Development,2.49.0.0.800.1,,Government,UG,,,Met - 
Directorate General of Meteorology and Air Navigation,2.49.0.0.512.0,,Government,OM,www.worldweather.org/030/m030.htm,,"Geo,Met, - "
Dirrecão Nacional Meteorologia e Geofisica,2.49.0.0.626.0,,Government,TL,,, - 
Disaster Management Anguilla,2.49.0.0.660.0,,Government,AI,www.antiguamet.com/,,"Geo,Met,Fire,Health,Env,CBRNE - https://209.59.120.36/capserver/index.atom"
Disaster Management Coordination Agency,2.49.0.0.500.0,,Government,MS,,,"Geo,Met,Fire,Health,Env,CBRNE - "
Dominica Meteorological Services,2.49.0.0.212.0,,Government,DM,www.worldweather.org/134/c00287.htm,,Met - 
Dominican Republic Oficina Nacional de Meteorología,2.49.0.0.212.0,,Government,DO,www.worldweather.org/132/m132.htm,,"Geo,Met, - "
Egyptian Meteorological Authority,2.49.0.0.818.0,,Government,EG,www.worldweather.org/059/m059.htm,,"Met,Env, - Mandated the process of broadcasting, exchange and distribution of meteorological information but no express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Environment Canada,,,Government,CA,,,
Environmental Protection Agency,2.49.0.0.840.3,EPA,Government,US, ,,"Env – feeds.enviroflash.info/cap/aggregate.xml , Air Quality Alerts"
Eritrea Civil Aviation Authority,2.49.0.0.268.0,,Government,ER,www.worldweather.org/042/m042.htm,,Met - 
Estonian Meteorological and Hydrological Institute,2.49.0.0.233.0,,Government,EE,www.worldweather.org/039/c00149.htm,,"Met,Fire, -  https://www.ilmateenistus.ee/?lang=en"
Ethiopia National Meteorological Agency,,,Government,ET,www.worldweather.org/060/m060.htm,,"Met,Env, - Meteorological office mandated to give advance warnings on adverse weather conditions; disseminate advice and educational information through the mass media; and provide, upon request, meteorological services to any person. No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
EUMETNET,,,Government,FJ,,,Met - 
"Federal Emergency Management Agency, Integrated Public Alert and Warning System",2.49.0.0.840.4,FEMA,Government,US,,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other -  "
Federal Hydrometeorological Institute of Federation of Bosnia and Herzegovina,2.49.0.0.70.0,,Government,BA,www.fhmzbih.gov.ba/,,"Geo,Met,Fire - In FBiH the duties and position of the Federal Hydrometeorological Institute are regulated by the: • The Law on Federal Ministries and other authorities of the Federal Administration (Official Gazette FBiH, 58/02, 19/03, 38/05, 2/06, 8/06, 61/06 i 52/09); • The Law on Hydro-Meteorological affairs of interest to Republic Bosnia and Herzegovina (Official Gazette RBiH 10/76). Law on Administration of the Federation of Bosnia and Herzegovina (Official Gazette of FBiH, No. 35/05 The Law on Civil Service of the Federation of Bosnia and Herzegovina (29/03, 23/04, 39/04, 54/04, 67/05 i 8/06) Law on Employees in the Civil Service of the Federation of Bosnia and Herzegovina (Official Gazette of FBiH, No. 49/05)"
Federal Institute of Hydrology,2.49.0.0.276.1,,Government,DE,,,Met - 
Federal Office for Civil Protection,2.49.0.0.756.4,,Government,CH,www.naz.ch,,"CBRNE - Federal NBCN Operations Ordinance, Federal Alerting Ordinance"
