"L1","L2",,"Demographic","Unit","Date","Value","Country","Source","Source URL"
"Southern Province","Bo District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",40.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",15.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",54.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",75.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",8.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",84,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Population Total","Persons","1/1/2004 12:00:00 AM",300256,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",152485,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",147771,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District",,"Number of households","Number","1/1/2004 12:00:00 AM",53101,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District","Bo Town","Average Household Size","Persons","1/1/2004 12:00:00 AM",6.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District","Bo Town","Population Total","Persons","1/1/2004 12:00:00 AM",148705,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District","Bo Town","Population, Female Total","Persons","1/1/2004 12:00:00 AM",76931,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District","Bo Town","Population, Male Total","Persons","1/1/2004 12:00:00 AM",71774,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bo District","Bo Town","Number of households","Number","1/1/2004 12:00:00 AM",22699,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",43.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",15,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",51.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
