"L1","Demographic","Unit","Date","Value","Country","Source","Source URL"
"Bomi","Annual GrowthRate (%)","%","1/1/2008 12:00:00 AM",0.9,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Area (square miles)","square miles","1/1/2008 12:00:00 AM",750,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Average Household Size","Persons","1/1/2008 12:00:00 AM",3.4,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population Density","persons/area","1/1/2008 12:00:00 AM",109,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population Total","Persons","1/1/2008 12:00:00 AM",84119,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 0-4 years - Female","Persons","1/1/2008 12:00:00 AM",7490,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 0-4 years - Male","Persons","1/1/2008 12:00:00 AM",7759,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 0-4 years - Total","Persons","1/1/2008 12:00:00 AM",15249,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 10-14 years - Female","Persons","1/1/2008 12:00:00 AM",4048,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 10-14 years - Male","Persons","1/1/2008 12:00:00 AM",4769,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 10-14 years - Total","Persons","1/1/2008 12:00:00 AM",8817,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 15-19 years - Female","Persons","1/1/2008 12:00:00 AM",3474,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 15-19 years - Male","Persons","1/1/2008 12:00:00 AM",3575,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 15-19 years - Total","Persons","1/1/2008 12:00:00 AM",7049,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 20-24 years - Female","Persons","1/1/2008 12:00:00 AM",4156,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 20-24 years - Male","Persons","1/1/2008 12:00:00 AM",3275,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 20-24 years - Total","Persons","1/1/2008 12:00:00 AM",7431,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 25-29 years - Female","Persons","1/1/2008 12:00:00 AM",3421,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 25-29 years - Male","Persons","1/1/2008 12:00:00 AM",3460,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 25-29 years - Total","Persons","1/1/2008 12:00:00 AM",6881,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 30-34 years - Female","Persons","1/1/2008 12:00:00 AM",2444,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 30-34 years - Male","Persons","1/1/2008 12:00:00 AM",2561,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 30-34 years - Total","Persons","1/1/2008 12:00:00 AM",5005,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 35-39 years - Female","Persons","1/1/2008 12:00:00 AM",2416,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 35-39 years - Male","Persons","1/1/2008 12:00:00 AM",2536,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 35-39 years - Total","Persons","1/1/2008 12:00:00 AM",4952,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 40-44 years - Female","Persons","1/1/2008 12:00:00 AM",1677,"LR","Open Data for Africa","http://opendataforafrica.org/"
"Bomi","Population, 40-44 years - Male","Persons","1/1/2008 12:00:00 AM",2058,"LR","Open Data for Africa","http://opendataforafrica.org/"
