Type,Name,Comments
"Caregiving and Babysitting","Care - Babysitter"
"Caregiving and Babysitting","Care - Family Caregiver"
"Caregiving and Babysitting","Care - Nurse Assistant"
"Driving License","Driver - Car"
"Driving License","Driver - Truck"
"First Aid","First Aid - Administering Emergency Oxygen"
"First Aid","First Aid - Bloodborne Pathogens"
"First Aid","First Aid - CPR"
"First Aid","First Aid - CPR/AED for Professional Rescuers and Health Care Providers"
"First Aid","First Aid - Emergency Medical Response"
Languages,"Translator - Chinese, Spoken"
Languages,"Translator - Chinese, Written"
Languages,"Translator - English, Spoken"
Languages,"Translator - English, Written"
Languages,"Translator - Indonesian, Spoken"
Languages,"Translator - Indonesian, Written"
Languages,"Translator - Japanese, Spoken"
Languages,"Translator - Japanese, Written"
Languages,"Translator - Khmer, Spoken"
Languages,"Translator - Khmer, Written"
Languages,"Translator - Korean, Spoken"
Languages,"Translator - Korean, Written"
Languages,"Translator - Tagalog, Spoken"
Languages,"Translator - Tagalog, Written"
Languages,"Translator - Thai, Spoken"
Languages,"Translator - Thai, Written"
Languages,"Translator - Vietnamese, Spoken"
Languages,"Translator - Vietnamese, Written"
Trainer,"Trainer"
Other,Other,To be entered manually
