Inject,Series,Title,Body,Country,L1,L2,L3,Lat ,Lon,Comments,Organisation,Author,Date,Attachment,Events,Expired,MH Notes,
1,Alert,Severe Thunderstorm Warning,"A severe weather risk will exist across the Indiana and Northwest Ohio mainly late this afternoon and tonight. Storm is capable of producing heavy rains, strong winds, large hail and tornados. The likelihood of tornado activity is high. For additional information and the latest updates, please visit http://www.spc.noaa.gov/.",US,Indiana,,,,,,National Weather Service,,2014-07-14 07:30,,,,,
1,Alert,Severe Thunderstorm Warning,"A severe weather risk will exist across the Indiana and Northwest Ohio mainly late this afternoon and tonight. Storm is capable of producing heavy rains, strong winds, large hail and tornados. The likelihood of tornado activity is high. For additional information and the latest updates, please visit http://www.spc.noaa.gov/.",US,Ohio,,,,,,National Weather Service,,2014-07-14 07:30,,,,,
1,Alert,Thunderstorm Alert,Please acknowledge and initiate preparedness activities,US,,,,,,,Crossroads Division,,2014-07-14 09:30,,,,According to the scenario - this should be sent to the 4 chapters…,
2,Activity,Initiating preparedness activities,Teams in the area have been alerted and put on standby ,,,,,,,,Hancock County,,,,,,Actual RC chpater - could be a tweet from @HancockRedCross,
2,Activity,,Alert acknowledged,,,,,,,,American Red Cross of Northwest Ohio,,,,,,Actual RC chpater,
2,Activity,,Emergency Teams on Standby,,,,,,,,American Red Cross of Northeast Indiana,,,,,,Actual RC chpater,
2,Tweet,,Tornado Warning for Putnam and Findlay Counties in OH until 8:00 PM EDT http://www.weather.com/weather/alerts…,,,,,,,,,@TWCBreaking,,,,,,
2,Activity,,Preparing for Storm,,,,,,,,West Central Ohio,,,,,,Actual RC chpater,
2,Alert,Tracking Thunderstorm,Storm expected between 4pm-6pm,US,Ohio,,,,,,Ohio Emergency Management Agency,,2014-07-14 12:30,,,,,
2,Alert,Monitoring Storm,Please take proper precaution and await further notice.,US,Indiana,,,,,,Indiana Department of Homeland Security ,,2014-07-14 12:30,,,,,
3,Activity,,Shelter Activated,US,Ohio,Hancock,Findlay,41.04471497,-83.65097638,,Hancock County,,2014-07-14 13:30,,,,,
3,Activity,,Local Staff on Standby,US,Ohio,Hancock,Findlay,41.04471497,-83.65097638,,Hancock County,,2014-07-14 13:30,,,,,
3,Activity,,Local Response Team on Alert,US,Ohio,Hancock,Findlay,41.04471497,-83.65097638,,Hancock County,,2014-07-14  13:30:00,,,,,
3,Activity,,Partners Notified,US,Ohio,Hancock,Findlay,41.04471497,-83.65097638,,Hancock County,,2014-07-14  13:30:00,,,,,
3,Activity,,All Local Schools Notified,US,Ohio,Lucas,Toledo,41.67746744,-83.61874223,,American Red Cross of Northwest Ohio,,2014-07-14  14:10:00,,,,,
3,Activity,,Emergency Teams Moblized,US,Ohio,Lucas,Toledo,41.67746744,-83.61874223,,American Red Cross of Northwest Ohio,,2014-07-14  14:20:00,,,,,
3,Activity,,Local Salvation Army Chapter contacted,US,Indiana,Allen,Fort Wayne,41.11853107,-85.12372756,,American Red Cross of Northeast Indiana,,2014-07-14  14:30:00,,,,,
3,Activity,,"Emergency Response Vehicle check complete - Gas, Oil & Engine Start",US,Indiana,Allen,Fort Wayne,41.11853107,-85.12372756,,American Red Cross of Northeast Indiana,,2014-07-14  14:40:00,,,,,
3,Activity,,Emergency rations moved out of storage,US,Ohio,Allen,Lima,40.73331023,-84.11918468,,West Central Ohio,,2014-07-14  15:00:00,,,,,
4,Report,Red Cross Report,"Heavy rains, High winds, On lockdown waiting for Tornado warning to pass",US,Ohio,Hancock,Findlay,41.04471497,-83.65097638,,Hancock County,,2014-07-14  15:00:00,,,,,
4,Report,County Report,Seek refuge in basement / tornado shelter immediately,,,,,,,,Ohio Emergency Management Agency,,2014-07-14  16:14:00,,,,,
4,Report,County Report,Tornado Warning in Effect. Stay indoors away from windows,,,,,,,,Indiana Department of Homeland Security ,,2014-07-14  17:12:00,,,,,
4,Tweet,,#CrazyWeather! Parents are making me go to the basement #Lame #Tornado,US,Ohio,,"41.015930 N, 84.294104 W",41.015930,84.294104,,,@OhioKid01,2014-07-14  15:00:00,,,,,Cloverdale A2
4,Tweet,,Looks like it could be #Tornado weather,US,Ohio,,"41.107051 N, 83.790793 W",41.107051,83.790793,,,@MattSpears,2014-07-14  16:14:00,,,,,Just out of way
4,Tweet,,#OMG I just saw a #Tornado,US,Ohio,,"41.053222 N, 83.661017 W",41.053222,83.661017,,,@FarmGirl99,2014-07-14  17:12:00,,,,,Findlay
4,Alert,,"Tornado touchdown in an open field, just north of the intersection of Illinois Route 9 and county road 86 North. The tornado was on the ground for a 5 minutes for moving out of sight travelling West.",US,Ohio,,"41.043901 N, 83.722815 W",41.043901,83.722815,,Findlay Fire Department,,2014-07-14  17:32:00,,,,,Touch down
