OID,Organisation,Country,Feed URL,Forecast URL,Authorization
2.49.0.0.4.0,Afghan Meteorological Authority,AF,,http://www.worldweather.org/115/m115.htm,
2.49.0.0.8.0,Hydrometeorological Institute,AL,,,
2.49.0.0.12.0,Office National de la Météorologie,DZ,,http://www.worldweather.org/122/m122.htm,
2.49.0.0.24.0,Instituto Nacional de Hidrometeorología e Geofísica,AO,,http://www.worldweather.org/129/c00261.htm,
2.49.0.0.660.0,Disaster Management Anguilla,AI,https://209.59.120.36/capserver/index.atom,http://www.antiguamet.com/,
2.49.0.0.28.0,Meteorological Services,AG,,http://www.worldweather.org/041/c00151.htm,As agreed under Caribbean Meteorological Organization(CMO) agreements
2.49.0.0.32.0,Servicio Meteorologico Nacional,AR,http://www.smn.gov.ar/?mod=feeds&id=2,http://www.smn.gov.ar,
2.49.0.0.32.1,Instituto Nacional del Agua,AR,,http://www.ina.gov.ar/alerta/index.php,
2.49.0.0.32.2,Servicio de Hidrografía Naval - Ministerio de Defensa,AR,,www.hidro.gov.ar,
2.49.0.0.51.0,Armenian State Hydrometeorological and Monitoring Service,AM,,http://www.worldweather.org/018/m018.htm,
2.49.0.0.36.0,Bureau of Meteorology,AU,,http://www.worldweather.org/185/m185.htm,No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings.
2.49.0.0.36.1,Hydrological Services Program,AU,,,
2.49.0.0.40.0,Central Institute for Meteorology and Geodynamics,AT,,http://www.worldweather.org/006/m006.htm,
2.49.0.0.40.1,Abteilung Wasserhaushalt,AT,,,
2.49.0.0.40.5,Amt der Vorarlberger Landesregierung. Wasserwirtschaft,AT,,http://www.vorarlberg.at/hochwasser/,
2.49.0.0.40.6,Hydrographischer Dienst Tirol,AT,,http://www.tirol.gv.at/buerger/sicherheit/wasserkreislauf/,
2.49.0.0.31.0,Hydrometeorological Institute of the Ministry of Ecology and Natural Resources,AZ,,http://www.worldweather.org/007/m007.htm,
2.49.0.0.44.0,Department of Meteorology,BS,,http://www.worldweather.org/025/c00097.htm,"Meteorological Service is the exclusive agent for issuing warnings on hurricanes, tropical storms and other weather conditions that are likely to give rise to floods, surges and wind damage."
2.49.0.0.48.0,Bahrain Meteorological Service,BH,,www.bahrainweather.gov.bh,"METEOROLOGICAL WEATHER , radioactive monitoring"
2.49.0.0.50.0,Bangladesh Meteorological Department,BD,,http://www.worldweather.org/141/m141.htm,
2.49.0.0.50.1,Bangladesh Water Development Board (BWDB),BD,,,
2.49.0.0.52.0,Meteorological Services,BB,,,
2.49.0.0.112.0,Department of Hydrometeorology,BY,,http://www.worldweather.org/106/c00205.htm,
2.49.0.0.56.0,Institut Royal Météorologique,BE,,http://www.worldweather.org/053/m053.htm,No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings.
2.49.0.0.84.0,National Meteorological Service,BZ,,http://www.hydromet.gov.bz,
2.49.0.0.204.0,Service Météorologique National,BJ,,http://www.worldweather.org/170/c00259.htm,
2.49.0.0.64.0,Council for Renewable Natural Resources Research,BT,,http://www.worldweather.org/191/m191.htm,
2.49.0.0.64.1,Department of Hydromet Services,BT,,,"Based on Observation, WRF Model and real time data collection"
2.49.0.0.68.0,Servicio Nacional de Meteorología e Hidrología,BO,,,
2.49.0.0.70.0,Federal Hydrometeorological Institute of Federation of Bosnia and Herzegovina,BA,,http://www.fhmzbih.gov.ba/,"In FBiH the duties and position of the Federal Hydrometeorological Institute are regulated by the: â€¢ The Law on Federal Ministries and other authorities of the Federal Administration (Official Gazette FBiH, 58/02, 19/03, 38/05, 2/06, 8/06, 61/06 i 52/09); â€¢ The Law on Hydro-Meteorological affairs of interest to Republic Bosnia and Herzegovina (Official Gazette RBiH 10/76). Law on Administration of the Federation of Bosnia and Herzegovina (""Official Gazette of FBiH"", No. 35/05 The Law on Civil Service of the Federation of Bosnia and Herzegovina (29/03, 23/04, 39/04, 54/04, 67/05 i 8/06) Law on Employees in the Civil Service of the Federation of Bosnia and Herzegovina (""Official Gazette of FBiH"", No. 49/05)"
