Organisation,Type,Facility,Name
Ministry of Health,Ambulance,Bayrampaşa 1,Bayrampaşa 1
Ministry of Health,Ambulance,Bayrampaşa 2,Bayrampaşa 2
Ministry of Health,Ambulance,Bayrampaşa 3,Bayrampaşa 3
Ministry of Health,Ambulance,Beşiktaş 1,Beşiktaş 1
Ministry of Health,Ambulance,Beşiktaş 2,Beşiktaş 2
Ministry of Health,Ambulance,Beşiktaş 3,Beşiktaş 3
Ministry of Health,Ambulance,Beyoğlu 1,Beyoğlu 1
Ministry of Health,Ambulance,Beyoğlu 2/3,Beyoğlu 2
Ministry of Health,Ambulance,Beyoğlu 2/3,Beyoğlu 3
Ministry of Health,Ambulance,Eyüp 1,Eyüp 1
Ministry of Health,Ambulance,Eyüp 2,Eyüp 2
Ministry of Health,Ambulance,Eyüp 3,Eyüp 3
Ministry of Health,Ambulance,Eyüp 4,Eyüp 4
Ministry of Health,Ambulance,Fatih 1,Fatih 1
Ministry of Health,Ambulance,Fatih 2 / 14,Fatih 2
Ministry of Health,Ambulance,Fatih 2 / 14,Fatih 14
Ministry of Health,Ambulance,Fatih 5,Fatih 5
Ministry of Health,Ambulance,Fatih 6,Fatih 6
Ministry of Health,Ambulance,Fatih 11,Fatih 11
Ministry of Health,Ambulance,Fatih 10,Fatih 10
Ministry of Health,Ambulance,GOP 1,GOP 1
Ministry of Health,Ambulance,GOP 2,GOP 2
Ministry of Health,Ambulance,GOP 3/5,GOP 3
Ministry of Health,Ambulance,GOP 3/5,GOP 5
Ministry of Health,Ambulance,GOP 4,GOP 4
Ministry of Health,Ambulance,Güngören 1/4,Güngören 1
Ministry of Health,Ambulance,Güngören 1/4,Güngören 4
Ministry of Health,Ambulance,Güngören 2,Güngören 2
Ministry of Health,Ambulance,Güngören 3,Güngören 3
Ministry of Health,Ambulance,Kağıthane 1/5,Kağıthane 1
Ministry of Health,Ambulance,Kağıthane 1/5,Kağıthane 5
Ministry of Health,Ambulance,Kağıthane 2,Kağıthane 2
Ministry of Health,Ambulance,Kağıthane 3,Kağıthane 3
Ministry of Health,Ambulance,Kağıthane 4,Kağıthane 4
Ministry of Health,Ambulance,Sarıyer 1,Sarıyer 1
Ministry of Health,Ambulance,Sarıyer 2,Sarıyer 2
Ministry of Health,Ambulance,Sarıyer 3,Sarıyer 3
Ministry of Health,Ambulance,Sarıyer 4,Sarıyer 4
Ministry of Health,Ambulance,Sultangazi 1,Sultangazi 1
Ministry of Health,Ambulance,Sultangazi 2,Sultangazi 2
