Organisation,Type,Name,Country,L1,L2,Lon,Lat
Ministry of Health,Ambulance Station,Bayrampaşa 1,TR,Istanbul,Bayrampaşa,28.913677,41.047688
Ministry of Health,Ambulance Station,Bayrampaşa 2,TR,Istanbul,Bayrampaşa,28.887947,41.06326
Ministry of Health,Ambulance Station,Bayrampaşa 3,TR,Istanbul,Bayrampaşa,28.914013,41.030097
Ministry of Health,Ambulance Station,Beşiktaş 1,TR,Istanbul,Beşiktaş,29.034233,41.074601
Ministry of Health,Ambulance Station,Beşiktaş 2,TR,Istanbul,Beşiktaş,29.039435,41.089794
Ministry of Health,Ambulance Station,Beşiktaş 3,TR,Istanbul,Beşiktaş,29.008178,41.052006
Ministry of Health,Ambulance Station,Beyoğlu 1,TR,Istanbul,Beyoğlu,28.97083,41.033891
Ministry of Health,Ambulance Station,Beyoğlu 2/3,TR,Istanbul,Beyoğlu,28.985854,41.036974
Ministry of Health,Ambulance Station,Eyüp 1,TR,Istanbul,Eyüp,28.930503,41.047863
Ministry of Health,Ambulance Station,Eyüp 2,TR,Istanbul,Eyüp,28.940417,41.060977
Ministry of Health,Ambulance Station,Eyüp 3,TR,Istanbul,Eyüp,28.912577,41.158852
Ministry of Health,Ambulance Station,Eyüp 4,TR,Istanbul,Eyüp,28.922309,41.041397
Ministry of Health,Ambulance Station,Fatih 1,TR,Istanbul,Fatih,28.945038,41.009406
Ministry of Health,Ambulance Station,Fatih 2 / 14,TR,Istanbul,Fatih,28.960025,41.021271
Ministry of Health,Ambulance Station,Fatih 5,TR,Istanbul,Fatih,28.937038,41.002777
Ministry of Health,Ambulance Station,Fatih 6,TR,Istanbul,Fatih,28.936427,41.004432
Ministry of Health,Ambulance Station,Fatih 11,TR,Istanbul,Fatih,28.97742,41.009506
Ministry of Health,Ambulance Station,Fatih 10,TR,Istanbul,Fatih,28.96229,41.014248
Ministry of Health,Ambulance Station,GOP 1,TR,Istanbul,Gaziosmanpasa,28.898824,41.085062
Ministry of Health,Ambulance Station,GOP 2,TR,Istanbul,Gaziosmanpasa,28.912762,41.077214
Ministry of Health,Ambulance Station,GOP 3/5,TR,Istanbul,Gaziosmanpasa,28.921902,41.05796
Ministry of Health,Ambulance Station,GOP 4,TR,Istanbul,Gaziosmanpasa,28.89986,41.069023
Ministry of Health,Ambulance Station,Güngören 1/4,TR,Istanbul,Güngören,28.883931,41.021536
Ministry of Health,Ambulance Station,Güngören 2,TR,Istanbul,Güngören,28.869918,41.024789
Ministry of Health,Ambulance Station,Güngören 3,TR,Istanbul,Güngören,28.874341,41.010657
Ministry of Health,Ambulance Station,Kağıthane 1/5,TR,Istanbul,Kağıthane,28.974508,41.066227
Ministry of Health,Ambulance Station,Kağıthane 2,TR,Istanbul,Kağıthane,29.001446,41.09223
Ministry of Health,Ambulance Station,Kağıthane 3,TR,Istanbul,Kağıthane,29.0154,41.074557
Ministry of Health,Ambulance Station,Kağıthane 4,TR,Istanbul,Kağıthane,28.969844,41.094224
Ministry of Health,Ambulance Station,Sarıyer 1,TR,Istanbul,Sarıyer,29.056788,41.169161
Ministry of Health,Ambulance Station,Sarıyer 2,TR,Istanbul,Sarıyer,29.029302,41.108652
Ministry of Health,Ambulance Station,Sarıyer 3,TR,Istanbul,Sarıyer,29.055172,41.083711
Ministry of Health,Ambulance Station,Sarıyer 4,TR,Istanbul,Sarıyer,29.024906,41.134906
Ministry of Health,Ambulance Station,Sultangazi 1,TR,Istanbul,Sultangazi,28.847858,41.114614
Ministry of Health,Ambulance Station,Sultangazi 2,TR,Istanbul,Sultangazi,28.876777,41.108427
Ministry of Health,Ambulance Station,Sultangazi 3,TR,Istanbul,Sultangazi,28.87632,41.086568
Ministry of Health,Ambulance Station,Sultangazi 4/5,TR,Istanbul,Sultangazi,28.902235,41.097013
Ministry of Health,Ambulance Station,Şişli 1,TR,Istanbul,Şişli,28.990271,41.05874
