Organisation,Name,Country,L1,L2,Lon,Lat
Ministry of Health,İstanbul Esenyurt Devlet Hastanesi,TR,Istanbul,Esenyurt,28.668194,41.029101
Ministry of Health,Bursa Devlet Hastanesi,TR,Bursa,,29.053338,40.186467
Ministry of Health,Anadolu KKM,TR,Istanbul,,29.158487,40.901573
Ministry of Health,Üsküdar Devlet Hastanesi,TR,Istanbul,,29.039024,41.015481
Ministry of Health,Dr. Sadi Konuk Bakırköy Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.865803,40.993899
Ministry of Health,Gaziosmanpaşa Taksim Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.983689,41.032983
Ministry of Health,Bayrampaşa Devlet Hastanesi,TR,Istanbul,,28.902765,41.041542
Ministry of Health,İstinye Devlet Hastanesi,TR,Istanbul,,29.055569,41.114841
Ministry of Health,Dr. Sadi Konuk Bakırköy Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.865803,40.993899
Ministry of Health,Bayrampaşa Devlet Hastanesi,TR,Istanbul,,28.902765,41.041542
Ministry of Health,Gaziosmanpaşa Taksim Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.983689,41.032983
Ministry of Health,İstanbul Esenyurt Devlet Hastanesi,TR,Istanbul,,28.668194,41.029101
Ministry of Health,Kağıthane Devlet Hastanesi,TR,Istanbul,,29.001454,41.092194
Ministry of Health,Üsküdar Devlet Hastanesi,TR,Istanbul,,29.039024,41.015481
Ministry of Health,Şişli Hamidiye Etfal Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.989995,41.057659
Ministry of Health,Göztepe Ağız Ve Diş Sağlığı Merkezi,TR,Istanbul,,29.06043,40.986995
Ministry of Health,Bahçelievler Ağız ve Diş Sağlığı Merkezi,TR,Istanbul,,28.855644,40.996759
Ministry of Health,Sancaktepe Ağız ve Diş Sağlığı Merkezi,TR,Istanbul,,29.221025,40.981938
Ministry of Health,Ataşehir Ağız Ve Diş Sağlığı Merkezi,TR,Istanbul,,29.10534,40.966419
Ministry of Health,1 Nolu Halk Sağlığı Laboratuvarı,TR,Istanbul,,28.919114,41.00299
Ministry of Health,Bakırköy İl Halk Sağlığı Laboratuvarı,TR,Istanbul,,28.871657,40.978714
Ministry of Health,Sefaköy Halk Sağlığı Laboratuvarı,TR,Istanbul,,28.799201,41.008963
Ministry of Health,Özel Sefaköy Halk Sağlığı Laboratuvarı,TR,Istanbul,,28.802638,41.081303
Ministry of Health,Ave Medikal Halk Sagligi Hizmetleri Anonim Sirketi,TR,Istanbul,,28.998928,41.091194
Ministry of Health,Türkiye Halk Sağlığı Derneği,TR,Istanbul,,28.98657,41.064728
Ministry of Health,İstanbul Valiliği Halk Sağlığı Laboratuarı,TR,Istanbul,,28.971671,41.007365
Ministry of Health,Sağlık Bakanlığı Pendik Halk Sağlığı Laboratuvarı,TR,Istanbul,,29.238533,40.880485
Ministry of Health,Pendik Halk Sağlığı Laboratuvarı,TR,Istanbul,,29.228507,40.880909
Ministry of Health,Halk Sağlığı Laboratuvarı,TR,Istanbul,,29.255337,40.875095
Ministry of Health,Bağcılar Eğitim ve Araştırma Hastanesi,TR,Istanbul,,28.870041,41.030251
Ministry of Health,Göztepe Araştırma Hst.,TR,Istanbul,,29.056596,40.98604
Ministry of Health,Ümraniye Eğitim ve Araştırma Hastanesi,TR,Istanbul,,29.100986,41.032792
Ministry of Health,Kartal Eğitim Araştırma Hst.,TR,Istanbul,,29.17293,40.915067
Ministry of Health,İst.MehmetAkifErsoy Göğ.Kalp Damar Cerrah. Eğit. Ve Ara.Has,TR,Istanbul,,28.777192,41.033719
Ministry of Health,Dünya Göz Hastanesi,TR,Istanbul,,29.047931,40.976879
Ministry of Health,Florence Nightingale Hastanesi,TR,Istanbul,,29.041909,40.981854
Ministry of Health,Başkent Üniversitesi Hastanesi,TR,Istanbul,,29.041304,41.024712
Ministry of Health,Alman Hastanesi,TR,Istanbul,,28.984173,41.033473
Ministry of Health,İstanbul Vatan Hastanesi,TR,Istanbul,,28.94583,41.012419
Ministry of Health,Amerikan Hastanesi,TR,Istanbul,,28.995121,41.053558
Ministry of Health,İstanbul Cerrahi Hastanesi,TR,Istanbul,,28.997824,41.055591
Ministry of Health,Özel Erdem Hastanesi,TR,Istanbul,,29.119918,41.021435
Ministry of Health,İstanbul Eğitim Ve Araştırma Hastanesi Acil Servisi,TR,Istanbul,,28.937176,41.002703
Ministry of Health,Fatih Üniversitesi Tıp Fakültesi Hastanesi,TR,Istanbul,,29.138107,40.910115
Ministry of Health,Özel Uğurlu Hastanesi,TR,Istanbul,,28.696514,41.012795
Ministry of Health,Medilife Sağlık Grubu,TR,Istanbul,,28.662896,41.005678
Ministry of Health,HASTANE TEKSTİLİ - www.hastanetekstili.net,TR,Istanbul,,28.677537,40.992278
Ministry of Health,Acıbadem Beylikdüzü Cerrahi Tıp Merkezi,TR,Istanbul,,28.652803,40.99922
Ministry of Health,Medicana International İstanbul,TR,Istanbul,,28.645585,41.012557
Ministry of Health,Beylikdüzü Kolan Hospital,TR,Istanbul,,28.629257,41.006345
Ministry of Health,Dünyagöz Hastanesi - Beylikdüzü Şubesi,TR,Istanbul,,28.627598,41.018997
Ministry of Health,Büyükçekmece Devlet Hastanesi,TR,Istanbul,,28.5987,41.0126
Ministry of Health,Dr. Lütfi Kırdar Kartal Eğitim ve Araştırma Hastanesi,TR,Istanbul,,28.598811,41.012299
Ministry of Health,İstanbul Kanuni Sultan Süleyman Eğitim ve Araştırma Hastanesi,TR,Istanbul,,28.759975,41.055213
Ministry of Health,Safa Hastanesi Bağcılar,TR,Istanbul,,28.8572,41.022768
Ministry of Health,Gelişim Hastanesi,TR,Istanbul,,28.839366,41.021536
