"L2","L2 KV:PSGC","L3","L3 KV:PSGC"
"Pampanga",35400000,"Angeles City",35401000
"Negros Occidental",64500000,"Bacolod City (capital)",64501000
"Negros Occidental",64500000,"Bago City",64502000
"Benguet",141100000,"Baguio City",141102000
"Negros Oriental",74600000,"Bais City",74604000
"Batangas",41000000,"Batangas City (capital)",41005000
"Agusan del Norte",160200000,"Butuan City (capital)",160202000
"Nueva Ecija",34900000,"Cabanatuan City",34903000
"Negros Occidental",64500000,"Cadiz City",64504000
"Misamis Oriental",104300000,"Cagayan de Oro City (capital)",104305000
"Samar (Western Samar)",86000000,"Calbayog City",86003000
"Negros Oriental",74600000,"Canlaon City",74608000
"Cavite",42100000,"Cavite City",42105000
"Cebu",72200000,"Cebu City (capital)",72217000
"Pangasinan",15500000,"City of Alaminos",15503000
"Rizal",45800000,"City of Antipolo",45802000
"Bataan",30800000,"City of Balanga (capital)",30803000
"Ilocos Norte",12800000,"City of Batac",12805000
"Negros Oriental",74600000,"City Of Bayawan (Tulong)",74606000
"Leyte",83700000,"City Of Baybay",83708000
"Agusan del Sur",160300000,"City Of Bayugan",160301000
"Surigao del Sur",166800000,"City Of Bislig",166803000
"Cebu",72200000,"City Of Bogo",72211000
"Eastern Samar",82600000,"City Of Borongan (capital)",82604000
"Agusan del Norte",160200000,"City Of Cabadbaran",160203000
"Laguna",43400000,"City Of Calamba",43405000
"Oriental Mindoro",175200000,"City Of Calapan (capital)",175205000
"Ilocos Sur",12900000,"City Of Candon",12906000
"Cebu",72200000,"City Of Carcar",72214000
"Samar (Western Samar)",86000000,"City Of Catbalogan (capital)",86005000
"Isabela",23100000,"City Of Cauayan",23108000
"Davao del Sur",112400000,"City Of Digos (capital)",112403000
"Misamis Oriental",104300000,"City Of El Salvador",104307000
"Negros Occidental",64500000,"City Of Escalante",64509000
"Nueva Ecija",34900000,"City Of Gapan",34908000
"Negros Oriental",74600000,"City Of Guihulngan",74611000
"Negros Occidental",64500000,"City Of Himamaylan",64510000
"City of Isabela",99700000,"City Of Isabela (capital)",99701000
"Negros Occidental",64500000,"City Of Kabankalan",64515000
"Cotabato (North Cotabato)",124700000,"City Of Kidapawan (capital)",124704000
"South Cotabato",126300000,"City Of Koronadal (capital)",126306000
"Basilan",150700000,"City Of Lamitan",150702000
"NCR Fourth District",137600000,"City Of Las Piñas",137601000
"Albay",50500000,"City Of Ligao",50508000
"Southern Leyte",86400000,"City Of Maasin (capital)",86407000
"NCR Fourth District",137600000,"City Of Makati",137602000
"NCR Third District",137500000,"City Of Malabon",137502000
"Bukidnon",101300000,"City Of Malaybalay (capital)",101312000
"Bulacan",31400000,"City Of Malolos (capital)",31410000
"NCR Second District",137400000,"City Of Mandaluyong",137401000
"NCR First District",133900000,"Quiapo",133903000
"NCR Second District",137400000,"City Of Marikina",137402000
"Masbate",54100000,"City Of Masbate (capital)",54111000
"Davao Oriental",112500000,"City Of Mati (capital)",112509000
"Bulacan",31400000,"City Of Meycauayan",31412000
"NCR Fourth District",137600000,"City Of Muntinlupa",137603000
"Cebu",72200000,"City Of Naga",72234000
"NCR Third District",137500000,"City Of Navotas",137503000
"Davao del Norte",112300000,"City Of Panabo",112315000
"NCR Fourth District",137600000,"City Of Parañaque",137604000
"NCR Second District",137400000,"City Of Pasig",137403000
"Iloilo",63000000,"City Of Passi",63035000
"La Union",13300000,"City Of San Fernando (capital)",13314000
"Pampanga",35400000,"City Of San Fernando (capital)",35416000
"Bulacan",31400000,"City Of San Jose Del Monte",31420000
"NCR Second District",137400000,"City Of San Juan",137405000
"Laguna",43400000,"City Of Santa Rosa",43428000
"Isabela",23100000,"City Of Santiago",23135000
"Negros Occidental",64500000,"City Of Sipalay",64527000
"Sorsogon",56200000,"City Of Sorsogon (capital)",56216000
"Albay",50500000,"City Of Tabaco",50517000
"Kalinga",143200000,"City Of Tabuk (capital)",143213000
"Sultan Kudarat",126500000,"City Of Tacurong",126511000
"Davao del Norte",112300000,"City Of Tagum (capital)",112319000
"Negros Occidental",64500000,"City Of Talisay",64528000
"Cebu",72200000,"City Of Talisay",72250000
"Batangas",41000000,"City Of Tanauan",41031000
"Surigao del Sur",166800000,"City Of Tandag (capital)",166819000
"Negros Oriental",74600000,"City Of Tanjay",74621000
"Tarlac",36900000,"City Of Tarlac (capital)",36916000
"Quezon",45600000,"City Of Tayabas",45647000
"Pangasinan",15500000,"City Of Urdaneta",15546000
"Bukidnon",101300000,"City Of Valencia",101321000
"NCR Third District",137500000,"City Of Valenzuela",137504000
"Negros Occidental",64500000,"City Of Victorias",64531000
"Ilocos Sur",12900000,"City Of Vigan (capital)",12934000
"Cotabato City",129800000,"Cotabato City",129804000
"Pangasinan",15500000,"Dagupan City",15518000
"Cebu",72200000,"Danao City",72223000
"Zamboanga del Norte",97200000,"Dapitan City",97201000
"Davao del Sur",112400000,"Davao City",112402000
"Zamboanga del Norte",97200000,"Dipolog City (capital)",97202000
"Negros Oriental",74600000,"Dumaguete City (capital)",74610000
"South Cotabato",126300000,"General Santos City (Dadiangas)",126303000
"Misamis Oriental",104300000,"Gingoog City",104308000
"Lanao del Norte",103500000,"Iligan City",103504000
"Iloilo",63000000,"Iloilo City (capital)",63022000
"Camarines Sur",51700000,"Iriga City",51716000
"Davao del Norte",112300000,"Island Garden City Of Samal",112317000
"NCR Third District",137500000,"Kalookan City",137501000
"Negros Occidental",64500000,"La Carlota City",64516000
"Ilocos Norte",12800000,"Laoag City (capital)",12812000
"Cebu",72200000,"Lapu-Lapu City (Opon)",72226000
"Albay",50500000,"Legazpi City (capital)",50506000
"Batangas",41000000,"Lipa City",41014000
"Quezon",45600000,"Lucena City (capital)",45624000
"Cebu",72200000,"Mandaue City",72230000
"Lanao del Sur",153600000,"Marawi City (capital)",153617000
"Camarines Sur",51700000,"Naga City",51724000
"Zambales",37100000,"Olongapo City",37107000
"Leyte",83700000,"Ormoc City",83738000
"Misamis Occidental",104200000,"Oroquieta City (capital)",104209000
"Misamis Occidental",104200000,"Ozamis City",104210000
"Zamboanga del Sur",97300000,"Pagadian City (capital)",97322000
"Nueva Ecija",34900000,"Palayan City (capital)",34919000
"NCR Fourth District",137600000,"Pasay City",137605000
"Palawan",175300000,"Puerto Princesa City (capital)",175316000
"NCR Second District",137400000,"Quezon City",137404000
"Capiz",61900000,"Roxas City (capital)",61914000
"Negros Occidental",64500000,"Sagay City",64523000
"Pangasinan",15500000,"San Carlos City",15532000
"Negros Occidental",64500000,"San Carlos City",64524000
"Nueva Ecija",34900000,"San Jose City",34926000
"Laguna",43400000,"San Pablo City",43424000
"Nueva Ecija",34900000,"Science City Of Muñoz",34917000
"Negros Occidental",64500000,"Silay City",64526000
"Surigao del Norte",166700000,"Surigao City (capital)",166724000
"Leyte",83700000,"Tacloban City (capital)",83747000
"Cavite",42100000,"Tagaytay City",42119000
"Bohol",71200000,"Tagbilaran City (capital)",71242000
"NCR Fourth District",137600000,"Taguig City",137607000
"Misamis Occidental",104200000,"Tangub City",104215000
"Cebu",72200000,"Toledo City",72251000
"Cavite",42100000,"Trece Martires City (capital)",42122000
"Cagayan",21500000,"Tuguegarao City (capital)",21529000
"Zamboanga del Sur",97300000,"Zamboanga City",97332000
"Palawan",175300000,"Aborlan",175301000
"Occidental Mindoro",175100000,"Abra De Ilog",175101000
"Bataan",30800000,"Abucay",30801000
"Cagayan",21500000,"Abulug",21501000
"Leyte",83700000,"Abuyog",83701000
"Ilocos Norte",12800000,"Adams",12801000
"Quezon",45600000,"Agdangan",45601000
"Quirino",25700000,"Aglipay",25701000
"Pangasinan",15500000,"Agno",15501000
"Batangas",41000000,"Agoncillo",41001000
"La Union",13300000,"Agoo",13301000
"Pangasinan",15500000,"Aguilar",15502000
"Ifugao",142700000,"Aguinaldo",142708000
"Palawan",175300000,"Agutaya",175302000
"Iloilo",63000000,"Ajuy",63001000
"Basilan",150700000,"Akbar",150708000
"Quezon",45600000,"Alabat",45602000
"Sarangani",128000000,"Alabel (capital)",128001000
"Cotabato (North Cotabato)",124700000,"Alamada",124701000
"Laguna",43400000,"Alaminos",43401000
"Leyte",83700000,"Alangalang",83702000
"Basilan",150700000,"Al-Barka",150709000
"Leyte",83700000,"Albuera",83703000
"Bohol",71200000,"Alburquerque",71201000
"Pangasinan",15500000,"Alcala",15504000
"Cagayan",21500000,"Alcala",21502000
"Cebu",72200000,"Alcantara",72201000
"Romblon",175900000,"Alcantara",175901000
"Cebu",72200000,"Alcoy",72202000
"Cebu",72200000,"Alegria",72203000
"Surigao del Norte",166700000,"Alegria",166701000
"Cotabato (North Cotabato)",124700000,"Aleosan",124717000
"Cavite",42100000,"Alfonso",42101000
"Nueva Vizcaya",25000000,"Alfonso Castaneda",25015000
"Ifugao",142700000,"Alfonso Lista (Potia)",142707000
