L1,L2,L2 KV:PSGC
ARMM [Autonomous Region in Muslim Mindanao],Basilan,150700000
ARMM [Autonomous Region in Muslim Mindanao],Lanao del Sur,153600000
ARMM [Autonomous Region in Muslim Mindanao],Maguindanao,153800000
ARMM [Autonomous Region in Muslim Mindanao],Shariff Kabunsuan,158400000
ARMM [Autonomous Region in Muslim Mindanao],Sulu,156600000
ARMM [Autonomous Region in Muslim Mindanao],Tawi-Tawi,157000000
CAR [Cordillera Administrative Region],Abra,140100000
CAR [Cordillera Administrative Region],Apayao,148100000
CAR [Cordillera Administrative Region],Benguet,141100000
CAR [Cordillera Administrative Region],Ifugao,142700000
CAR [Cordillera Administrative Region],Kalinga,143200000
CAR [Cordillera Administrative Region],Mountain Province,144400000
Region I [Ilocos Region],Ilocos Norte,12800000
Region I [Ilocos Region],Ilocos Sur,12900000
Region I [Ilocos Region],La Union,13300000
Region I [Ilocos Region],Pangasinan,15500000
Region II [Cagayan Valley],Batanes,20900000
Region II [Cagayan Valley],Cagayan,21500000
Region II [Cagayan Valley],Isabela,23100000
Region II [Cagayan Valley],Nueva Vizcaya,25000000
Region II [Cagayan Valley],Quirino,25700000
Region III [Central Luzon],Aurora,37700000
Region III [Central Luzon],Bataan,30800000
Region III [Central Luzon],Bulacan,31400000
Region III [Central Luzon],Nueva Ecija,34900000
Region III [Central Luzon],Pampanga,35400000
Region III [Central Luzon],Tarlac,36900000
Region III [Central Luzon],Zambales,37100000
Region IV-A [CALABARZON],Batangas,41000000
Region IV-A [CALABARZON],Cavite,42100000
Region IV-A [CALABARZON],Laguna,43400000
Region IV-A [CALABARZON],Quezon,45600000
Region IV-A [CALABARZON],Rizal,45800000
Region IV-B [MIMAROPA],Marinduque,174000000
Region IV-B [MIMAROPA],Occidental Mindoro,175100000
Region IV-B [MIMAROPA],Oriental Mindoro,175200000
Region IV-B [MIMAROPA],Palawan,175300000
Region IV-B [MIMAROPA],Romblon,175900000
Region V [Bicol Region],Albay,50500000
Region V [Bicol Region],Camarines Norte,51600000
Region V [Bicol Region],Camarines Sur,51700000
Region V [Bicol Region],Catanduanes,52000000
Region V [Bicol Region],Masbate,54100000
Region V [Bicol Region],Sorsogon,56200000
Region VI [Western Visayas],Aklan,60400000
Region VI [Western Visayas],Antique,60600000
Region VI [Western Visayas],Capiz,61900000
Region VI [Western Visayas],Guimaras,67900000
Region VI [Western Visayas],Iloilo,63000000
Region VI [Western Visayas],Negros Occidental,64500000
Region VII [Central Visayas],Bohol,71200000
Region VII [Central Visayas],Cebu,72200000
Region VII [Central Visayas],Negros Oriental,74600000
Region VII [Central Visayas],Siquijor,76100000
Region VIII [Eastern Visayas],Biliran,87800000
Region VIII [Eastern Visayas],Eastern Samar,82600000
Region VIII [Eastern Visayas],Leyte,83700000
Region VIII [Eastern Visayas],Northern Samar,84800000
Region VIII [Eastern Visayas],Samar,86000000
Region VIII [Eastern Visayas],Southern Leyte,86400000
Region IX [Zamboanga Peninsula],Zamboanga Sibugay,98300000
Region IX [Zamboanga Peninsula],Zamboanga del Norte,97200000
Region IX [Zamboanga Peninsula],Zamboanga del Sur,97300000
Region X [Northern Mindanao],Bukidnon,101300000
Region X [Northern Mindanao],Camiguin,101800000
Region X [Northern Mindanao],Lanao del Norte,103500000
Region X [Northern Mindanao],Misamis Occidental,104200000
Region X [Northern Mindanao],Misamis Oriental,104300000
Region XI [Davao Region],Compostela Valley,118200000
Region XI [Davao Region],Davao Oriental,112500000
Region XI [Davao Region],Davao del Norte,112300000
Region XI [Davao Region],Davao del Sur,112400000
Region XII [SOCCSKSARGEN],North Cotabato,124700000
Region XII [SOCCSKSARGEN],Sarangani,128000000
Region XII [SOCCSKSARGEN],South Cotabato,126300000
Region XII [SOCCSKSARGEN],Sultan Kudarat,126500000
Region XIII [Caraga],Agusan del Norte,160200000
Region XIII [Caraga],Agusan del Sur,160300000
Region XIII [Caraga],Dinagat Islands,168500000
Region XIII [Caraga],Surigao del Norte,166700000
Region XIII [Caraga],Surigao del Sur,166800000
