Template,Template Description,Complete Question,Date Question,Time Question,Location Detail,Priority Question,Section,Section Position,Question,Question Type,Question Notes,Question Position,Question Code,Meta Data
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,2.0 Type of emergency and date(s) it/they occurred,2,Emergency date,Date,,1,ARCS-1,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,2.0 Type of emergency and date(s) it/they occurred,2,Type of emergency,OptionOther,,2,ARCS-2,"{'1': 'Earthquake', '2': 'Flood', '3': 'Landslide', '4': 'Avalanche', '5': 'Drought', '6': 'Sandstorm', '7': 'Conflict (ANSF/Armed Opposition)', '8': 'Conflict (Other)', 'Length': '8'}"
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Total number of directly affected persons (HHs),Numeric,,3,ARCS-3,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,How many families were in the affected area before the disaster? (HHs),Numeric,,4,ARCS-4,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,How many families have remained in place of origin after the disaster? (HHs),Numeric,,5,ARCS-5,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,How many families displaced? (HHs),Numeric,,6,ARCS-6,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Location of displaced people,String,,7,ARCS-7,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Where are the displaced people currently living?,OptionOther,,8,ARCS-8,"{'1': 'in camps', '2': 'with host families', '3': 'in schools/public buildings', '4': 'in the open', 'Length': '4'}"
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,What are places of origin for the displaced people before the disaster?,String,,9,ARCS-9,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Total number of indirectly affected persons (e.g host communities) (HHs),Numeric,,10,ARCS-10,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of deaths Total,Numeric,,11,ARCS-11,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of deaths Men,Numeric,,12,ARCS-12,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of deaths Women,Numeric,,13,ARCS-13,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of deaths Children (<5 years old),Numeric,,14,ARCS-14,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of deaths 5-18 years,Numeric,,15,ARCS-15,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of injured Total,Numeric,,16,ARCS-16,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of injured Men,Numeric,,17,ARCS-17,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of injured Women,Numeric,,18,ARCS-18,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of injured Children (<5 years old),Numeric,,19,ARCS-19,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of injured 5-18 years,Numeric,,20,ARCS-20,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of missing Total,Numeric,,21,ARCS-21,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of missing Men,Numeric,,22,ARCS-22,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of missing Women,Numeric,,23,ARCS-23,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Number of missing Children (<5 years old),Numeric,,24,ARCS-24,
