"Template","Template Description","Complete Question","Date Question","Time Question","Location Detail","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Type of disaster","String",,1,"72H-1",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Approximate number of inhabitants","Numeric",,2,"72H-2",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Name of contact person in the community","String",,3,"72H-3",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Contact information","String",,4,"72H-4",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"# Injured","Numeric",,6,"72H-6",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"# Dead","Numeric",,7,"72H-7",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"# Missing","Numeric",,8,"72H-8",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"# Minor damage","Numeric","Building can be safely occupied but needs minor repairs",9,"72H-9",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"# Moderate damage","Numeric","Building cannot be safely occupied and needs major repairs",10,"72H-10",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"# Destroyed","Numeric","Obviously destroyed and requires rebuilding",11,"72H-11",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Displaced","Numeric",,12,"72H-12",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Evacuated","Numeric",,13,"72H-13",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Displaced","Numeric",,14,"72H-14",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Background Information",1,"Evacuated","Numeric",,15,"72H-15",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"How are the means of communication functioning?","Text",,16,"72H-16",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"What are the climatic factors?","Text",,17,"72H-17",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"Is the current shelter resistant to rain, wind, sun, cold?","Text",,18,"72H-18",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"What is the physical status of existing structures?","Text",,19,"72H-19",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"How many people lack adequate shelter?","Numeric",,20,"72H-20",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"What is the immediate risk to life?","Text",,21,"72H-21",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"How many are at risk?","Numeric",,22,"72H-22",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"Which social groups are most at risk and why?","Text",,23,"72H-23",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"What is the customary provision of clothing, blankets and bedding for women, men, children and infants, pregnant and lactating women, and older people?","Text",,24,"72H-24",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Observation",2,"What did a typical household used to have?","Text",,25,"72H-25",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Food and Nutrition",3,"Is food available in the disaster area? ","YesNo",,26,"72H-26",
"First 72 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","72H-8","Food and Nutrition",3,"What kind?","Text",,27,"72H-27",
