"Template","Template Description","Complete Question","Date Question","Time Question","Location Question","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Name of the affected Township","Location",,1,"MRCS-BI-1",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Type of disasters","String",,2,"MRCS-BI-2",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Time of occurrence","String",,3,"MRCS-BI-3",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Reason for disaster","String",,4,"MRCS-BI-4",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Initial Disaster reported date: -","String",,5,"MRCS-BI-5",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Affected VDC and population descriptions","String",,6,"MRCS-BI-6",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Name of States/Division/Township/Village Tract","String",,7,"MRCS-BI-7",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Background Info",1,"Name of affected sites/community","String",,8,"MRCS-BI-8",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Human",2,"Estimated population total","Numeric",,9,"MRCS-H-1","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Human",2,"Number of Males","Numeric",,10,"MRCS-H-2","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Human",2,"Number of Females","Numeric",,11,"MRCS-H-3","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Number of volunteers mobilized for First Aid Responders Total","Numeric",,12,"MRCS-Re-1","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Number of volunteers mobilized for First Aid Responders Male","Numeric",,13,"MRCS-Re-2","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Number of volunteers mobilized for First Aid Responders Female","Numeric",,14,"MRCS-Re-3","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Number of Service Volunteers mobilized Total","Numeric",,15,"MRCS-Re-4","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Number of Service Volunteers mobilized Male","Numeric",,16,"MRCS-Re-5","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Number of Service Volunteers mobilized Female","Numeric",,17,"MRCS-Re-6","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"PSP Support Assessment - Total","Numeric",,18,"MRCS-Re-7",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"PSP Support Assessment - Male","Numeric",,19,"MRCS-Re-8",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"PSP Support Assessment - Female ","Numeric",,20,"MRCS-Re-9",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Others in response - Total","Numeric",,21,"MRCS-Re-10",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Others in response - Male","Numeric",,22,"MRCS-Re-11",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Response",3,"Others in response - Female","Numeric",,23,"MRCS-Re-12",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Shelter",4,"Number of completely destroyed houses","Numeric",,24,"MRCS-Sh-1","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Shelter",4,"Total estimated loss amount from completely destroyed houses","Numeric",,25,"MRCS-Sh-2",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Shelter",4,"Approach to collect information on completely destroyed houses","Text",,26,"MRCS-Sh-3",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Infrastructure",5,"Number of damaged school buildings","Numeric",,27,"MRCS-In-1","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Infrastructure",5,"Total estimated loss amount from damaged school buildings","Numeric",,28,"MRCS-In-2",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Infrastructure",5,"Approach to collect information on damaged school buildings","Text",,29,"MRCS-In-3",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Infrastructure",5,"Number of damaged bridges/roads","Numeric",,30,"MRCS-In-4","{'Format': 'n'}"
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Infrastructure",5,"Total estimated loss amount from bridges/roads","Numeric",,31,"MRCS-In-5",
"MRCS","Myanmar Red Cross Society","MRCS-BI-9","MRCS-BI-5",,"MRCS-BI-1","MRCS-Sh-1","Infrastructure",5,"Approach to collect information on bridges/roads","Text",,32,"MRCS-In-6",
