Template,Section,Posn,Method,Rules
Vanuatu PHT,Background Information,1,1,[]
Vanuatu PHT,Assessment Team,2,1,"[[{'heading': 'A. Assessment Team'}], ['PHT-1', 'PHT-3', 'PHT-4'], ['PHT-2']]"
Vanuatu PHT,Community and persons interviewed,3,1,"[[{'heading': 'B. Community and persons interviewed (for Lat/Long please set GPS to Decimal Degrees, WGS84)'}], ['PHT-11'], [{'heading': 'Persons interviewed (please provide name)'}], [{'heading': 'Organizations present in community (provide names of all organizations active in community)'}], ['PHT-22', 'PHT-24'], ['PHT-23', 'PHT-25'], [{'columns': [['PHT-14', 'PHT-15', 'PHT-16', 'PHT-17'], ['PHT-18', 'PHT-19', 'PHT-20', 'PHT-21']]}]]"
Vanuatu PHT,Population,4,1,"[['PHT-26-', 'PHT-27-', 'PHT-28-'], ['PHT-29-', 'PHT-30-', 'PHT-31-'], ['PHT-32', 'PHT-33-'], ['PHT-34', 'PHT-35-']]"
Vanuatu PHT,Supp. Information about Affected Population,5,1,"[[{'heading': 'D. Supp. Information about Affected Population (for population numbers see D2 above)'}], ['PHT-36', 'PHT-37', 'PHT-38'], ['PHT-39', 'PHT-40', 'PHT-41'], ['PHT-42', 'PHT-43', 'PHT-44', 'PHT-45', 'PHT-46', 'PHT-47'], [{'heading': 'Observations of the assessment team:'}], ['PHT-48'], ['PHT-49']]"
Vanuatu PHT,Electricity,6,1,"[[{'heading': 'E. Electricity'}], ['PHT-50', 'PHT-51', 'PHT-52', 'PHT-53', 'PHT-54'], ['PHT-55'], ['PHT-56']]"
Vanuatu PHT,Community facilities,7,1,"[[{'heading': 'F. Community facilities'}], ['PHT-57', 'PHT-58'], ['PHT-59', 'PHT-60']]"
Vanuatu PHT,Communications,8,1,"[[{'heading': 'G. Communications: (one number for each type)'}], ['PHT-61-', 'PHT-62'], ['PHT-63'], [{'heading': 'Observations of the assessment team:'}], ['PHT-64'], ['PHT-65']]"
Vanuatu PHT,Shelter,9,1,"[[{'heading': 'H. Shelter - Accommodation'}], ['PHT-66-'], [{'heading': 'Observations of the assessment team:'}], ['PHT-67', 'PHT-68'], ['PHT-69'], ['PHT-70']]"
Vanuatu PHT,Emergency Education,10,1,"[[{'heading': 'I. Emergency Education'}], ['PHT-71-', 'PHT-72-', 'PHT-73-'], ['PHT-74'], [{'heading': 'Observations of the assessment team:'}], ['PHT-75'], ['PHT-76']]"
Vanuatu PHT,Access/Logistics,11,1,"[[{'heading': 'J. Access/Logistics (status of village access and material resources)'}], ['PHT-77'], ['PHT-78', 'PHT-79'], ['PHT-80'], ['PHT-81', 'PHT-82'], ['PHT-83'], ['PHT-84', 'PHT-85', 'PHT-86', 'PHT-87', 'PHT-88'], [{'heading': 'How much fuel is available?'}, 'PHT-89', 'PHT-90', 'PHT-91'], [{'heading': 'How much warehouse storage is available?'}, 'PHT-92', 'PHT-93', 'PHT-94'], [{'heading': 'Observations of the assessment team:'}], ['PHT-95'], ['PHT-96']]"
Vanuatu PHT,Additional Observations,12,1,"[[{'heading': 'K. Additional Observations of Assessment Team (please specify the section you are commenting)'}], [{'heading': 'Short answers are best. Please only record significant observations.'}], ['PHT-97'], ['PHT-98']]"
