Country,L1,L2
ML,Bamako,Commune I
ML,Bamako,Commune II
ML,Bamako,Commune III
ML,Bamako,Commune IV
ML,Bamako,Commune V
ML,Bamako,Commune VI
ML,Gao,Ansongo
ML,Gao,Bourem
ML,Gao,Gao
ML,Gao,Ménaka
ML,Kayes,Bafoulabé
ML,Kayes,Diéma
ML,Kayes,Kéniéba
ML,Kayes,Kayes
ML,Kayes,Kita
ML,Kayes,Nioro
ML,Kayes,Yélimané
ML,Kidal,Abeïbara
ML,Kidal,Kidal
ML,Kidal,Tessalit
ML,Kidal,Tin-Essako
ML,Koulikoro,Banamba
ML,Koulikoro,Dioïla
ML,Koulikoro,Kangaba
ML,Koulikoro,Kati
ML,Koulikoro,Kolokani
ML,Koulikoro,Koulikoro
ML,Koulikoro,Nara
ML,Mopti,Bandiagara
ML,Mopti,Bankass
ML,Mopti,Djenné
ML,Mopti,Douentza
ML,Mopti,Koro
ML,Mopti,Mopti
ML,Mopti,Ténenkou
ML,Mopti,Youwarou
ML,Ségou,Barouéli
ML,Ségou,Bla
ML,Ségou,Macina
ML,Ségou,Niono
ML,Ségou,Ségou
ML,Ségou,San
ML,Ségou,Tominian
ML,Sikasso,Bougouni
ML,Sikasso,Kadiolo
ML,Sikasso,Kolondiéba
ML,Sikasso,Koutiala
ML,Sikasso,Sikasso
ML,Sikasso,Yanfolida
ML,Sikasso,Yorosso
ML,Tombouctou,Diré
ML,Tombouctou,Goundam
ML,Tombouctou,Gourma-Rharous
ML,Tombouctou,Niafunké
ML,Tombouctou,Tombouctou
