role, description,controller,function,table,oacl,uacl,org,facility,hidden,system,protected,uid
Survey Reader,,survey,index,,READ,READ
Survey Reader,,survey,series,,READ,READ
Survey Reader,,survey,series_export_formatted,,READ,READ
Survey Reader,,,,survey_translate,READ,READ
Survey Editor,,survey,index,,READ,READ
Survey Editor,,survey,complete,,CREATE,CREATE|UPDATE
Survey Editor,,survey,newAssessment,,READ|CREATE|UPDATE,READ|CREATE|UPDATE
Survey Editor,,survey,series,,READ|CREATE|UPDATE,READ|CREATE|UPDATE
Survey Editor,,survey,series_export_formatted,,READ,READ
Survey Editor,,,,survey_answer,READ,READ|CREATE|UPDATE
Survey Editor,,,,survey_complete,READ,READ|CREATE|UPDATE
Survey Editor,,,,survey_question,READ|CREATE|UPDATE,READ|CREATE|UPDATE
Survey Editor,,,,survey_series,READ,READ
Survey Editor,,,,survey_translate,READ,READ
Survey Admin,,survey,index,,READ,READ
Survey Admin,,survey,,,READ|CREATE|UPDATE|DELETE,READ|CREATE|UPDATE|DELETE
