L1,L2,"L2 KV:FIPS","L2 KV:GEOID"
California,Alameda County,001,06001
California,Alpine County,003,06003
California,Amador County,005,06005
California,Butte County,007,06007
California,Calaveras County,009,06009
California,Colusa County,011,06011
California,Contra Costa County,013,06013
California,Del Norte County,015,06015
California,El Dorado County,017,06017
California,Fresno County,019,06019
California,Glenn County,021,06021
California,Humboldt County,023,06023
California,Imperial County,025,06025
California,Inyo County,027,06027
California,Kern County,029,06029
California,Kings County,031,06031
California,Lake County,033,06033
California,Lassen County,035,06035
California,Los Angeles County,037,06037
California,Madera County,039,06039
California,Marin County,041,06041
California,Mariposa County,043,06043
California,Mendocino County,045,06045
California,Merced County,047,06047
California,Modoc County,049,06049
California,Mono County,051,06051
California,Monterey County,053,06053
California,Napa County,055,06055
California,Nevada County,057,06057
California,Orange County,059,06059
California,Placer County,061,06061
California,Plumas County,063,06063
California,Riverside County,065,06065
California,Sacramento County,067,06067
California,San Benito County,069,06069
California,San Bernardino County,071,06071
California,San Diego County,073,06073
California,San Francisco County,075,06075
California,San Joaquin County,077,06077
California,San Luis Obispo County,079,06079
California,San Mateo County,081,06081
California,Santa Barbara County,083,06083
California,Santa Clara County,085,06085
California,Santa Cruz County,087,06087
California,Shasta County,089,06089
California,Sierra County,091,06091
California,Siskiyou County,093,06093
California,Solano County,095,06095
California,Sonoma County,097,06097
California,Stanislaus County,099,06099
California,Sutter County,101,06101
California,Tehama County,103,06103
California,Trinity County,105,06105
California,Tulare County,107,06107
California,Tuolumne County,109,06109
California,Ventura County,111,06111
California,Yolo County,113,06113
California,Yuba County,115,06115
