L1,L2,L3,L4,Lat,Lon
California,Los Angeles County,Los Angeles,Bel Air,34.08333,-118.44778
California,Los Angeles County,Los Angeles,Brentwood,34.05194,-118.47306
California,Los Angeles County,Los Angeles,Century City,34.05556,-118.41694
California,Los Angeles County,Los Angeles,Mar Vista,34.00472,-118.43
California,Los Angeles County,Los Angeles,Pacific Palisades,34.04806,-118.52556
California,Los Angeles County,Los Angeles,Palms,34.02278,-118.40472
California,Los Angeles County,Los Angeles,Playa del Rey,33.94889,-118.44472
California,Los Angeles County,Los Angeles,Playa Vista,33.97278,-118.42667
California,Los Angeles County,Los Angeles,Rancho Park,34.044302,-118.45107
California,Los Angeles County,Los Angeles,Sherman Oaks,34.151111,-118.448333
California,Los Angeles County,Los Angeles,Venice,33.99083,-118.45917
California,Los Angeles County,Los Angeles,Westchester,33.95972,-118.39972
California,Los Angeles County,Los Angeles,Westwood,34.05611,-118.42972

