Name,Type,Organisation,Main Facility,Country,L1,L2,L3,L4,Address,Postcode,Lat,Lon,Contact,Phone,Email,Opening Times,Comments
Access Aid International,,Access Aid International,yes,AU,Victoria,Melbourne,,,St Kilda Road,3004,,,,,,,
Action Aid,,Action Aid,yes,ZA,Johannesburg,Rosebank,,,158 Jan Smuts Avenue Building,,,,,,,,
Action Comtre la Faim,,Action Comtre la Faim,yes,FR,Paris,,,,14/16 Boulevard Douaumont ,,,,,,,,
Adventist Development and Relief Agency,,Adventist Development and Relief Agency,yes,US,Maryland,,Silver Spring,,12501 Old Columbia Pike,,,,,,,,
Agency for Technical Cooperation and Development,,Agency for Technical Cooperation and Development,yes,FR,Paris,,,,33 rue Godot de Mauroy ,,,,,,,,
All Hands Volunteers,,All Hands Volunteers,yes,US,Massachusetts,,Mattapoisett,"6 County Road, Suite 6",2739,,,,,,,,
American Refugee Committee,,American Refugee Committee,yes,US,Minnesota,,Minneapolis,"15 1st Ave NE, Suite 500",55413-2681,,,,,,,,
AmeriCares,,AmeriCares,yes,US,Connecticut,,Stamford,,88 Hamilton Avenue,,,,,,,,
Amity Volunteer Fire Brigade,,Amity Volunteer Fire Brigade,yes,PH,Region VI [Western Visayas],Negros Occidental,Bacolod City,,Hilado Street,,,,,,,,
arche noVa,,arche noVa,yes,DE,Dresden,,,,Weißeritzstr. 3,D-01067,,,,,,,
Arbeiter-Samariter-Bund,,Arbeiter-Samariter-Bund,yes,DE,Cologne,,,,Sülzburgstraße 140,D-50937,,,,,,,
Assistência Médica Internacional,,Assistência Médica Internacional,yes,PT,Lisbon,,,,49 Rua José do Patrocínio,,,,,,,,
Australian Field Hospital,,Australian Field Hospital,yes,AU,,,,,,,,,,,,,
Australian Team,,Australian Team,yes,AU,,,,,,,,,,,,,
B-FAST,,B-FAST,yes,BE,Brussels,,,,Rue des Petits Carmes 15,B-1000,,,,,,,
Bradford United Church of Christ,,Bradford United Church of Christ,yes,PH,Region VII [Central Visayas],Cebu,Cebu City,Sambag II,340-P Ascencion St.,,,,,,,,
Cambert Pilipinas,,Cambert Pilipinas,yes,PH,,,,,,,,,,,,,
CARE,,CARE,yes,US,Georgia,,Atlanta,,"151 Ellis Street, NE",,,,,,,,
Caritas,,Caritas,yes,IT,Vatican City,,,,,,,,,,,,
Catholic Bishops' Conference of the Philippines,,Catholic Bishops' Conference of the Philippines,yes,PH,NCR [National Capital Region],"City of Manila, First District",Intramuros,,470 General Luna Street,1002,,,,,,,
Cebu Water International,,Cebu Water International,yes,PH,Region VII [Central Visayas],Cebu,Cebu City,,,,,,,,,,
ChildFund,,ChildFund,yes,US,Virginia,,Richmond,,2821 Emerywood Parkway,,,,,,,,
Children International,,Children International,yes,US,Missouri,,Kansas City,,2000 East Red Bridge Road,,,,,,,,
Chinese Navy,,Chinese Navy,yes,CN,,,,,,,,,,,,,
Christian Aid,,Christian Aid,yes,GB,London,Waterloo,,,35 Lower Marsh,SE1 7RL,,,,,,,
Church World Service,,Church World Service,yes,US,Indiana,,Elkhart,,28606 Phillips St,46515,,,,,,,
Citizens' Disaster Response Center,,Citizens' Disaster Response Center,yes,PH,NCR [National Capital Region],Second District,Quezon City,,"72-A Times St., West Triangle Homes",,,,,,,,
Community and Family Services International,,Community and Family Services International,yes,PH,NCR [National Capital Region],Fourth District,Pasay City,,"PH2/F Torres Building, 2442 Park Avenue",,,,,,,,
Concern,,Concern,yes,GB,London,,,,"13-14 Calico House, Clove Hitch Quay",SW11 3TN,,,,,,,
Consortium Vaccination Campaign,,Consortium Vaccination Campaign,yes,,,,,,,,,,,,,,
Convoy of Hope,,Convoy of Hope,yes,US,Missouri,,Springfield,,330 S. Patterson Ave.,65802,,,,,,,
Department for International Development,,Department for International Development,yes,GB,London,,,,22 Whitehall,SW1A 2EG,,,,,,,
Department of Education,,Department of Education,yes,PH,Region VIII [Eastern Visayas],,,,,,,,,,,,
Department of Health,,Department of Health,yes,PH,NCR [National Capital Region],,,,,,,,,,,,
Department of Social Welfare and Development,,Department of Social Welfare and Development,yes,PH,NCR [National Capital Region],,,,,,,,,,,,
Diamond Laboratories Inc.,,Diamond Laboratories Inc.,yes,PH,NCR [National Capital Region],Second District,Quezon City,Commonwealth,No. 8 Feria Road,,,,,,,,
Disaster Assistance Response Team,,Disaster Assistance Response Team,yes,CA,,,,,,,,,,,,,
Doctor's Pharmaceuticals,,Doctor's Pharmaceuticals,yes,PH,NCR [National Capital Region],Fourth District,Taguig City,,"8 Veteran's Center, Bicutan",,,,,,,,
Eastern Visayas Network ,,Eastern Visayas Network ,yes,PH,Region VIII [Eastern Visayas],,,,,,,,,,,,
Embassy of Japan,,Embassy of Japan,yes,JP,,,,,,,,,,,,,
Engineers without Borders,,Engineers without Borders,yes,US,Colorado,,Denver,,"1031 33rd St., Suite 210",80205,,,,,,,
Ericsson Response,,Ericsson Response,yes,SE,Stockholm,Kista,,,Torshamnsgatan 21 ,164 83 ,,,,,,,
EU Civil Protection Mechanism,,EU Civil Protection Mechanism,yes,BE,Brussels,,,,Rue de la Loi 86,B-1040,,,,,,,
Food for the Hungry,,Food for the Hungry,yes,US,Arizona,,Phoenix,,1224 E. Washington Street, 85034-1102 ,,,,,,,
German Federal Agency for Technical Relief,,German Federal Agency for Technical Relief,yes,DE,Bonn,,,,Provinzialstr. 93 ,53127,,,,,,,
GlaxoSmithKline Philippines,,GlaxoSmithKline Philippines,yes,PH,NCR [National Capital Region],Fourth District,Makati City ,,2266 Chino Roces Ave ,,,,,,,,
Global Communities,,Global Communities,yes,US,Maryland,,Silver Spring,,"8601 Georgia Avenue, Suite 800 ",20910,,,,,,,
Global Medic,,Global Medic,yes,CA,Ontario,Toronto,,,20 Claireport Crescent #9,M9W 6P6,,,,,,,
Glory Reborn,,Glory Reborn,yes,US,Texas,,El Paso,,,,,,,,,,
GOAL,,GOAL,yes,IE,,,,,,,,,,,,,
Good Neighbors,,Good Neighbors,yes,US,California,Los Angeles,Los Angeles,,"2301 E. 7th Street, Suite A-248 ",90023,,,,,,,
Habitat for Humanity,,Habitat for Humanity,yes,US,Georgia,,Americus,,121 Habitat Street ,31709-3498 ,,,,,,,
Handicap International,,Handicap International,yes,FR,Lyon,,,,,,,,,,,,
Hannafin,,Hannafin,yes,GB,Worcestershire ,,Kidderminster,,"22 Coppice Trading Estate, Stourport Road",DY11 7QY,,,,,,,
Heart to Heart,,Heart to Heart,yes,US,Kansas,,Lenexa,,13250 W. 98th St,66215,,,,,,,
Helen Keller International,,Helen Keller International,yes,US,New York,,,,352 Park Avenue South,10010,,,,,,,
HelpAge,,HelpAge,yes,GB,London,,,,,WC1A 9GB ,,,,,,,
HMS Daring,,HMS Daring,yes,GB,,,,,,,,,,,,,
Hope Force International,,Hope Force International,yes,US,Tennessee,,Brentwood,,"7065 Moores Lane, Suite 200",37027,,,,,,,
Human in Love,,Human in Love,yes,KO,Seoul,,,,"901 Ace Twin Tower 2nd, 273 Digital-ro, Guro-gu",,,,,,,,
Humanity First,,Humanity First,yes,CA,,,,,,,,,,,,,
Humanity Purse,,Humanity Purse,yes,,,,,,,,,,,,,,
Hungarian Baptist Aid,,Hungarian Baptist Aid,yes,HU,Budapest,,,,"Baptista Szeretetszolgálat Alapítvány, Pf. 241",1391,,,,,,,
International Medical Corps,,International Medical Corps,yes,US,California,Los Angeles,Los Angeles,,12400 Wilshire Blvd. Suite 1500,90025,,,,,,,
International Organisation for Migration,,International Organisation for Migration,yes,CH,Geneva,,,,"17, Route des Morillons",,,,,,,,
International Rescue Committee,,International Rescue Committee,yes,US,New York,,,,122 East 42nd Street,10169,,,,,,,
Japan Heart,,Japan Heart,yes,JP,Tokyo,Taito-ku,,,"Saint Office 10 Fl,1-33-6 Taito",,,,,,,,
LDS Charities,,LDS Charities,yes,US,Utah,,Salt Lake City,,50 E. North Temple Street,84150,,,,,,,
Life for Relief and Development,,Life for Relief and Development,yes,US,Michigan,,Southfield,,17300 W 10 Mile Rd,48075,,,,,,,
Maynilad,,Maynilad,yes,PH,NCR [National Capital Region],Second District,Quezon City,,"MWSS Compound, Katipunan Avenue, Balara",,,,,,,,
Médecins Sans Frontières,,Médecins Sans Frontières,yes,CH,Geneva,,,,78 rue de Lausanne ,,,,,,,,
NetHope,,NetHope,yes,US,Virginia,,Fairfax,,10615 Judicial Drive Suite #402,22030,,,,,,,
Office of Municipal Agriculturist,,Office of Municipal Agriculturist,yes,PH,NCR [National Capital Region],,,,,,,,,,,,
Oxfam,,Oxfam,yes,GB,Oxfordshire,Oxford,,,John Smith Drive,OX4 2JY,,,,,,,
Philippine Red Cross,,Philippine Red Cross,yes,PH,NCR [National Capital Region],Second District,Mandaluyong,,37 EDSA corner Boni Avenue,1550,,,,,,,
Plan International,,Plan International,yes,GB,Surrey,Woking,,,"Dukes Court, Block A, Duke Street",GU21 5BH,,,,,,,
Project HOPE ,,Project HOPE ,yes,US,Virginia,,Millwood,,255 Carter Hall Lane,22646,,,,,,,
Project Iloilo,,Love Project Iloilo,yes,PH,Region VI [Western Visayas],Iloilo,Iloilo City,,,,,,,,,,
Provincial Health Office,,Provincial Health Office,yes,PH,,,,,,,,,,,,,
Provincial Relief Aid for Yolanda,,Provincial Relief Aid for Yolanda,yes,PH,,,,,,,,,,,,,
Remote Area Medical Volunteer Corps,,Remote Area Medical Volunteer Corps,yes,US,Tennessee,,Rockford,,2200 Stock Creek Blvd,37853,,,,,,,
Samaritan's Purse,,Samaritan's Purse,yes,US,Northern Carolina,,Boone,,,28607,,,,,,,
Saúde em Português ,,Saúde em Português ,yes,PT,Coimbra,,,,"Av. Elísio de Moura nº 417, 1º. E 3030-183",,,,,,,,
Save the Children,,Save the Children,yes,GB,London,,,,"St Vincent House, 30 Orange Street",WC2H 7HH,,,,,,,
Spanish Agency for International Cooperation and Development,,Spanish Agency for International Cooperation and Development,yes,ES,,,,,,,,,,,,,
Swiss Interchurch Aid,,Swiss Interchurch Aid,yes,CH,Zurich,,,,Seminarstrasse 28,,,,,,,,
Task Force Mapalad,,Task Force Mapalad,yes,PH,NCR [National Capital Region],Second District,Quezon City,Central,18 Marunong St ,,,,,,,,
United Nations High Commission for Refugees,,United Nations High Commission for Refugees,yes,CH,Geneva,,,,,,,,,,,,
United Nations Children's Fund,,United Nations Children's Fund,yes,US,New York,,,,,,,,,,,,
United Sikhs Aid,,United Sikhs Aid,yes,US,New York,,,,,10116,,,,,,,
Welthungerhilfe,,Welthungerhilfe,yes,DE,Bonn,,,,Friedrich-Ebert-Str. 1,D-53173,,,,,,,
