Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Default,Individual,Style,Folder,Visible,Enabled,Cluster Distance,Cluster Threshold,Refresh,Opacity
Training,,project,activity,activity,,{name},name,activity_type.name=Training,True,,,Activities,False,,30,,,
Outreach,,project,activity,activity,,{name},name,activity_type.name=Outreach,,,,Activities,False,,30,,,
Meetings,,project,activity,activity,,{name},name,activity_type.name=Meetings,,,,Activities,False,,30,,,
Community Events,,project,activity,activity,,{name},name,activity_type.name=Community Events,,,,Activities,False,,30,,,
Evacuation Routes,,gis,poi,,,{name},name,~.poi_type_id$name=Evacuation Route&~.location_id$gis_feature_type=2,,True,"{'stroke':'00FF00'}",Routes,False,,30,,,
Organizations,used for Summary View,org,organisation,organization,Building,{name} (T('Organization')),name,,True,,,,False,False,30,,,
All Organizations,,org,facility,facility,Building,{organisation_id} (T('Organization')),organisation_id,,,,,Organizations,False,,30,,,
Arts and Recreation,,gis,poi,arts,Building,{name} (T('Point')),name,~.poi_type_id$name=Arts and Recreation&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Arts and Recreation,,org,facility,arts,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Arts and Recreation,,,,Organizations,False,,30,,,
Churches,,org,facility,church,Building,{organisation_id} (T('Church')),organisation_id,organisation_id$service.name__typeof=Churches,,,,Organizations,False,,30,,,
Communications,,gis,poi,communications,Building,{name} (T('Point')),name,~.poi_type_id$name=Communications&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Communications,,org,facility,communications,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Communications,,,,Organizations,False,,30,,,
Community Groups,,org,facility,people,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Community Groups,,,,Organizations,False,,30,,,
Consulate Offices,,org,facility,government,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Consulate Offices,,,,Organizations,False,,30,,,
Education,,gis,poi,education,Building,{name} (T('Point')),name,~.poi_type_id$name=Education&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Education,,org,facility,education,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Education,,,,Organizations,False,,30,,,
