Type,Name,Comments
Administration,General Administrative Skills,
Administration,Accounting,
Administration,Volunteer Registration,
Child Care,Child Care,
Distribution,Food Distribution,
Distribution,Non-Food Item Distribution,
Driving License,Driving License Class B/BE,
Driving License,Driving License Class C1/C1E,
Driving License,Driving License Class C/CE,
Driving License,Driving License Class D1/D1E,
Driving License,Driving License Class D/DE,
General,Physical fitness,
General,Ability to cope with emotional stress,
General,Flexible to work 24/7,
General,Ability to do night shifts,
Housekeeping,Cleaning,
Housekeeping,Cooking,
Information Management,Information Dissemination,
Information Management,Data Collection/Data Entry,
IT,General IT Skills,
IT,GIS/Mapping,
Language,Interpreter Arabic,
Language,Interpreter Urdu,
Language,English - Speaking,
Language,Slovene - Speaking,
Language,Croatian - Speaking,
Language,Serbian - Speaking,
Language,Urdu - Speaking,
Language,Arabic - Speaking,
Language,Italian - Speaking,
Language,Greek - Speaking,
Language,French - Speaking,
Language,Turkish - Speaking,
Logistics,Logistics Planning/Coordination,
Logistics,Transport Coordination,
Logistics,Cargo Transport,
Logistics,Passenger Transport,
Logistics,Stock Management,
Logistics,Goods Loading/Unloading,
Logistics,Goods Procurement,
Management,Volunteer Coordination,
Management,Donation Management,
Management,Fundraising,
Management,Task Management,
Medical,General Medical Knowledge,
Security,Crowd Management and Control,
Technical,General Technical Skills,
Technical,Electrical Installation,
Technical,"Plumbing, Heating, Air Condition",
Technical,Vehicle Repair,
Technical,Construction,
