Catalog,Category Code,Category,Item Code,Item Name,Unit of Measure,Pack,Pack2 Quantity,Notes
Default,BABY,Baby Care,,Baby bottles,piece,,,
Default,BABY,Baby Care,,Sterilizers for baby bottles,piece,,,
Default,BABY,Baby Care,,Diapers,piece,,,
Default,BABY,Baby Care,,Baby cream (especially for diaper rash),piece,,,
Default,BABY,Baby Care,,Pacifier,piece,,,
Default,BABY,Baby Care,,Wet Baby Wipes,piece,,,
Default,BABY,Baby Care,,Baby carriers,piece,,,
Default,CLOTHING,Clothing,,Boots size 45-47,pair,,,
Default,CLOTHING,Clothing,,Boots size 42-44,pair,,,
Default,CLOTHING,Clothing,,Junior boots,pair,,,
Default,CLOTHING,Clothing,,Toddler boots,pair,,,
Default,CLOTHING,Clothing,,"Socks, Underwear",pair,,,
Default,CLOTHING,Clothing,,Winter Jackets,piece,,,
Default,CLOTHING,Clothing,,Cardigans,piece,,,
Default,CLOTHING,Clothing,,Women Pants,piece,,,
Default,CLOTHING,Clothing,,Men Pants M/L,piece,,,
Default,CLOTHING,Clothing,,Leggings,piece,,,
Default,CLOTHING,Clothing,,Woolen Tights Women (all sizes),piece,,,
Default,CLOTHING,Clothing,,Woolen Tights Kids (all sizes),piece,,,
Default,CLOTHING,Clothing,,Junior Warm Clothing,piece,,,
Default,CLOTHING,Clothing,,Toddler Clothing,piece,,,
Default,CLOTHING,Clothing,,Babies Clothing,piece,,,
Default,CLOTHING,Clothing,,Rain Ponchos,piece,,,
Default,CLOTHING,Clothing,,Wind/waterproof Gear,piece,,,
Default,CLOTHING,Clothing,,Scarves,piece,,,
Default,CLOTHING,Clothing,,Gloves,pair,,,
Default,CLOTHING,Clothing,,Beanies,piece,,,
Default,CLOTHING,Clothing,,Hats,piece,,,
Default,CLOTHING,Clothing,,Caps,piece,,,
Default,GENERAL,General Items,,Blankets,piece,,,
Default,GENERAL,General Items,,Backpacks/Bags,piece,,,
Default,GENERAL,General Items,,Plastic dishes and cutlery,piece,,,
Default,GENERAL,General Items,,small plastic bags,piece,,,
Default,FOOD,Food,,Bottled Water,litre,,,
Default,FOOD,Food,,Juice,litre,,,
Default,FOOD,Food,,Fruits,kg,,,
Default,FOOD,Food,,Bread,kg,,,
Default,FOOD,Food,,Eggs,piece,,,
Default,FOOD,Food,,Chocolate and Energy Bars,piece,,,
Default,FOOD,Food,,Dry or Canned Food (halal),kg,,,
Default,FOOD,Food,,Tea,kg,,,
Default,FOOD,Food,,Milk,litre,,,
Default,FOOD,Food,,Baby Food,kg,,,
Default,FOOD,Food,,Cookies,kg,,,
Default,FOOD,Food,,Candy,kg,,,
Default,FOOD,Food,,Nuts,kg,,,
Default,WASH,WASH,,Hygienic items,piece,,,
Default,WASH,WASH,,Hand sanitizers,ea,,,
Default,WASH,WASH,,Gels for swollen legs,ea,,,
Default,WASTE,Waste Management,,Large Trash Bags,piece,,,
