Catalog,Category Code,Category,Item Name,Unit of Measure,Comments
"Standard","CLOTH","Clothing","Socks","pair",
"Standard","EQUIP","Equipment & Tools","Chain Saw","ea",
"Standard","EQUIP","Equipment & Tools","Fan","ea",
"Standard","EQUIP","Equipment & Tools","Flashlight","ea",
"Standard","EQUIP","Equipment & Tools","Mop","ea",
"Standard","FOOD","Food & Water","Animal Feed","lbs",
"Standard","FOOD","Food & Water","Bread","loaf",
"Standard","FOOD","Food & Water","Canned/Dried Food","lbs",
"Standard","FOOD","Food & Water","Cereal","box",
"Standard","FOOD","Food & Water","Eggs","dz",
"Standard","FOOD","Food & Water","Ice","lbs",
"Standard","FOOD","Food & Water","Infant Formula","lbs",
"Standard","FOOD","Food & Water","Meat","lbs",
"Standard","FOOD","Food & Water","Milk","gal",
"Standard","FOOD","Food & Water","Non-Potable Water","gal",
"Standard","FOOD","Food & Water","Perishable Food","lbs",
"Standard","FOOD","Food & Water","Potable Water","gal",
"Standard","FOOD","Food & Water","Vegetables","lbs",
"Standard","FUEL","Fuel","Diesel","gal",
"Standard","FUEL","Fuel","Gasoline","gal",
"Standard","FUEL","Fuel","Heating Oil","gal",
"Standard","FUEL","Fuel","Liquid Propane","gal",
"Standard","FUEL","Fuel","Natural Gas","gal",
"Standard","SUPPLIES","General supplies","Batteries","ea",
"Standard","SUPPLIES","General supplies","Blanket","ea",
"Standard","SUPPLIES","General supplies","Candles","ea",
"Standard","SUPPLIES","General supplies","Cleaners","ea",
"Standard","SUPPLIES","General supplies","Diapers","dz",
"Standard","SUPPLIES","General supplies","Matches","bx",
"Standard","SUPPLIES","General supplies","Paper Towels","roll",
"Standard","SUPPLIES","General supplies","Plastic Sheeting","roll",
"Standard","SUPPLIES","General supplies","Sanitary Pads","bx",
"Standard","SUPPLIES","General supplies","Sanitary Wipes","ea",
"Standard","SUPPLIES","General supplies","Tampons","bx",
"Standard","SUPPLIES","General supplies","Tape","roll",
"Standard","SUPPLIES","General supplies","Tarps","ea",
"Standard","SUPPLIES","General supplies","Toilet Paper","roll",
"Standard","SUPPLIES","General supplies","Toiletries","ea",
"Standard","SUPPLIES","General supplies","Towel","ea",
"Standard","SUPPLIES","General supplies","Trash Bags","bx",
"Standard","MEDICAL","Medical supplies","Alkahan","mg",Glaucoma
"Standard","MEDICAL","Medical supplies","Antiseptic","ea",
"Standard","MEDICAL","Medical supplies","Asthma Pump","ea",
"Standard","MEDICAL","Medical supplies","Atinol","mg",
"Standard","MEDICAL","Medical supplies","Baby Aspirin","ea",
"Standard","MEDICAL","Medical supplies","Bandages","ea",
"Standard","MEDICAL","Medical supplies","Crestor","ea",Heart
"Standard","MEDICAL","Medical supplies","Crutches","ea",
"Standard","MEDICAL","Medical supplies","Defibrilator","ea",
"Standard","MEDICAL","Medical supplies","Dialysis","ea",
"Standard","MEDICAL","Medical supplies","Hearing Aid","ea",
"Standard","MEDICAL","Medical supplies","Insulin","ea",
"Standard","MEDICAL","Medical supplies","Lenoxin","mg",Heart
"Standard","MEDICAL","Medical supplies","Levetiracetam","mg",
"Standard","MEDICAL","Medical supplies","Levythorixene","mg",
"Standard","MEDICAL","Medical supplies","Lipitor","mg",
"Standard","MEDICAL","Medical supplies","Lisindopril","mg",
"Standard","MEDICAL","Medical supplies","Mestinon","mg",
"Standard","MEDICAL","Medical supplies","Metoprol","mg",Cancer
"Standard","MEDICAL","Medical supplies","Microzide","mg",
"Standard","MEDICAL","Medical supplies","Motrin","mg",Asthma
"Standard","MEDICAL","Medical supplies","Percocet","mg",
"Standard","MEDICAL","Medical supplies","Plavix","mg",Heart
"Standard","MEDICAL","Medical supplies","Symacort","mg",
"Standard","MEDICAL","Medical supplies","Topiramate","mg",
"Standard","MEDICAL","Medical supplies","Ventilator","ea",
"Standard","MEDICAL","Medical supplies","Ventolin","ea",Asthma
"Standard","MEDICAL","Medical supplies","Wheelchair","ea",
"Standard","MEDICAL","Medical supplies","Zanex","mg",
