"ADM2_NAME","ADM2_CODE","ADM3_CODE","ADM3_NAME"
"Lanao del Sur",153600000,153624000,"Ditsaan-Ramain"
"Isabela",23100000,23111000,"Divilacan"
"Quezon",45600000,45615000,"Dolores"
"Eastern Samar",82600000,82606000,"Dolores"
"Abra",140100000,140107000,"Dolores"
"Bukidnon",101300000,101304000,"Don Carlos"
"Davao del Sur",112400000,112416000,"Don Marcelino"
"Misamis Occidental",104200000,104217000,"Don Victoriano Chiongbian (Don Mariano Marcos)"
"Bulacan",31400000,31424000,"Doña Remedios Trinidad"
"Sorsogon",56200000,56207000,"Donsol"
"Iloilo",63000000,63017000,"Dueñas"
"Bohol",71200000,71221000,"Duero"
"Leyte",83700000,83718000,"Dulag"
"Capiz",61900000,61903000,"Dumalag"
"Zamboanga del Sur",97300000,97307000,"Dumalinao"
"Ilocos Norte",12800000,12810000,"Dumalneg"
"Iloilo",63000000,63018000,"Dumangas"
"Cebu",72200000,72224000,"Dumanjug"
"Palawan",175300000,175311000,"Dumaran"
"Capiz",61900000,61904000,"Dumarao"
"Zamboanga del Sur",97300000,97308000,"Dumingag"
"Nueva Vizcaya",25000000,25007000,"Dupax Del Norte"
"Nueva Vizcaya",25000000,25008000,"Dupax Del Sur"
"Isabela",23100000,23112000,"Echague"
"Palawan",175300000,175312000,"El Nido (Bacuit)"
"Cagayan",21500000,21512000,"Enrile"
"Negros Occidental",64500000,64508000,"Enrique B. Magalona (Saravia)"
"Siquijor",76100000,76101000,"Enrique Villanueva"
"Agusan del Sur",160300000,160303000,"Esperanza"
"Masbate",54100000,54109000,"Esperanza"
"Sultan Kudarat",126500000,126503000,"Esperanza"
"Iloilo",63000000,63019000,"Estancia"
"Laguna",43400000,43408000,"Famy"
"Romblon",175900000,175916000,"Ferrol"
"Apayao",148100000,148103000,"Flora"
"Pampanga",35400000,35406000,"Floridablanca"
"Nueva Ecija",34900000,34907000,"Gabaldon (Bitulok & Sabani)"
"Camarines Sur",51700000,51713000,"Gainza"
"Ilocos Sur",12900000,12909000,"Galimuyod"
"Northern Samar",84800000,84807000,"Gamay"
"Isabela",23100000,23113000,"Gamu"
"Lanao del Sur",153600000,153609000,"Ganassi"
"Samar (Western Samar)",86000000,86007000,"Gandara"
"Camarines Sur",51700000,51714000,"Garchitorena"
"Bohol",71200000,71222000,"Garcia Hernandez"
"Marinduque",174000000,174003000,"Gasan"
"Cagayan",21500000,21513000,"Gattaran"
"Cavite",42100000,42123000,"Gen. Mariano Alvarez"
"Maguindanao",153800000,153819000,"Gen. S. K. Pendatun"
"Cavite",42100000,42107000,"General Emilio Aguinaldo"
"Quezon",45600000,45616000,"General Luna"
"Surigao del Norte",166700000,166710000,"General Luna"
"Eastern Samar",82600000,82607000,"General Macarthur"
"Nueva Ecija",34900000,34909000,"General Mamerto Natividad"
"Quezon",45600000,45617000,"General Nakar"
"Nueva Ecija",34900000,34910000,"General Tinio (Papaya)"
"Cavite",42100000,42108000,"General Trias"
"Tarlac",36900000,36906000,"Gerona"
"Surigao del Norte",166700000,166711000,"Gigaquit"
"Catanduanes",52000000,52005000,"Gigmoto"
"Cebu",72200000,72225000,"Ginatilan"
"Eastern Samar",82600000,82608000,"Giporlos"
"Misamis Oriental",104300000,104309000,"Gitagum"
"Sarangani",128000000,128002000,"Glan"
"Oriental Mindoro",175200000,175206000,"Gloria"
"Camarines Sur",51700000,51715000,"Goa"
"Zamboanga del Norte",97200000,97225000,"Godod"
"Cagayan",21500000,21514000,"Gonzaga"
"Davao Oriental",112500000,112506000,"Governor Generoso"
"Ilocos Sur",12900000,12910000,"Gregorio Del Pilar (Concepcion)"
"Pampanga",35400000,35407000,"Guagua"
"Sorsogon",56200000,56208000,"Gubat"
"Bulacan",31400000,31408000,"Guiguinto"
"Nueva Ecija",34900000,34911000,"Guimba"
"Iloilo",63000000,63020000,"Guimbal"
"Quezon",45600000,45618000,"Guinayangan"
"Bohol",71200000,71223000,"Guindulman"
"Maguindanao",153800000,153825000,"Guindulungan"
"Albay",50500000,50504000,"Guinobatan"
"Camiguin",101800000,101802000,"Guinsiliban"
"Zamboanga del Sur",97300000,97343000,"Guipos"
"Eastern Samar",82600000,82609000,"Guiuan"
"Quezon",45600000,45619000,"Gumaca"
"Zamboanga del Norte",97200000,97223000,"Gutalac"
"Basilan",150700000,150710000,"Hadji Mohammad Ajul"
"Basilan",150700000,150712000,"Hadji Muhtamad"
"Sulu",156600000,156606000,"Hadji Panglima Tahil (Marunggas)"
"Davao del Sur",112400000,112404000,"Hagonoy"
"Bulacan",31400000,31409000,"Hagonoy"
"Antique",60600000,60608000,"Hamtic"
"Bataan",30800000,30805000,"Hermosa"
"Eastern Samar",82600000,82610000,"Hernani"
"Leyte",83700000,83719000,"Hilongos"
"Samar (Western Samar)",86000000,86008000,"Hinabangan"
"Surigao del Sur",166800000,166809000,"Hinatuan"
"Leyte",83700000,83720000,"Hindang"
"Ifugao",142700000,142709000,"Hingyon"
"Negros Occidental",64500000,64511000,"Hinigaran"
"Negros Occidental",64500000,64512000,"Hinoba-An (Asia)"
"Southern Leyte",86400000,86403000,"Hinunangan"
"Southern Leyte",86400000,86404000,"Hinundayan"
"Ifugao",142700000,142702000,"Hungduan"
"Zambales",37100000,37105000,"Iba (capital)"
"Batangas",41000000,41010000,"Ibaan"
"Aklan",60400000,60406000,"Ibajay"
"Iloilo",63000000,63021000,"Igbaras"
"Cagayan",21500000,21515000,"Iguig"
"Isabela",23100000,23114000,"Ilagan (capital)"
"Negros Occidental",64500000,64513000,"Ilog"
"Zamboanga Sibugay",98300000,98304000,"Imelda"
"Bukidnon",101300000,101305000,"Impasug-Ong"
"Cavite",42100000,42109000,"Imus"
"Bohol",71200000,71224000,"Inabanga"
"Sulu",156600000,156601000,"Indanan"
"Cavite",42100000,42110000,"Indang"
"Pangasinan",15500000,15520000,"Infanta"
"Quezon",45600000,45620000,"Infanta"
"Misamis Oriental",104300000,104310000,"Initao"
"Leyte",83700000,83721000,"Inopacan"
"Zamboanga Sibugay",98300000,98305000,"Ipil (capital)"
"Sorsogon",56200000,56209000,"Irosin"
"Leyte",83700000,83722000,"Isabel"
"Negros Occidental",64500000,64514000,"Isabela"
"Sultan Kudarat",126500000,126504000,"Isulan (capital)"
"Batanes",20900000,20902000,"Itbayat"
"Benguet",141100000,141106000,"Itogon"
"Batanes",20900000,20903000,"Ivana"
"Capiz",61900000,61905000,"Ivisan"
"Agusan del Norte",160200000,160205000,"Jabonga"
"Nueva Ecija",34900000,34912000,"Jaen"
"Bohol",71200000,71225000,"Jagna"
"Rizal",45800000,45807000,"Jala-Jala"
"Capiz",61900000,61906000,"Jamindan"
"Iloilo",63000000,63023000,"Janiuay"
"Leyte",83700000,83723000,"Jaro"
"Misamis Oriental",104300000,104311000,"Jasaan"
"Leyte",83700000,83724000,"Javier (Bugho)"
"Bohol",71200000,71226000,"Jetafe"
"Samar (Western Samar)",86000000,86009000,"Jiabong"
"Negros Oriental",74600000,74612000,"Jimalalud"
"Misamis Occidental",104200000,104207000,"Jimenez"
"Eastern Samar",82600000,82611000,"Jipapad"
"Sulu",156600000,156602000,"Jolo (capital)"
"Quezon",45600000,45621000,"Jomalig"
"Isabela",23100000,23115000,"Jones"
"Guimaras",67900000,67902000,"Jordan (capital)"
"Davao del Sur",112400000,112405000,"Jose Abad Santos (Trinidad)"
"Zamboanga del Norte",97200000,97222000,"Jose Dalman (Ponot)"
"Camarines Norte",51600000,51605000,"Jose Panganiban"
"Zamboanga del Sur",97300000,97337000,"Josefina"
"Albay",50500000,50505000,"Jovellar"
"Sorsogon",56200000,56210000,"Juban"
"Leyte",83700000,83725000,"Julita"
"Cotabato (North Cotabato)",124700000,124703000,"Kabacan"
"Zamboanga Sibugay",98300000,98306000,"Kabasalan"
"Benguet",141100000,141107000,"Kabayan"
"Apayao",148100000,148104000,"Kabugao (capital)"
"Shariff Kabunsuan",158400000,158405000,"Kabuntalan (Tumbao)"
"Bukidnon",101300000,101306000,"Kadingilan"
"Sultan Kudarat",126500000,126505000,"Kalamansig"
"Zamboanga del Norte",97200000,97227000,"Kalawit"
"Laguna",43400000,43409000,"Kalayaan"
"Palawan",175300000,175321000,"Kalayaan"
"Aklan",60400000,60407000,"Kalibo (capital)"
"Bukidnon",101300000,101307000,"Kalilangan"
"Sulu",156600000,156603000,"Kalingalan Caluang"
"Leyte",83700000,83726000,"Kananga"
"Lanao del Sur",153600000,153610000,"Kapai"
"Davao del Norte",112300000,112305000,"Kapalong"
"Benguet",141100000,141108000,"Kapangan"
"Lanao del Sur",153600000,153639000,"Kapatagan"
"Lanao del Norte",103500000,103505000,"Kapatagan"
"Nueva Vizcaya",25000000,25009000,"Kasibu"
"Zamboanga del Norte",97200000,97203000,"Katipunan"
"Lanao del Norte",103500000,103507000,"Kauswagan"
"Biliran",87800000,87806000,"Kawayan"
"Cavite",42100000,42111000,"Kawit"
"Nueva Vizcaya",25000000,25010000,"Kayapa"
"Sarangani",128000000,128003000,"Kiamba"
"Ifugao",142700000,142703000,"Kiangan"
"Bukidnon",101300000,101308000,"Kibawe"
"Davao del Sur",112400000,112406000,"Kiblawan"
"Benguet",141100000,141109000,"Kibungan"
"Misamis Oriental",104300000,104312000,"Kinoguitan"
"Bukidnon",101300000,101309000,"Kitaotao"
"Agusan del Norte",160200000,160206000,"Kitcharao"
"Lanao del Norte",103500000,103508000,"Kolambugan"
"Zamboanga del Sur",97300000,97311000,"Kumalarang"
"Negros Occidental",64500000,64517000,"La Castellana"
"Zamboanga del Norte",97200000,97204000,"La Libertad"
"Negros Oriental",74600000,74613000,"La Libertad"
"Abra",140100000,140108000,"La Paz"
"Leyte",83700000,83728000,"La Paz"
"Agusan del Sur",160300000,160304000,"La Paz"
"Tarlac",36900000,36907000,"La Paz"
"Benguet",141100000,141110000,"La Trinidad (capital)"
"Compostela Valley",118200000,118202000,"Laak (San Vicente)"
"Zamboanga del Sur",97300000,97312000,"Labangan"
"Zamboanga del Norte",97200000,97205000,"Labason"
"Camarines Norte",51600000,51606000,"Labo"
"Pangasinan",15500000,15521000,"Labrador"
"Abra",140100000,140109000,"Lacub"
"Abra",140100000,140110000,"Lagangilang"
"Ifugao",142700000,142704000,"Lagawe (capital)"
"Abra",140100000,140111000,"Lagayan"
"Misamis Oriental",104300000,104313000,"Lagonglong"
"Camarines Sur",51700000,51717000,"Lagonoy"
"Misamis Oriental",104300000,104314000,"Laguindingan"
"South Cotabato",126300000,126319000,"Lake Sebu"
"Zamboanga del Sur",97300000,97333000,"Lakewood"
"Lanao del Norte",103500000,103509000,"Lala"
"Cagayan",21500000,21516000,"Lal-Lo"
"Sultan Kudarat",126500000,126508000,"Lambayong (Mariano Marcos)"
"Iloilo",63000000,63025000,"Lambunao"
"Ifugao",142700000,142705000,"Lamut"
"Abra",140100000,140112000,"Langiden"
"Tawi-Tawi",157000000,157009000,"Languyan"
"Bukidnon",101300000,101310000,"Lantapan"
"Basilan",150700000,150703000,"Lantawan"
"Surigao del Sur",166800000,166810000,"Lanuza"
"Pangasinan",15500000,15548000,"Laoac"
"Northern Samar",84800000,84808000,"Laoang"
"Northern Samar",84800000,84809000,"Lapinig"
"Zamboanga del Sur",97300000,97313000,"Lapuyan"
"Siquijor",76100000,76102000,"Larena"
"Northern Samar",84800000,84810000,"Las Navas"
"Agusan del Norte",160200000,160207000,"Las Nieves"
"Cagayan",21500000,21517000,"Lasam"
"Antique",60600000,60609000,"Laua-An"
"Nueva Ecija",34900000,34913000,"Laur"
"Batangas",41000000,41011000,"Laurel"
"Northern Samar",84800000,84811000,"Lavezares"
"Eastern Samar",82600000,82612000,"Lawaan"
"Siquijor",76100000,76103000,"Lazi"
"Sultan Kudarat",126500000,126506000,"Lebak"
"Iloilo",63000000,63026000,"Leganes"
"Batangas",41000000,41012000,"Lemery"
"Iloilo",63000000,63027000,"Lemery"
"Iloilo",63000000,63028000,"Leon"
"Leyte",83700000,83729000,"Leyte"
"Aklan",60400000,60408000,"Lezo"
"Batangas",41000000,41013000,"Lian"
"Surigao del Sur",166800000,166811000,"Lianga"
"Aklan",60400000,60409000,"Libacao"
"Southern Leyte",86400000,86405000,"Libagon"
"Misamis Oriental",104300000,104315000,"Libertad"
"Antique",60600000,60610000,"Libertad"
"Dinagat Islands",168500000,168504000,"Libjo (Albor)"
"Camarines Sur",51700000,51718000,"Libmanan"
"Albay",50500000,50507000,"Libon"
"Bukidnon",101300000,101311000,"Libona"
"Cotabato (North Cotabato)",124700000,124705000,"Libungan"
"Nueva Ecija",34900000,34914000,"Licab"
"Abra",140100000,140113000,"Licuan-Baay (Licuan)"
"Ilocos Sur",12900000,12911000,"Lidlidda"
"Bohol",71200000,71227000,"Lila"
"Laguna",43400000,43410000,"Liliw"
"Southern Leyte",86400000,86406000,"Liloan"
"Cebu",72200000,72227000,"Liloan"
"Zamboanga del Norte",97200000,97206000,"Liloy"
"Southern Leyte",86400000,86419000,"Limasawa"
"Bataan",30800000,30806000,"Limay"
"Lanao del Norte",103500000,103510000,"Linamon"
"Palawan",175300000,175313000,"Linapacan"
"Pangasinan",15500000,15522000,"Lingayen (capital)"
"Surigao del Sur",166800000,166812000,"Lingig"
"Nueva Ecija",34900000,34915000,"Llanera"
"Eastern Samar",82600000,82613000,"Llorente"
"Bohol",71200000,71228000,"Loay"
"Batangas",41000000,41015000,"Lobo"
"Bohol",71200000,71229000,"Loboc"
"Occidental Mindoro",175100000,175103000,"Looc"
"Romblon",175900000,175907000,"Looc"
"Bohol",71200000,71230000,"Loon"
"Northern Samar",84800000,84824000,"Lope De Vega"
"Quezon",45600000,45622000,"Lopez"
"Misamis Occidental",104200000,104208000,"Lopez Jaena"
"Agusan del Sur",160300000,160305000,"Loreto"
"Dinagat Islands",168500000,168505000,"Loreto"
"Laguna",43400000,43411000,"Los Baños"
"Abra",140100000,140114000,"Luba"
"Occidental Mindoro",175100000,175104000,"Lubang"
"Pampanga",35400000,35408000,"Lubao"
"Kalinga",143200000,143206000,"Lubuagan"
"Quezon",45600000,45623000,"Lucban"
"Misamis Oriental",104300000,104316000,"Lugait"
"Sulu",156600000,156617000,"Lugus"
"Laguna",43400000,43412000,"Luisiana"
"Lanao del Sur",153600000,153611000,"Lumba-Bayabao (Maguing)"
"Lanao del Sur",153600000,153641000,"Lumbaca-Unayan"
"Laguna",43400000,43413000,"Lumban"
"Lanao del Sur",153600000,153612000,"Lumbatan"
"Lanao del Sur",153600000,153636000,"Lumbayanague"
"La Union",13300000,13310000,"Luna"
"Isabela",23100000,23116000,"Luna"
"Apayao",148100000,148105000,"Luna"
"Nueva Ecija",34900000,34916000,"Lupao"
"Camarines Sur",51700000,51719000,"Lupi"
"Davao Oriental",112500000,112507000,"Lupon"
"Sultan Kudarat",126500000,126507000,"Lutayan"
"Sulu",156600000,156604000,"Luuk"
"Sarangani",128000000,128004000,"Maasim"
"Iloilo",63000000,63029000,"Maasin"
"Capiz",61900000,61907000,"Ma-Ayon"
"Pampanga",35400000,35409000,"Mabalacat"
"Negros Oriental",74600000,74614000,"Mabinay"
"Bohol",71200000,71231000,"Mabini"
"Pangasinan",15500000,15523000,"Mabini"
"Batangas",41000000,41016000,"Mabini"
"Compostela Valley",118200000,118203000,"Mabini (Doña Alicia)"
"Laguna",43400000,43414000,"Mabitac"
"Zamboanga Sibugay",98300000,98307000,"Mabuhay"
"Pampanga",35400000,35410000,"Macabebe"
"Quezon",45600000,45625000,"Macalelon"
"Leyte",83700000,83730000,"Macarthur"
"Compostela Valley",118200000,118204000,"Maco"
"Isabela",23100000,23117000,"Maconacon"
"Southern Leyte",86400000,86408000,"Macrohon"
"Aklan",60400000,60410000,"Madalag"
"Lanao del Sur",153600000,153613000,"Madalum"
"Lanao del Sur",153600000,153614000,"Madamba"
"Quirino",25700000,25704000,"Maddela"
"Surigao del Sur",166800000,166813000,"Madrid"
"Cebu",72200000,72228000,"Madridejos"
"Pampanga",35400000,35411000,"Magalang"
"Cavite",42100000,42112000,"Magallanes"
"Agusan del Norte",160200000,160208000,"Magallanes"
"Sorsogon",56200000,56211000,"Magallanes"
"Camarines Sur",51700000,51720000,"Magarao"
"Laguna",43400000,43415000,"Magdalena"
"Romblon",175900000,175908000,"Magdiwang"
"Cotabato (North Cotabato)",124700000,124706000,"Magpet"
"Occidental Mindoro",175100000,175105000,"Magsaysay"
"Lanao del Norte",103500000,103511000,"Magsaysay"
"Palawan",175300000,175314000,"Magsaysay"
"Davao del Sur",112400000,112407000,"Magsaysay"
"Misamis Oriental",104300000,104317000,"Magsaysay (Linugos)"
"Ilocos Sur",12900000,12912000,"Magsingal"
"Lanao del Sur",153600000,153634000,"Maguing"
"Leyte",83700000,83731000,"Mahaplag"
"Batanes",20900000,20904000,"Mahatao"
"Zamboanga del Sur",97300000,97315000,"Mahayag"
"Camiguin",101800000,101803000,"Mahinog"
"Lanao del Norte",103500000,103512000,"Maigo"
"Sulu",156600000,156605000,"Maimbung"
"Surigao del Norte",166700000,166714000,"Mainit"
"Sarangani",128000000,128005000,"Maitum"
"Laguna",43400000,43416000,"Majayjay"
"Aklan",60400000,60411000,"Makato"
"Cotabato (North Cotabato)",124700000,124707000,"Makilala"
"Lanao del Sur",153600000,153615000,"Malabang"
"Cebu",72200000,72229000,"Malabuyoc"
"Davao del Sur",112400000,112408000,"Malalag"
"Zamboanga Sibugay",98300000,98308000,"Malangas"
"Sarangani",128000000,128006000,"Malapatan"
"Pangasinan",15500000,15524000,"Malasiqui"
"Aklan",60400000,60412000,"Malay"
"Abra",140100000,140115000,"Malibcong"
"Albay",50500000,50509000,"Malilipot"
"Surigao del Norte",166700000,166715000,"Malimono"
"Aklan",60400000,60413000,"Malinao"
"Albay",50500000,50510000,"Malinao"
"Davao del Sur",112400000,112409000,"Malita"
"Southern Leyte",86400000,86409000,"Malitbog"
"Bukidnon",101300000,101313000,"Malitbog"
"Isabela",23100000,23119000,"Mallig"
"Sarangani",128000000,128007000,"Malungon"
"Basilan",150700000,150704000,"Maluso"
"Batangas",41000000,41017000,"Malvar"
"Maguindanao",153800000,153820000,"Mamasapano"
"Camiguin",101800000,101804000,"Mambajao (capital)"
"Occidental Mindoro",175100000,175106000,"Mamburao (capital)"
"Capiz",61900000,61908000,"Mambusao"
"Abra",140100000,140116000,"Manabo"
"Pangasinan",15500000,15525000,"Manaoag"
"Negros Occidental",64500000,64518000,"Manapla"
"Davao Oriental",112500000,112508000,"Manay"
"Masbate",54100000,54110000,"Mandaon"
"Pangasinan",15500000,15526000,"Mangaldan"
"Pangasinan",15500000,15527000,"Mangatarem"
"Maguindanao",153800000,153832000,"Mangudadatu"
"Albay",50500000,50511000,"Manito"
"Negros Oriental",74600000,74615000,"Manjuyod"
"Benguet",141100000,141111000,"Mankayan"
"Bukidnon",101300000,101314000,"Manolo Fortich"
"Oriental Mindoro",175200000,175207000,"Mansalay"
"Misamis Oriental",104300000,104318000,"Manticao"
"Zamboanga del Norte",97200000,97207000,"Manukan"
"Northern Samar",84800000,84812000,"Mapanas"
"Pangasinan",15500000,15528000,"Mapandan"
"Tawi-Tawi",157000000,157003000,"Mapun (Cagayan De Tawi-Tawi)"
"Samar (Western Samar)",86000000,86010000,"Marabut"
"Cavite",42100000,42113000,"Maragondon"
"Compostela Valley",118200000,118205000,"Maragusan (San Mariano)"
"Bukidnon",101300000,101315000,"Maramag"
"Lanao del Sur",153600000,153616000,"Marantao"
"Ilocos Norte",12800000,12813000,"Marcos"
"Zamboanga del Sur",97300000,97317000,"Margosatubig"
"Siquijor",76100000,76104000,"Maria"
"Aurora",37700000,37707000,"Maria Aurora"
"Bohol",71200000,71232000,"Maribojoc"
"Surigao del Sur",166800000,166814000,"Marihatag"
"Bulacan",31400000,31411000,"Marilao"
"Biliran",87800000,87807000,"Maripipi"
"Bataan",30800000,30807000,"Mariveles"
"Lanao del Sur",153600000,153631000,"Marogong"
"Pampanga",35400000,35412000,"Masantol"
"Zambales",37100000,37106000,"Masinloc"
"Lanao del Sur",153600000,153618000,"Masiu"
"Eastern Samar",82600000,82614000,"Maslog"
"Batangas",41000000,41018000,"Mataas Na Kahoy"
"Leyte",83700000,83733000,"Matag-Ob"
"Cotabato (North Cotabato)",124700000,124708000,"Matalam"
"Leyte",83700000,83734000,"Matalom"
"Davao del Sur",112400000,112410000,"Matanao"
"Shariff Kabunsuan",158400000,158406000,"Matanog"
"Sorsogon",56200000,56212000,"Matnog"
"Samar (Western Samar)",86000000,86011000,"Matuguinao"
"Lanao del Norte",103500000,103513000,"Matungao"
"Quezon",45600000,45627000,"Mauban"
"Compostela Valley",118200000,118206000,"Mawab"
"Tarlac",36900000,36908000,"Mayantoc"
"Eastern Samar",82600000,82615000,"Maydolong"
"Leyte",83700000,83735000,"Mayorga"
"Ifugao",142700000,142706000,"Mayoyao"
"Cebu",72200000,72231000,"Medellin"
"Misamis Oriental",104300000,104319000,"Medina"
"Cavite",42100000,42114000,"Mendez (Mendez-Nuñez)"
"Eastern Samar",82600000,82616000,"Mercedes"
"Camarines Norte",51600000,51607000,"Mercedes"
"Leyte",83700000,83736000,"Merida"
"Pampanga",35400000,35413000,"Mexico"
"Iloilo",63000000,63030000,"Miagao"
"Zamboanga del Sur",97300000,97318000,"Midsalip"
"Cotabato (North Cotabato)",124700000,124709000,"Midsayap"
"Masbate",54100000,54112000,"Milagros"
"Camarines Sur",51700000,51721000,"Milaor"
"Iloilo",63000000,63031000,"Mina"
"Camarines Sur",51700000,51722000,"Minalabac"
"Pampanga",35400000,35414000,"Minalin"
"Cebu",72200000,72232000,"Minglanilla"
"Cotabato (North Cotabato)",124700000,124710000,"M'Lang"
"Cebu",72200000,72233000,"Moalboal"
"Masbate",54100000,54113000,"Mobo"
"Marinduque",174000000,174004000,"Mogpog"
"Negros Occidental",64500000,64519000,"Moises Padilla (Magallon)"
"Zamboanga del Sur",97300000,97319000,"Molave"
"Tarlac",36900000,36909000,"Moncada"
"Northern Samar",84800000,84813000,"Mondragon"
"Compostela Valley",118200000,118207000,"Monkayo"
"Masbate",54100000,54114000,"Monreal"
"Compostela Valley",118200000,118208000,"Montevista"
"Rizal",45800000,45809000,"Morong"
"Bataan",30800000,30808000,"Morong"
"Samar (Western Samar)",86000000,86012000,"Motiong"
"Quezon",45600000,45628000,"Mulanay"
"Lanao del Sur",153600000,153619000,"Mulondo"
"Lanao del Norte",103500000,103514000,"Munai"
"Negros Occidental",64500000,64520000,"Murcia"
"Zamboanga del Norte",97200000,97208000,"Mutia"
"Misamis Oriental",104300000,104320000,"Naawan"
"Aklan",60400000,60414000,"Nabas"
"Camarines Sur",51700000,51723000,"Nabua"
"Compostela Valley",118200000,118209000,"Nabunturan (capital)"
"Zamboanga Sibugay",98300000,98309000,"Naga"
"Ilocos Sur",12900000,12913000,"Nagbukel"
"Laguna",43400000,43417000,"Nagcarlan"
"Quirino",25700000,25706000,"Nagtipunan"
"La Union",13300000,13311000,"Naguilian"
"Isabela",23100000,23120000,"Naguilian"
"Cavite",42100000,42115000,"Naic"
"Nueva Ecija",34900000,34918000,"Nampicuan"
"Palawan",175300000,175315000,"Narra"
"Ilocos Sur",12900000,12914000,"Narvacan"
"Agusan del Norte",160200000,160209000,"Nasipit"
"Batangas",41000000,41019000,"Nasugbu"
"Pangasinan",15500000,15529000,"Natividad"
"Mountain Province",144400000,144405000,"Natonin"
"Oriental Mindoro",175200000,175208000,"Naujan"
"Biliran",87800000,87808000,"Naval (capital)"
"Compostela Valley",118200000,118210000,"New Bataan"
"Davao del Norte",112300000,112314000,"New Corella"
"Iloilo",63000000,63032000,"New Lucena"
"Aklan",60400000,60415000,"New Washington"
"South Cotabato",126300000,126311000,"Norala"
"Shariff Kabunsuan",158400000,158411000,"Northern Kabuntalan"
"Bulacan",31400000,31413000,"Norzagaray"
"Cavite",42100000,42116000,"Noveleta"
"Ilocos Norte",12800000,12814000,"Nueva Era"
"Guimaras",67900000,67903000,"Nueva Valencia"
"Aklan",60400000,60416000,"Numancia"
"Lanao del Norte",103500000,103515000,"Nunungan"
"Albay",50500000,50512000,"Oas"
"Bulacan",31400000,31414000,"Obando"
"Camarines Sur",51700000,51725000,"Ocampo"
"Romblon",175900000,175909000,"Odiongan"
"Sulu",156600000,156607000,"Old Panamao"
"Zamboanga Sibugay",98300000,98310000,"Olutanga"
"Sulu",156600000,156619000,"Omar"
"Misamis Oriental",104300000,104321000,"Opol"
"Bataan",30800000,30809000,"Orani"
"Eastern Samar",82600000,82617000,"Oras"
"Bataan",30800000,30810000,"Orion"
"Cebu",72200000,72235000,"Oslob"
"Iloilo",63000000,63034000,"Oton"
"Davao del Sur",112400000,112411000,"Padada"
"Southern Leyte",86400000,86410000,"Padre Burgos"
"Quezon",45600000,45629000,"Padre Burgos"
"Batangas",41000000,41020000,"Padre Garcia"
"Laguna",43400000,43418000,"Paete"
"Maguindanao",153800000,153822000,"Pagagawan"
"Maguindanao",153800000,153810000,"Pagalungan"
"Lanao del Sur",153600000,153620000,"Pagayawan (Tatarikan)"
"Quezon",45600000,45630000,"Pagbilao"
"Maguindanao",153800000,153823000,"Paglat"
"Samar (Western Samar)",86000000,86026000,"Pagsanghan"
"Laguna",43400000,43419000,"Pagsanjan"
"Ilocos Norte",12800000,12815000,"Pagudpud"
"Laguna",43400000,43420000,"Pakil"
"Isabela",23100000,23121000,"Palanan"
"Masbate",54100000,54115000,"Palanas"
"Northern Samar",84800000,84814000,"Palapag"
"Zambales",37100000,37108000,"Palauig"
"Sultan Kudarat",126500000,126509000,"Palimbang"
"Leyte",83700000,83739000,"Palo"
"Leyte",83700000,83740000,"Palompon"
"Occidental Mindoro",175100000,175107000,"Paluan"
"Northern Samar",84800000,84815000,"Pambujan"
"Camarines Sur",51700000,51726000,"Pamplona"
"Cagayan",21500000,21518000,"Pamplona"
"Negros Oriental",74600000,74616000,"Pamplona"
"Misamis Occidental",104200000,104211000,"Panaon"
"Capiz",61900000,61909000,"Panay"
"Maguindanao",153800000,153833000,"Pandag"
"Sulu",156600000,156618000,"Pandami"
"Antique",60600000,60611000,"Pandan"
"Catanduanes",52000000,52006000,"Pandan"
"Bulacan",31400000,31415000,"Pandi"
"Catanduanes",52000000,52007000,"Panganiban (Payo)"
"Bukidnon",101300000,101316000,"Pangantucan"
"Laguna",43400000,43421000,"Pangil"
"Bohol",71200000,71233000,"Panglao"
"Sulu",156600000,156616000,"Panglima Estino (New Panamao)"
"Tawi-Tawi",157000000,157001000,"Panglima Sugala (Balimbing) (capital)"
"Sulu",156600000,156608000,"Pangutaran"
"Tarlac",36900000,36910000,"Paniqui"
"Capiz",61900000,61910000,"Panitan"
"Nueva Ecija",34900000,34920000,"Pantabangan"
"Lanao del Norte",103500000,103516000,"Pantao Ragat"
"Lanao del Norte",103500000,103523000,"Pantar"
"Compostela Valley",118200000,118211000,"Pantukan"
"Quezon",45600000,45631000,"Panukulan"
"Ilocos Norte",12800000,12816000,"Paoay"
"Bulacan",31400000,31416000,"Paombong"
"Camarines Norte",51600000,51608000,"Paracale"
"Mountain Province",144400000,144406000,"Paracelis"
"Samar (Western Samar)",86000000,86022000,"Paranas (Wright)"
"Sulu",156600000,156609000,"Parang"
"Shariff Kabunsuan",158400000,158407000,"Parang"
"Camarines Sur",51700000,51727000,"Pasacao"
"Kalinga",143200000,143208000,"Pasil"
"Leyte",83700000,83741000,"Pastrana"
"Ilocos Norte",12800000,12817000,"Pasuquin"
"Sulu",156600000,156610000,"Pata"
"NCR Fourth District",137600000,137606000,"Pateros"
"Sulu",156600000,156611000,"Patikul"
"Quezon",45600000,45632000,"Patnanungan"
"Antique",60600000,60612000,"Patnongon"
"Iloilo",63000000,63036000,"Pavia"
"Zamboanga Sibugay",98300000,98311000,"Payao"
