"Template","Template Description","Complete Question","Date Question","Time Question","Location Detail","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Type of disaster","String",,1,"24H-1",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Capacity to respond quickly","YesNo",,2,"24H-2",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Approximate number of inhabitants","Numeric",,3,"24H-3",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Name of contact person in the community","String",,4,"24H-4",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Contact information","String",,5,"24H-5",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"# Injured","Numeric",,6,"24H-6",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"# Dead","Numeric",,7,"24H-7",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"# Missing","Numeric",,8,"24H-8",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"# Minor damage","Numeric","Building can be safely occupied but needs minor repairs",9,"24H-9",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"# Moderate damage","Numeric","Building cannot be safely occupied and needs major repairs",10,"24H-10",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"# Destroyed","Numeric","Obviously destroyed and requires rebuilding",11,"24H-11",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Displaced","Grid",,12,"24H-12-","{'col-cnt': '2', 'row-cnt': '2', 'rows': ['Displaced', 'Evacuated'], 'data': [['Numeric', 'Numeric'], ['Numeric', 'Numeric']], 'columns': ['Currently known', 'Projected']}"
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"How are people being sheltered?","OptionOther",,16,"24H-16","{'1': 'Shelter', '3': 'Camps', '2': 'Host families', 'Length': '3'}"
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Background Information",1,"Describe shelter situation","Text",,17,"24H-17",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Infrastructure",2,"Status of roads/best way to access affected area","Text",,18,"24H-18",
"First 24 Hours","Field assessment form (B)","Name of assessment team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","24H-8","Infrastructure",2,"Rail","String",,19,"24H-19",
