"Template","Template Description","Complete Question","Date Question","Time Question","Location Detail","Priority Question","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","Meta Data"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Background Information",1,"Type of diaster (specify):","String",,1,"DANAT1-1",
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Background Information",1,"Title/Position","String",,2,"DANAT1-5",
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-1",2,"Human Impact","Grid","Person",3,"DANAT1-6-","{'QuestionNo': 1, 'col-cnt': '2', 'row-cnt': '5', 'rows': ['Dead', 'Missing', 'Injured', 'Affected', 'Evacuated'], 'data': [['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Estimated number/other', 'Description (specify detail)']}"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-1",2,"Shelter","Grid","Number (No.)",13,"DANAT1-7-","{'QuestionNo': 11, 'col-cnt': '2', 'row-cnt': '1', 'rows': ['Houses destroyed/collapsed/swept away'], 'data': [['Numeric', 'String']], 'columns': ['Estimated number/other', 'Description (specify detail)']}"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-1",2,"Telecommunication","Grid","Commune",15,"DANAT1-8-","{'QuestionNo': 13, 'col-cnt': '2', 'row-cnt': '2', 'rows': ['Landlines not working', 'Mobile networks not working'], 'data': [['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Estimated number/other', 'Description (specify detail)']}"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-1",2,"Logistics","Grid","Commune",19,"DANAT1-9-","{'QuestionNo': 17, 'col-cnt': '2', 'row-cnt': '2', 'rows': ['Road access to affected areas not usable', 'Electrical power supply not working'], 'data': [['Numeric', 'String'], ['Numeric', 'String']], 'columns': ['Estimated number/other', 'Description (specify detail)']}"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-2",3,"Human Protection","Grid",,23,"DANAT1-10-","{'QuestionNo': 1, 'col-cnt': '3', 'row-cnt': '2', 'rows': ['Search and rescue', 'Evacuation'], 'data': [['Numeric', 'Numeric', 'String'], ['Numeric', 'Numeric', 'String']], 'columns': ['Number of communes', 'Number of households', 'Description']}"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-2",3,"Shelter","Text","(specify type)",29,"DANAT1-11",
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-2",3,"Food","Grid",,30,"DANAT1-12-","{'QuestionNo': 8, 'col-cnt': '3', 'row-cnt': '3', 'rows': ['Instant noodles', 'Dry food', 'Rice'], 'data': [['Numeric', 'Numeric', 'String'], ['Numeric', 'Numeric', 'String'], ['Numeric', 'Numeric', 'String']], 'columns': ['Number of communes', 'Number of households', 'Description']}"
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-2",3,"Health","Text","(specify urgent needs)",39,"DANAT1-13",
"Viet Nam DANA-1","Template 1  EARLY NOTIFICATION REPORT","Name of team leader","Date of Assessment","Time of Assessment","['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']","DANAT1-6-1","Part-2",3,"Logistics","Text","(specify)",40,"DANAT1-14",
