Organisation,Acronym,Type,Website,Domain
CARE,,International NGO,http://www.care.org,care.org
Humanitarian OpenStreetMap Team,HOT,International NGO,http://hot.openstreetmap.org,hot.openstreetmap.org
International Open Source Network ASEAN+3,IOSN,International NGO,http://www.iosnasean.net,iosnasean.net
National Telehealth Center,,National NGO,http://one.telehealth.ph,telehealth.ph
Oxfam,,International NGO,http://www.oxfam.org.uk,oxfam.org.uk
Philippine Red Cross,PRC,Red Cross / Red Crescent,http://www.redcross.org.ph,redcross.org.ph
Sahana Software Foundation,SSF,International NGO,http://sahanafoundation.org,sahanafoundation.org
The National Confederation of Cooperatives,NATCCO,National NGO,http://www.natcco.coop,natcco.coop
UNICEF,,UN,http://www.unicef.org,unicef.org
World Food Programme,WFP,UN,http://www.wfp.org,wfp.org
