Organisation,Branch,SubBranch,SubSubBranch,SubSubSubBranch,SubSubSubSubBranch,Acronym,Type,Region,Country,Website,Facebook,Twitter,Domain
DPC_DI_Coma_C,,,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS2,,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS3,,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS4,,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS5,,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_c,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS2,DPC_COM_d,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS2,DPC_COM_e,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS2,DPC_COM_f,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS3,DPC_COM_g,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS3,DPC_COM_h,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS3,DPC_COM_i,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS4,DPC_COM_j,,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_1,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_2,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_3,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_4,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_5,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_6,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_c,DPC_COC_7,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_c,DPC_COC_8,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS2,DPC_COM_d,DPC_COC_9,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS2,DPC_COM_e,DPC_COC_10,,,DPC,Government,,IT,http://www.protezionecivile.it,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_1,Comune L'aquila,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_2,Comune Pescara,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_3,Comune Chieti,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_4,Comune Lecce,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_5,Comune Taranto,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_6,Comune Bari,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_c,DPC_COC_7,Comune Roma,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_c,DPC_COC_8,Comune Ostia,,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_2,Comune Pescara,Gestione Accampamento TensoStrutture SportingClub,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_a,DPC_COC_2,Comune Pescara,Cooperativa Aiutiamoci,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_4,Comune Lecce,Associazione Aiuto Globale,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_b,DPC_COC_4,Comune Lecce,Associazione Hotel Miramare,,Government,,IT,,,,
DPC_DI_Coma_C,DPC_CCS1,DPC_COM_c,DPC_COC_7,Comune Roma,Associazione Culturale TerremotiAmici,,Government,,IT,,,,
