Type,Name,Comments
Languages,"Inglese - Parlato"
Languages,"Inglese - Scritto"
Languages,"Francese - Parlato"
Languages,"Francese - Scritto"
Languages,"Spagnolo - Parlato"
Languages,"Spagnolo - Scritto"
Languages,"Arabo - Parlato"
Languages,"Arabo - Scritto"
Languages,"Cinese - Parlato"
Languages,"Cinese - Scritto"
Languages,"Filippino - Parlato"
Languages,"Filippino - Scritto"
Languages,"Albanese - Parlato"
Languages,"Albanese - Scritto"
Languages,"Croato - Parlato"
Languages,"Croato - Scritto"
Languages,"Ucraino - Parlato"
Languages,"Ucraino - Scritto"


