Type,Comments,KV:XX
"Moria di animali",,"EMS:animalHealth.animalDieOff"
"Alimentazione animale",,"EMS:animalHealth.animalFeed"
"Caduta aereo",,"EMS:aviation.aircraftCrash"
"Dirottamento aereo",,"EMS:aviation.aircraftHijacking"
"Chiusura aereoporto",,"EMS:aviation.airportClosure"
"Chiusura spazio aereo",,"EMS:aviation.airspaceClosure"
"Documentazione NOTAM",,"EMS:aviation.noticeToAirmen"
"Detriti Spaziali",,"EMS:aviation.spaceDebris"
"Manifestazioni",,"EMS:civil.demonstrations"
"Visita dignitari",,"EMS:civil.dignitaryVisit"
"Sfollati",,"EMS:civil.displacedPopulations"
"Emergenza civile",,"EMS:civil.emergency"
"Saccheggi",,"EMS:civil.looting"
"Evento Pubblico",,"EMS:civil.publicEvent"
"Saccheggio",,"EMS:civil.riot"
"Richiesta volontaria",,"EMS:civil.volunteerRequest"
"Crimine",,"EMS:crime"
"Bomba",,"EMS:crime.bomb"
"Esplosione bomba",,"EMS:crime.bombExplosion"
"Allarme bomba",,"EMS:crime.bombThreat"
"Persona pericolosa",,"EMS:crime.dangerousPerson"
"Droghe",,"EMS:crime.drugs"
"Violenza in famiglia",,"EMS:crime.homeCrime"
"Immigrazione clandestina",,"EMS:crime.illegalImmigrant"
"Crimine industriale",,"EMS:crime.industrialCrime"
"Avvelenamento",,"EMS:crime.poisoning"
"Crimine al dettaglio",,"EMS:crime.retailCrime"
"Sparatoria",,"EMS:crime.shooting"
"Clandestinità",,"EMS:crime.stowaway"
"Terrorismo",,"EMS:crime.terrorism"
"Criminalità connessa ai veicoli",,"EMS:crime.vehicleCrime"
"Fuoco",,"EMS:fire"
"Incendio Foresta",,"EMS:fire.forestFire"
"Zona calda",,"EMS:fire.hotSpot"
"Incendio Industria",,"EMS:fire.industryFire"
"Fumo",,"EMS:fire.smoke"
"Incendio urbano",,"EMS:fire.urbanFire"
"Incendio indomabile",,"EMS:fire.wildFire"
"Alluvione",,"EMS:flood"
"Piena della diga",,"EMS:flood.damOverflow"
"Alluvione improvvisa",,"EMS:flood.flashFlood"
