"Name","Description","Module","Resource","Controller","Function","Symbology","Marker","GPS Marker","Popup Label","Popup Fields","REST Filter","Filter Field","Filter Value","Trackable","Folder","Visible","Enabled"
"Incident Reports",,"irs","ireport",,,"US","incident","Danger Area","Incident","name/category",,,,,,"False",
"Hospitals",,"hms","hospital",,,"US","hospital","Medical Facility","Hospital",,,,,,,"False",
"Shelters",,"cr","shelter",,,"US","shelter","Campground","Shelter","name/population/capacity","shelter.status=2","status",2,,,"False",
"Offices","All Active Offices","org","office",,,"US","office","Building","Office","name/organisation_id","office.type=NONE,1,2,3,4&amp;office.obsolete=False",,,,,"False",
"Activities",,"project","activity",,,"US","activity",,"Activity","name/location_id/multi_activity_type_id",,,,,,"False",
"Staff","All Active Staff","hrm","human_resource",,,"US","staff","Contact, Dreadlocks","Staff","person_id/job_title/organisation_id","human_resource.type=1&amp;human_resource.status=1","type",1,"True",,"False",
"Volunteers","All Active Volunteers","hrm","human_resource",,,"US","volunteer","Contact, Dreadlocks","Volunteer","person_id/job_title/organisation_id","human_resource.type=2&amp;human_resource.status=1","type",2,"True",,"False",
"Warehouses","All Active Warehouses","org","office","inv","warehouse","US","office","Building","Warehouse","name/organisation_id","office.type=5&amp;office.obsolete=False","type",5,,,"False",
"Assets",,"asset","asset",,,"US","asset",,"Asset","item_id/number","asset.type=4","type",4,"True",,"False",
"Vehicles",,"asset","asset",,,"US","vehicle","Car","Vehicle","item_id/number","asset.type=1","type",1,"True",,"False",
"Stock Items","Used for Search Results","inv","inv_item",,,"US",,,"Stock Item","item_id/site_id/quantity/item_pack_id/expiry_date",,,,,,"False","False"
