"Name","Comments"
"Avalanche","snow avalanche, snow slide"
"Cold Wave","extreme weather, extreme temperature, cold temperatures"
"Cyclone","hurricane, tropical storm, tropical depression, typhoon"
"Drought","deficiency of precipitation, desertification, pronounced absence of rainfall"
"Earthquake","seismic, tectonic"
"Epidemic","bubonic plague, cholera, dengue, non-pandemic diseases, typhoid"
"Flood","inundation; includes: flash floods"
"Heat Wave","extreme weather, extreme temperature, high temperatures"
"Insect Infestation","locust, plague, African bees"
"Land Slide","debris flow, mud flow, mud slide, rock fall, slide, lahar, rock slide and topple"
"Storm Surge","coastal flood, wave surge, wind setup"
"Technological","Disaster chemical spill/leak, explosions, collapses, gas leaks, urban fire, oil spill, technical failure"
"Tornado","waterspout, twister, vortex"
"Tsunami","Tsunami"
"Volcano","crater, lava, magma, molten materials, pyroclastic flows, volcanic rock, volcanic ash"
"Fire","urban fire, bush fire, forest fire, uncontrolled fire, wildland fire"
