Organisation,Acronym,Sectors,Services,Type,Country,Website,Twitter,Donation Phone,Comments
LA City Emergency Management Department,EMD,"Government,Emergency Management",Emergency and Disaster Offices,Government,US,http://emergency.lacity.org,ReadyLA,,
CERT Los Angeles,CERT,Emergency Management,Volunteer Opportunities,National NGO,US,http://www.cert-la.com,,,
American Red Cross,ARC,"Emergency Management,Housing / Shelter",Volunteer Opportunities,Red Cross / Red Crescent,US,http://redcrossla.org,redcrossla,,
LA Works,,Social Services,Volunteer Opportunities,National NGO,US,http://www.laworks.com,,,
Volunteer Center of Los Angeles,VCLA,Social Services,,National NGO,US,http://www.vcla.net,,,
Disaster Healthcare Volunteers,DHV,Emergency Management,Volunteer Opportunities,National NGO,US,http://www.lacountydhv.org,,,
Salvation Army,,Cultural / Faith Based Organization,"Thrift Shops,Volunteer Opportunities",National NGO,US,http://www1.usw.salvationarmy.org/USW/www_usw_southcal.nsf/,,,
Catholic Charities of Los Angeles,,Cultural / Faith Based Organization,Volunteer Opportunities,National NGO,US,http://www.catholiccharitiesla.org,,,
California Southern Baptist Convention Disaster Relief,,Cultural / Faith Based Organization,Churches,National NGO,US,http://www.csbc.com/disasterrelief,,,
Faithful Central Bible Church,,Cultural / Faith Based Organization,Churches,National NGO,US,http://www.faithfulcentral.com,,,
LA Regional Food Bank,,Social Services,Food Assistance,National NGO,US,http://www.lafoodbank.org,,,
Lutheran Social Services of the Southwest,,Cultural / Faith Based Organization,,National NGO,US,http://www.lss-sw.org,,,
"Operation HOPE, Inc.",,Social Services,,National NGO,US,http://www.operationhope.org,,,
Tzu Chi Foundation,,Cultural / Faith Based Organization,,National NGO,US,http://www.us.tzuchi.org/us/en/,,,
United Way - Los Angeles,,Social Services,Volunteer Opportunities,National NGO,US,http://www.unitedwayla.org,,,
LA City Department of Animal Services,,Government,Animals and Pets,Government,US,http://www.laanimalservices.com,,,
LA County Chief Information Office,,Government,,Government,US,http://egis3.lacounty.gov/egis/,,,
LA County Department of Public Health,,Government,,Government,US,http://publichealth.lacounty.gov,,,
LA County Department of Social Services,,Government,,Government,US,http://www.ladpss.org,,,
LA County Emergency Management Office,,"Government,Emergency Management",,Government,US,http://www.lacoa.org,,,
Walmart,,Business,,Business,US,http://www.walmart.com,,,
