Code,Name,Organisation,Branch,Phone,Email,Website,Country,L1,L2,L3,L4,L5,Building,Address,Postcode,Lat,Lon
HQ,Fire Headquarters,Seattle Fire Department,Battalion 2,,,http://www.seattle.gov/fire/firestations/stations.htm#staHQ,US,Washington,King,Seattle,,,,301 2nd Ave,,47.59986,-122.33195
2,Fire Station #2,Seattle Fire Department,Battalion 2,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs02/2.htm,US,Washington,King,Seattle,,,,301 Aurora Ave N,,47.616188,-122.344737
3,Fire Station #3,Seattle Fire Department,Battalion 4,,,http://www.seattle.gov/fire/firestations/stations.htm#sta3,US,Washington,King,Seattle,,,,1735 West Thurman,,47.6555,-122.37875
5,Fire Station #5,Seattle Fire Department,Battalion 2,,,http://www.seattle.gov/fire/firestations/stations.htm#sta5,US,Washington,King,Seattle,,,,925 Alaskan Wy,,47.603643,-122.338829
6,Fire Station #6,Seattle Fire Department,Battalion 5,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs06/6.htm,US,Washington,King,Seattle,,,,101 23rd Av S,,47.601462,-122.302712
8,Fire Station #8,Seattle Fire Department,Battalion 4,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs08/8.htm,US,Washington,King,Seattle,,,,110 Lee St,,47.631175,-122.354985
9,Fire Station #9,Seattle Fire Department,Battalion 4,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs09/9.htm,US,Washington,King,Seattle,,,,3829 Linden Av N,,47.653625,-122.348885
10,Fire Station #10,Seattle Fire Department,Battalion 2,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs10/10.htm,US,Washington,King,Seattle,,,,400 S Washington St,,47.599846,-122.331979
11,Fire Station #11,Seattle Fire Department,Battalion 7,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs11/11.htm,US,Washington,King,Seattle,,,,1514 SW Holden St,,47.533934,-122.354695
13,Fire Station #13,Seattle Fire Department,Battalion 5,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs13/13.htm,US,Washington,King,Seattle,,,,3601 Beacon Av S,,47.571742,-122.308646
14,Fire Station #14,Seattle Fire Department,Battalion 5,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs14/14.htm,US,Washington,King,Seattle,,,,3224 4th Av S,,47.574617,-122.328559
16,Fire Station #16,Seattle Fire Department,Battalion 6,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs16/16.htm,US,Washington,King,Seattle,,,,6846 Oswego Pl NE,,47.679124,-122.323198
17,Fire Station #17,Seattle Fire Department,Battalion 6,,,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs17/17.htm,US,Washington,King,Seattle,,,,4557 11th Avenue NE,,47.665167,-122.316659
