Name,Height,Width,Image
marker_red,34,20,"marker_red.png"
activity,34,22,"DRMP/Activity.png"
airport,40,40,"OCHA/logistics_airport_40px.png"
assessment,34,22,"DRMP/Assessment.png"
bridge,40,40,"OCHA/logistics_bridge_40px.png"
earthquake,50,50,"ersSymbolsV0202/Natural_Events/Geo_Earth_Quake_Epicenter.png"
health,40,40,"OCHA/cluster_health_40px.png"
office,34,22,"DRMP/Office.png"
project,34,22,"DRMP/Project.png"
report,34,20,"DRMP/Report.png"
resource,34,20,"DRMP/Report.png"
seaport,40,40,"OCHA/logistics_port_40px.png"
training,34,22,"DRMP/Training.png"
