"ADM2_NAME","ADM3_NAME","ADM3_CODE"
"Aileu Vila","Aisirimou",20101
"Aileu Vila","Bandudato",20102
"Aileu Vila","Fahiria",20103
"Aileu Vila","Fatubosa",20104
"Aileu Vila","Hoholau",20107
"Aileu Vila","Lahae",20105
"Aileu Vila","Lausi",20106
"Aileu Vila","Saboria",20110
"Aileu Vila","Seloi Craic",20109
"Aileu Vila","Seloi Malere",20108
"Aileu Vila","Suco Liurai",20111
"Ainaro","Ainaro",10101
"Ainaro","Cassa",10105
"Ainaro","Manutasi",10104
"Ainaro","Mau-Nuno",10107
"Ainaro","Mau-Ulo",10106
"Ainaro","Soro",10103
"Ainaro","Suro-Craic",10102
"Alas","Aituha",100201
"Alas","Dotic",100202
"Alas","Mahaquidan",100204
"Alas","Taitudac",100203
"Alas","Uma Berloic",100205
"Atabae","Aidabaleten",40401
"Atabae","Aodabaleten",30403
"Atabae","Atabae",40402
"Atabae","Hataz",40404
"Atabae","Rairobo",40403
"Atauro","Atauro Vila/Maumeta",60401
"Atauro","Beloi",60403
"Atauro","Biceli",60405
"Atauro","Macadade",60404
"Atauro","Maquili",60402
"Atsabe","Atadame/Malabe",70409
"Atsabe","Atara",70402
"Atsabe","Baboi Craic",70403
"Atsabe","Batumanu",70406
"Atsabe","Beboi Leten",70412
"Atsabe","Laclo",70411
"Atsabe","Lasaun",70405
"Atsabe","Laubono",70408
"Atsabe","Leimea Leten",70410
"Atsabe","Obulo",70404
"Atsabe","Paramin",70401
"Atsabe","Tiarlelo",70407
"Baguia","Afaloicai",30401
"Baguia","Alaua Craic",30402
"Baguia","Alaua Leten",30403
"Baguia","Defa Uassi",30408
"Baguia","Haeconi",30404
"Baguia","Lari Sula",30406
"Baguia","Lavateri",30409
"Baguia","Osso-Huna",30405
"Baguia","Samalari",30407
"Balibo","Balibo Vila",40301
"Balibo","Batugade",40306
"Balibo","Cowa",40303
"Balibo","Leohito",40302
"Balibo","Leolima",40304
"Balibo","Sanirin",40305
"Barique/Natarbora","Abat Oan",110503
"Barique/Natarbora","Aubeon",110501
"Barique/Natarbora","Barique",110504
"Barique/Natarbora","Manehat",110505
"Barique/Natarbora","Uma Boco",110502
"Baucau","Bahu",30101
"Baucau","Bucoli",30102
"Baucau","Buibau",30104
"Baucau","Buruma",30103
"Baucau","Caibada",30111
"Baucau","Gariuai",30107
"Baucau","Samalari",30106
"Baucau","Seical",30110
"Baucau","Triloca",30108
"Baucau","Trilolo",30109
"Baucau","Wailili",30105
"Bazartete","Fahilebo",80102
"Bazartete","Fatumasi",80101
"Bazartete","Lauhata",80106
"Bazartete","Leorema",80107
"Bazartete","Maumeta",80108
"Bazartete","Metagou",80105
"Bazartete","Motaulun",80104
"Bazartete","Tibar",80103
"Bazartete","Ulmera",80109
"Bobonaro","Ai-Assa",40601
"Bobonaro","Atu-Aben",40602
"Bobonaro","Bobonaro",40603
"Bobonaro","Carabau",40604
"Bobonaro","Colimau",40605
"Bobonaro","Cotabot",40606
"Bobonaro","Ilat-Laun",40618
"Bobonaro","Leber",40609
"Bobonaro","Lour",40608
"Bobonaro","Lourba",40607
"Bobonaro","Male-Ubu",40612
"Bobonaro","Malilait",40610
"Bobonaro","Molop",40611
"Bobonaro","Oe-Leu",40613
"Bobonaro","Sibuni",40615
"Bobonaro","Soilesu",40614
"Bobonaro","Tapo",40616
"Bobonaro","Tebabui",40617
"Cailaco","Atudara",40204
"Cailaco","Dau Udu",40206
"Cailaco","Goulolo",40202
"Cailaco","Guenu Lai",40207
"Cailaco","Manapa",40208
"Cailaco","Meligo",40203
"Cailaco","Purugoa",40205
"Cailaco","Raiheu",40201
"Cailaco","Ritabou",40103
"Cristo Rei","Balibar",60605
"Cristo Rei","Becora",60602
"Cristo Rei","Bidau Santana",60607
"Cristo Rei","Camea",60603
"Cristo Rei","Culu Hun",60601
"Cristo Rei","Hera",60604
"Cristo Rei","Meti Aut",60606
"Dom Aleixo","Bairo Pite",60504
"Dom Aleixo","Comoro",60503
"Dom Aleixo","Fatuhada",60501
"Dom Aleixo","Kampung Alor",60502
"Ermera","Estado",70210
"Ermera","Humboe",70206
"Ermera","Lauala",70208
