"Layer","Country","L1","L2","L3","Value"
"Sucos","TL","Dili","Atauro","Biceli",0.331658
"Sucos","TL","Dili","Atauro","Beloi",0.300292
"Sucos","TL","Dili","Atauro","Macadade",0.467626
"Sucos","TL","Dili","Atauro","Maquili",0.029674
"Sucos","TL","Dili","Atauro","Atauro Vila/Maumeta",0.026718
"Sucos","TL","Lautem","Lautem","Parlamento",0.095745
"Sucos","TL","Lautem","Tutuala","Mehara",0.006263
"Sucos","TL","Lautem","Lautem","Com",0.067873
"Sucos","TL","Lautem","Lautem","Pairara",0.050139
"Sucos","TL","Lautem","Lautem","Baduro",0.047059
"Sucos","TL","Lautem","Lautem","Maina I",0.488372
"Sucos","TL","Lautem","Lautem","Serelau",0.421384
"Sucos","TL","Lautem","Lospalos","Bauro",0.526432
"Sucos","TL","Lautem","Lautem","Daudare",0.533546
"Sucos","TL","Lautem","Lautem","Ililai",0.386364
"Sucos","TL","Lautem","Lospalos","Raca",0.687225
"Sucos","TL","Lautem","Lautem","Euquisi",0.497409
"Sucos","TL","Lautem","Tutuala","Tutuala",0.992063
"Sucos","TL","Baucau","Baucau","Caibada",0.430528
"Sucos","TL","Baucau","Baucau","Trilolo",0.047222
"Sucos","TL","Baucau","Laga","Samalari",0.692053
"Sucos","TL","Baucau","Laga","Nunira",0.868852
"Sucos","TL","Lautem","Lautem","Maina II",0.040359
"Sucos","TL","Lautem","Lospalos","Fuiloro",0.19912
"Sucos","TL","Baucau","Baucau","Bahu",0.09648
"Sucos","TL","Baucau","Baucau","Buruma",0.144017
"Sucos","TL","Baucau","Baucau","Triloca",0.344086
"Sucos","TL","Baucau","Baucau","Bucoli",0.290323
"Sucos","TL","Baucau","Laga","Soba",0.175439
"Sucos","TL","Baucau","Baucau","Seical",0.921965
"Sucos","TL","Lautem","Lospalos","Home",0.075342
"Sucos","TL","Baucau","Laga","Saelari",0.44186
"Sucos","TL","Baucau","Vemase","Vemase",0.7075
"Sucos","TL","Baucau","Laga","Tequino Mata",0.727634
"Sucos","TL","Manatuto","Laclo","Umacaduac",0.18125
"Sucos","TL","Lautem","Lospalos","Muapitine",0.003937
"Sucos","TL","Baucau","Baucau","Buibau",0.468652
"Sucos","TL","Manatuto","Manatuto","Sau",0.058252
"Sucos","TL","Baucau","Laga","Libagua",0.951351
"Sucos","TL","Dili","Metinaro","Duyung (Sereia)",0.166667
"Sucos","TL","Lautem","Luro","Wairoce",0.993197
"Sucos","TL","Lautem","Luro","Afabubu",0.468468
"Sucos","TL","Manatuto","Laleia","Lifau",0.040724
"Sucos","TL","Baucau","Laga","Sagadati",0.951557
