Name,Organisation,Type,Country,Building,Address,Postcode,State,District,City,Lat,Lon,Phone1,Phone2,Email,Fax,Comments
Cruz Vermelha de Timor-Leste (CVTL) National Headquarters,Timor-Leste Red Cross Society,Headquarters,TL,Rumbia,"Rua Cristo Rei, Bidau Santa Ana, Dili, Timor-Leste",,DILI,VERA CRUZ,CAICOLI,-8.56262,125.57919,,,,,
Cruz Vermelha de Timor-Leste (CVTL) National Warehouse,Timor-Leste Red Cross Society,Warehouse,TL,Borohun,"Dili, Timor-Leste",,DILI,VERA CRUZ,CAICOLI,-8.56037,125.57775,,,,,
Ainaro Branch Office,Timor-Leste Red Cross Society,Field,TL,Maulore,Maulore,,AINARO,AINARO,AINARO,-8.99508,125.49941,,,,,
Lospalos Branch Office,Timor-Leste Red Cross Society,Field,TL,Lospalos,Lospalos,,LAUTEM,LOSPALOS,FUILORO,-8.51994,126.99433,,,,,
Manatuto Branch Office,Timor-Leste Red Cross Society,Field,TL,Lahuoae,Lahuoae,,MANATUTO,MANATUTO,SAU,-8.52083,126.00694,,,,,
Same Branch Office,Timor-Leste Red Cross Society,Field,TL,Same,Same,,MANUFAHI,SAME,LETEFOHO,-9.00362,125.64777,,,,,
Viqueque Branch Office,Timor-Leste Red Cross Society,Field,TL,Cabirooan,Cabirooan,,VIQUEQUE,VIQUEQUE,CARAUBALO,-8.86904,126.36631,,,,,
Ainaro Warehouse,Timor-Leste Red Cross Society,Warehouse,TL,Mauulo 2,Mauulo 2,,AINARO,AINARO,AINARO,-9.01702,125.50397,,,,,
Lospalos Warehouse,Timor-Leste Red Cross Society,,TL,Sentral,Sentral,,LAUTEM,LOSPALOS,FUILORO,-8.52188,126.99469,,,,,
Manatuto Warehouse,Timor-Leste Red Cross Society,,TL,Carlilo,Carlilo,,MANATUTO,MANATUTO,AITEAS,-8.53368,126.00626,,,,,
Same Warehouse,Timor-Leste Red Cross Society,,TL,Haturae,Haturae,,MANUFAHI,SAME,HOLARUA,-8.98788,125.66456,,,,,
Viqueque Warehouse,Timor-Leste Red Cross Society,,TL,Lameklaran,Lameklaran,,VIQUEQUE,VIQUEQUE,CARAUBALO,-8.86043,126.36281,,,,,
