Name,Hazard,Description,Organisation Group,Country,L1,L2,L3,Lat,Lon,WKT
Chemical Factory,Chemical Slip,,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,,,"POLYGON((-118.18781603860334 34.47559522945364,-118.18781603860334 34.473047973890914,-118.18026293801756 34.473047973890914,-118.18026293801756 34.47559522945364,-118.18026293801756 34.47545371729615,-118.18781603860334 34.47559522945364))"
Nuclear Plant,Nuclear,,Acton & Agua Dulce,US,California,Los Angeles County,Los Angeles,,,"POLYGON((-118.31626166390308 34.49692544191405,-118.31651915596306 34.49261031672186,-118.31025351570435 34.49261031672186,-118.310339346397 34.496996179810594,-118.31626166390308 34.49692544191405))"
Poor Drainage,Floods,,Culver City,US,California,Los Angeles County,Culver City,,,"POLYGON((-118.38797320412145 34.0132779495073,-118.39003314064647 34.008155301632236,-118.39260806130049 34.00402849943097,-118.38934649514111 33.999901496699806,-118.38934649514111 33.99278550386062,-118.37097872780124 33.99719748963475,-118.37475527809862 34.00459772545025,-118.37458361672228 34.011712728779216,-118.37355364845529 34.02110362030827,-118.37698687599999 34.02138817656204,-118.38539828346741 34.019538543862865,-118.38659991311076 34.01768887085815,-118.38797320412145 34.0132779495073))"
Steep Hills,Mud Slides,,Culver City,US,California,Los Angeles County,Culver City,34.017762364818985,-118.3773466780411,
Dry plants,Wild Fires,,Huntington Park,US,California,Los Angeles County,Huntington Park,33.97549351065125,-118.20757357623339,
Bars on Windows,Earthquakes,,Huntington Park,US,California,Los Angeles County,Huntington Park,33.9812586835904,-118.22941748645081,
Poor Drainage,Floods,,La Crescenta-Montrose,US,California,Los Angeles County,Los Angeles,34.21956492552089,-118.229889555229,
Steep Hills,Mud Slides,,La Crescenta-Montrose,US,California,Los Angeles County,Los Angeles,34.24369209105038,-118.23126284625768,
Dry plants,Wild Fires,,Pico-Union,US,California,Los Angeles County,Los Angeles,34.044365296057606,-118.29945532824767,
Bars on Windows,Earthquakes,,Pico-Union,US,California,Los Angeles County,Los Angeles,34.04536096573445,-118.2865378096267,
Poor Drainage,Floods,,Watts,US,California,Los Angeles County,Los Angeles,33.941891147161414,-118.2431074812698,
Steep Hills,Mud Slides,,Watts,US,California,Los Angeles County,Los Angeles,33.94559375295198,-118.228859586971,
Dry plants,Wild Fires,,Wilmington,US,California,Los Angeles County,Los Angeles,33.79065906771151,-118.25787035967966,
Bars on Windows,Earthquakes,,Wilmington,US,California,Los Angeles County,Los Angeles,33.78409629499265,-118.23349444415904,
Poor Drainage,Floods,,Pomona,US,California,Los Angeles County,Pomona,34.0593376979159,-117.71658430605149,
Steep Hills,Mud Slides,,Pomona,US,California,Los Angeles County,Pomona,34.087349272563145,-117.78713713197736,
