Organisation,Comments,Service,SubService,SubSubService,Phone,Website
LA County Sanitation Districts,The Districts provide sanitation services for Los Angeles County.,Environment,Hazardous Waste Disposal,,"FAX (562) 699-5422, Main Office Administrative (562) 699-7411, Service/Intake and Administration (562) 908-4288, Household Hazardous Waste Information Only (800) 238-0172, Household Hazardous Waste Hotline/Talkline/Warmline (800) 238-0173, L.A. area Ser",www.lacsd.org
LA County Sheriff's Department,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",Environment,Hazardous Waste Disposal,,"Service/Intake (909) 450-2700, Service/Intake (909) 599-1261, Non-Emergency Service/Intake (626) 332-1184",www.lasd.org
LA County Sheriff's Department,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",Environment,Hazardous Waste Disposal,,Service/Intake and Administration (323) 820-6700,www.lasd.org
California Department of Community Services & Development,The program provides financial assistance to low-income households in Los Angeles County.,Environment,Conservation Programs,,"HEAP Application Requests Service/Intake (888) 351-4061, Information Only (562) 264-3900",www.csd.ca.gov
California Department of Community Services & Development,The program provides financial assistance to low-income households in Los Angeles County.,Environment,Conservation Programs,,"FAX (818) 894-1329, test number Administration (818) 555-1234, Home Energy Assistance Program Service/Intake (818) 891-4148, Community Enhancement Weatherization Application Service/Intake (818) 895-8529, Home Energy Assistance Program Service/Intake (81",www.csd.ca.gov
Computech for Humanity,"Monday through Friday, 9:00am to 5:00pm.",Environment,Recycling,,"FAX (818) 230-5182, Service/Intake and Administration (818) 762-4498",www.computechforhumanity.org
City of Los Angeles Bureau of Sanitation,The program provides sanitation and recycling services for hazardous waste materials to the people of Los Angeles County.,Environment,Hazardous Waste Disposal,,Customer Service - 800-98-TOXIC Service/Intake (800) 988-6942,www.lacitysan.org/solid_resources/special/hhw/safe_centers/index.htm
City of Los Angeles Bureau of Sanitation,The program provides sanitation and recycling services for hazardous waste materials to the people of Los Angeles County.,Environment,Recycling,,Customer Service - 800-98-TOXIC Service/Intake (800) 988-6942,www.lacitysan.org/solid_resources/special/hhw/safe_centers/index.htm
People Who Care Youth Center,The center provides family life education and youth services for people who live in South Los Angeles.,Arts and Recreation,Recreation Centers,,"Service/Intake (323) 778-8905, FAX (323) 778-9060",www.pwcyc.org
California Aquatic Therapy and Wellness Center,The agency provides aquatic therapy and hydrotherapeutic exercise classes for people who have physical or mental disabilities and people who are elderly.,Arts and Recreation,Recreation Programs,,"Service/Intake (310) 537-2224, FAX (310) 537-2255",www.caaquatictherapy.com
Koreatown Youth & Community Center,"The agency provides business services, child care, conservation, counseling services, housing services, and youth services to residents of Koreatown.",Arts and Recreation,Recreation Programs,,"FAX (213) 927-0017, Service/Intake and Administration (213) 365-7400, Property Management Co. Administrative (213) 482-1600, Property Management Co. Service/Intake (213) 482-1600",www.kyccla.org
Salvation Army,The agency provides counseling services and recreational programs for people who live in central Los Angeles.,Arts and Recreation,Recreation Programs,,Service/Intake (213) 896-9178,www.salvationarmy-socal.org
Salvation Army,The agency provides pastoral counseling services and recreational programs for people in the Hollywood area.,Arts and Recreation,Recreation Programs,,"General Information Service/Intake and Administration (323) 960-0640, Weingart Youth Center - After School Program Service/Intake (323) 960-0643",www.salvationarmy-socal.org
Beach Cities Health District,"The agency provides health services to individuals age 0 to 65 and services for older adults age 60 and older or disabled adults age 18 and older, who live in the Beach Cities of Manhattan Beach, Redondo Beach and Hermosa Beach.",Arts and Recreation,Recreation Programs,,"Service/Intake and Administration (310) 374-3426, Senior exercise programs Information Only (310) 347-3426, FAX (310) 374-1242",www.bchd.org
Asian Youth Center,"The agency provides health services and youth services for youth and young adults, age 6 to 18, in the San Gabriel Valley and from satellites in Los Angeles and Lancaster.",Arts and Recreation,Recreation Centers,,"Case/Care Management for Pregnant and Postpartum Women Service/Intake (626) 731-1161, Service/Intake and Administration (626) 309-0622, FAX (626) 309-0717",www.asianyouthcenter.org
City of Baldwin Park Department of Recreation and Community Services,"The Baldwin Park Recreation and Community Services Department provides counseling services, emergency food, health services, personal goods, services for older adults, transportation and youth services for people who live in Baldwin Park including specia",Arts and Recreation,Recreation Programs,,"Service/Intake (626) 813-5245, Senior Center number ext. 323 Service/Intake (626) 813-5245 Ext.323",www.baldwinpark.com
City of Baldwin Park Department of Recreation and Community Services,"The Baldwin Park Recreation and Community Services Department provides counseling services, emergency food, health services, personal goods, services for older adults, transportation and youth services for people who live in Baldwin Park including specia",Arts and Recreation,Recreation Centers,,"Service/Intake (626) 813-5245, Senior Center number ext. 323 Service/Intake (626) 813-5245 Ext.323",www.baldwinpark.com
City of Claremont Senior Services,"The center provides advocacy, cooling center, health services, housing services, nutrition services, and services for older adults, age 55 and older, and for people who live in the City of Claremont.",Arts and Recreation,Recreation Programs,,"Senior HelpLine/Housing Info Service/Intake (909) 625-4600, Service/Intake (909) 399-5488, FAX (909) 621-7320",www.ci.claremont.ca.us
City of Burbank Redevelopment Agency,The Housing Authority provides housing services in the City of Burbank.,Social Services,Housing Assistance and Information,,"FAX (818) 238-5159, Service/Intake (818) 238-5160",www.burbankca.org/redevelopment/housing/
City of Burbank Redevelopment Agency,The Housing Authority provides housing services in the City of Burbank.,Social Services,Public Housing,,"FAX (818) 238-5159, Service/Intake (818) 238-5160",www.burbankca.org/redevelopment/housing/
Institute For Multicultural Counseling and Education Services Inc,"The institute provides counseling services, domestic violence services, education services, and legal services for people who live in Los Angeles County.",Social Services,Domestic Violence Services,,"FAX (213) 383-4803, Service/Intake and Administration (213) 381-1250",imces.org
Institute For Multicultural Counseling and Education Services Inc,"The institute provides counseling services, domestic violence services, education services, and legal services for people who live in Los Angeles County.",Social Services,Domestic Violence Services,,"Service/Intake (818) 240-4311, FAX (818) 240-4318",imces.org
LA County Superior Court ,"The Juvenile Dependency Court, a part of the Superior Court, has jurisdiction over cases which involve minors who may be victims of abuse or neglect.",Social Services,Adoption,,"Court Clerks Office Service/Intake and Administration (323) 526-6645, Administrative (323) 526-6610, Adoptions Unit - Records Service/Intake (323) 526-6343, DCFS Court Liaison Service/Intake (323) 526-6790, 211 L A Project, Lyz Melendez Service/Intake",www.lasuperiorcourt.org
LA County Superior Court ,"The Juvenile Dependency Court, a part of the Superior Court, has jurisdiction over cases which involve minors who may be victims of abuse or neglect.",Social Services,Adoption,,Dependency Court Clerk Service/Intake (661) 945-6447,www.lasuperiorcourt.org
Assistance League,"The league provides financial assistance, health services, library services and thrift shops for people who live in the Whittier area.",Social Services,Payment Assistance,,Service/Intake (562) 693-6533,whittier.assistanceleague.org/dcontact.cfm
Bargain Bin Thrift Store,"The league provides financial assistance, health services, library services and thrift shops for people who live in the Whittier area.",Social Services,Thrift Shops,,Service/Intake (562) 698-7012,whittier.assistanceleague.org/dcontact.cfm
LA County Department of Public Health,The agency provides public safety services to individuals in Los Angeles County.,Social Services,Public Information Services,,"Child Passenger Safety Seat Inspections Service/Intake (866) 732-8243, Administrative (213) 351-7888, FAX (213) 351-2713",www.publichealth.lacounty.gov/IVPP
St. Francis Medical Center,"The medical center provides child abuse services, health education, hospital services, WIA programs, and youth services for people of all ages who live in Southeast Los Angeles County.",Social Services,Job Training,,"Service/Intake (800) 603-9355, Service/Intake and Administration (310) 900-8050",www.stfrancismedicalcenter.com
People Who Care Youth Center,The center provides family life education and youth services for people who live in South Los Angeles.,Education,Guidance and Tutoring Programs,,"Service/Intake (323) 778-8905, FAX (323) 778-9060",www.pwcyc.org
Vista Del Mar Child and Family Services,"The center provides counseling services for children, adolescents, and young adults age zero to 25 and their families who live primarily, in the West Los Angeles area.",Education,Adult Education,,"Service/Intake (310) 204-1666 Ext.356, Intake Service/Intake (310) 204-1666 Ext.407, Service Service/Intake (310) 204-1666 Ext.356",
Toberman Neighborhood Center,"The agency provides advocacy, counseling services, emergency food, holiday assistance, personal goods, recreational programs, substance abuse services, utility bill assistance, volunteer opportunities and youth services.",Education,Early Childhood Education and Head Start,,"FAX (310) 832-6712, Service/Intake and Administration (310) 832-1145",www.toberman.org
