Name,Comments,Type,SubType,SubSubType,Address,Postcode,L3,L2,L1,Opening Times,Phone,Organisation,Website,KV:OBJECTID,KV:post_id,Lat,Lon
Alhambra Main Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,10 W. Bay State St.,91802,Alhambra,Los Angeles County,California,"Monday through Friday, 11:30am to 1:00pm.",,US Postal Service,www.usps.com,4255,4339,34.09282556,-118.1257465
Altadena Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,2271 N. Lake Ave.,91001,Altadena,Los Angeles County,California,"Monday through Friday, 12:00pm to 6:30pm",,US Postal Service,www.usps.com,4256,4340,34.18495759,-118.132151
Arco Plaza Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,505 S. Flower St.,90071,Los Angeles,Los Angeles County,California,"Monday through Friday, 7:00am to 5:00pm",,US Postal Service,www.usps.com,4257,4341,34.05147487,-118.256487
Artesia Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,11721 183rd St.,90701,Artesia,Los Angeles County,California,"Monday through Friday, 7:00am to 5:30pm.",,US Postal Service,www.usps.com,4258,4342,33.86639793,-118.0839786
Baldwin Hills Plaza Station Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,3650 Martin L. King Blvd.,90008,Los Angeles,Los Angeles County,California,"Monday through Friday, 7:30am to 4:30pm.",,US Postal Service,www.usps.com,4259,4343,34.01117599,-118.3364896
Barrington Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,200 Barrington Ave.,90049,Los Angeles,Los Angeles County,California,"Monday through Friday, 7:30am to 4:30pm.",,US Postal Service,www.usps.com,4260,4344,34.06693426,-118.4709623
Bellflower Main Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,9835 Flower St.,90706,Bellflower,Los Angeles County,California,"Monday through Friday, 7:30am to 5:30pm.",,US Postal Service,www.usps.com,4261,4345,33.88258385,-118.1239551
Beverly Hills Main Post Office,This is a US. Postal Office and Includes Passport Services.,Postal,Post Offices,,325 N. Maple Dr.,90210,Beverly Hills,Los Angeles County,California,"Monday through Friday, 8:00 a.m. to 5:00 p.m.",,US Postal Service,www.usps.com,4262,4346,34.07313531,-118.3945262
UPS Alliance Location,,Postal,UPS Locations,,39950 10th St W,93551,Palmdale,Los Angeles County,California,,661-265-7746,UPS,,49773,50494,34.608318,-118.147592
Authorized Shipping Outlet,,Postal,UPS Locations,,4654 E Ave S,93552,Palmdale,Los Angeles County,California,,661-285-4318,UPS,,49774,50495,34.557959,-118.046526
Southern California Edison Company Generating Station,,Environment,EPA Facility Registration System (FRS),,1 Pebbly Beach Road,90704,Avalon,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110002420425,15713,15907,33.334453,-118.312992
Avalon WWTP,,Environment,EPA Facility Registration System (FRS),,25 Pebbly Beach Road,90704,Avalon,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110000759368,15714,15908,33.336528,-118.312448
USAF Plant 42 Site 4 Northrop Grumman,,Environment,EPA Facility Registration System (FRS),,3520 East Avenue M,93550,Palmdale,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110000781459,15715,15909,34.645857,-118.06671
Holliday Rock Co Inc,,Environment,EPA Facility Registration System (FRS),,7749 E Ave T,93543,Littlerock,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110020516967,15716,15910,34.544726,-117.990344
Service Rock Products Inc - Palmdale,,Environment,EPA Facility Registration System (FRS),,37790 75th Street East,93552,Palmdale,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110013286096,15717,15911,34.571012,-117.99599
Eastside Water Treatment Plant,,Environment,EPA Facility Registration System (FRS),,35261 116th Street East,93553,Pearblossom,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110000526093,15718,15912,34.521389,-117.923056
S R Technics America Incorporated,,Environment,EPA Facility Registration System (FRS),,2825 East Avenue P,93550,Palmdale,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110000481899,15719,15913,34.610347,-118.077206
USAF Plant Site 2,,Environment,EPA Facility Registration System (FRS),,20th Street East and Avenue M,93550,Palmdale,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110006488327,15720,15914,34.645945,-118.09438
Arco Facility No 06180,,Environment,EPA Facility Registration System (FRS),,44407 Ave J,93535,Lancaster,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110012185018,15721,15915,34.736127,-117.898801
Los Angeles World Airports - Pmd,,Environment,EPA Facility Registration System (FRS),,39516 N. 25th Street East,93550,Palmdale,Los Angeles County,California,,,,oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110038862282,15722,15916,34.600776,-118.085356
People Who Care Youth Center,The center provides family life education and youth services for people who live in South Los Angeles.,Arts and Recreation,Recreation Centers,,1500 W. Slauson Ave.,90047,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 5:00pm; Saturday, 7:00am to 3:30pm.","Service/Intake (323) 778-8905, FAX (323) 778-9060",People Who Care Youth Center,www.pwcyc.org,,66,33.988994,-118.302639
California Aquatic Therapy and Wellness Center,The agency provides aquatic therapy and hydrotherapeutic exercise classes for people who have physical or mental disabilities and people who are elderly.,Arts and Recreation,Recreation Programs,,6801 Long Beach Blvd.,90805,Long Beach,Los Angeles County,California,,"Service/Intake (310) 537-2224, FAX (310) 537-2255",California Aquatic Therapy and Wellness Center,www.caaquatictherapy.com,,243,33.877688,-118.203929
