Service,Type,SubType,Comments
Individual Support,Newcomer,,
Individual Support,Physical Health,Chronic illness,
Individual Support,Physical Health,Physical disability,
Individual Support,Physical Health,Other physical health problems,
Individual Support,Mental Health,Mental disorder,
Individual Support,Mental Health,Psychological problem,
Individual Support,Mental Health,Other mental health problems,
Individual Support,Education,Transportation,
Individual Support,Education,Diploma translation/notary,
Individual Support,Education,Scholarship,
Individual Support,Education,School registration,
Individual Support,Education,Other education needs,
Individual Support,Registration,Temporary Protection ID,
Individual Support,Registration,Marriage/Divorce/Death,
Individual Support,Registration,Newborn registration,
Individual Support,Registration,Other registration needs,
Individual Support,Legal Assistance,Counseling,
Individual Support,Legal Assistance,Lawsuit,
Individual Support,Legal Assistance,Other legal assistance needs,
Individual Support,Security,Torture,
Individual Support,Security,Threat,
Individual Support,Security,Physical violence,
Individual Support,Security,Abduction,
Individual Support,Security,Other security needs,
Individual Support,Shelter,No housing,
Individual Support,Shelter,Unsafe living condition,
Individual Support,Shelter,Inadequate living condition,
Individual Support,Shelter,Temporary need of accommodation,
Individual Support,Shelter,Risk of evacuation,
Individual Support,Shelter,Other shelter needs,
Individual Support,GBV,Sexual harassment/abuse/exploitation,
Individual Support,GBV,Domestic violence,
Individual Support,GBV,Physical assault,
Individual Support,GBV,Rape,
Individual Support,GBV,Forced marriage,
Individual Support,GBV,Trafficking,
Individual Support,GBV,Other exploitation,
Individual Support,Child Protection,Violence/harassment,
Individual Support,Child Protection,Child labour,
Individual Support,Child Protection,Child trafficking,
Individual Support,Child Protection,Child marriage,
Individual Support,Child Protection,Other child protection need,
Individual Support,Family Union,Family separation,
Individual Support,Family Union,Other family union Problem,
Individual Support,Access to Territory/Detention/Deportation,Access to territory,
Individual Support,Access to Territory/Detention/Deportation,Detention,
Individual Support,Access to Territory/Detention/Deportation,Deportation,
Individual Support,Other,,
Mental Health,Age related problem,,
Mental Health,Physical complaints,,
Mental Health,Social Functioning,,
Mental Health,Family related problem(s),,
Mental Health,Economic functioning,,
Mental Health,Behaviour related,,
Mental Health,Anxiety related complaints,,
Mental Health,Mood related problems,,
Mental Health,Loss/Mourning,,
Mental Health,Other Serious Mental Health Condition(s),,
