Service,Type,SubType,Comments
PSS,Kindergarden,,
PSS,Strc. Reg. Workshops,Music,
PSS,Art workshops,Painting/drawing,
PSS,Art workshops,Dance,
PSS,Art workshops,Drama,
PSS,Art workshops,Story telling,
PSS,Art workshops,Film screening,
PSS,Social events/clubs,iftar,
PSS,Social events/clubs,Picnic,
PSS,Social events/clubs,Festival,
PSS,Social events/clubs,Trip,
PSS,Social events/clubs,Discussion Groups,
PSS,Social events/clubs,Chess,
PSS,Social events/clubs,Football,
PSS,Sport,Sportif Games,
PSS,Sport,Volleyball,
PSS,Sport,Ping pong,
PSS,Sport,Sewing/knitting,
PSS,Hobby sessions,Cooking,
PSS,Hobby sessions,Hair dressing,
PSS,Hobby sessions,Make-up,
PSS,Hobby sessions,Jewelry making,
PSS,Hobby sessions,Parenting skills,
PSS,Awaraness raising,Nutrition,
PSS,Awaraness raising,Breast feeding,
PSS,Awaraness raising,Negative effects of child labour,
PSS,Awaraness raising,Child development,
PSS,Awaraness raising,Early marriages,
PSS,Awaraness raising,First aid,
PSS,Awaraness raising,General Hygine / Health,
PSS,Awaraness raising,Dental health,
PSS,Awaraness raising,Reproductive health,
PSS,Awaraness raising,Gender Equality,
PSS,Awaraness raising,Human and Children Rights,
PSS,Awaraness raising,Violence / GBV,
PSS,Awaraness raising,Tolerance / Acceptance,
PSS,Computer,Beginning,
PSS,Computer,Intermediate,
PSS,Computer,Advanced,
PSS,Computer,Coding,
PSS,Computer,Internet Literacy,
PSS,Arabic,Beginning,
PSS,Arabic,Intermediate,
PSS,Arabic,Advanced,
PSS,Arabic,Conversation,
PSS,Turkish,Beginning,
PSS,Turkish,Intermediate,
PSS,Turkish,Advanced,
PSS,Turkish,Conversation,
PSS,English,Beginning,
PSS,English,Intermediate,
PSS,English,Advanced,
PSS,English,Conversation,
PSS,Tutoring,Tutoring,
PSS,Financial Literacy,Financial Literacy,
PSS,Gardening,Gardening,
Social Cohesion,Story telling,Story telling,
Social Cohesion,Festivals,,
Social Cohesion,Film screening,,
Social Cohesion,İftar,,
Social Cohesion,Other,,
Livelihood,Micro Gardenning,,
Livelihood,Hair dressing,,
Livelihood,Sewing,,
Livelihood,Computer,,
Informative Support,Informative Group Session,,
Individual Support,Informative Support,Individual Informative Support,
Individual Support,Direct Support,Classic CM,
Individual Support,Direct Support,SNF,
Mental Health,Individual-single section,,
Mental Health,Individual-long term,,
