Service,SubService,SubSubService,Comments
Individual Support,Direct Support,Classic CM,
Individual Support,Direct Support,SNF,
Individual Support,Informative Support,Individual Informative Support,
Informative Support,Informative Group Session,,
Livelihood,Computer,,
Livelihood,Hair dressing,,
Livelihood,Micro Gardenning,,
Livelihood,Sewing,,
Mental Health,Individual-long term,,
Mental Health,Individual-single section,,
PSS,Arabic,Advanced,
PSS,Arabic,Beginning,
PSS,Arabic,Conversation,
PSS,Arabic,Intermediate,
PSS,Art workshops,Dance,
PSS,Art workshops,Drama,
PSS,Art workshops,Film screening,
PSS,Art workshops,Painting/drawing,
PSS,Art workshops,Story telling,
PSS,Awareness raising,Breast feeding,
PSS,Awareness raising,Child development,
PSS,Awareness raising,Dental health,
PSS,Awareness raising,Early marriages,
PSS,Awareness raising,First aid,
PSS,Awareness raising,Gender Equality,
PSS,Awareness raising,General Hygiene / Health,
PSS,Awareness raising,Human and Children Rights,
PSS,Awareness raising,Negative effects of child labour,
PSS,Awareness raising,Nutrition,
PSS,Awareness raising,Reproductive health,
PSS,Awareness raising,Tolerance / Acceptance,
PSS,Awareness raising,Violence / GBV,
PSS,Computer,Advanced,
PSS,Computer,Beginning,
PSS,Computer,Coding,
PSS,Computer,Intermediate,
PSS,Computer,Internet Literacy,
PSS,English,Advanced,
PSS,English,Beginning,
PSS,English,Conversation,
PSS,English,Intermediate,
PSS,Financial Literacy,,
PSS,Gardening,,
PSS,Hobby sessions,Cooking,
PSS,Hobby sessions,Hair dressing,
PSS,Hobby sessions,Jewelry making,
PSS,Hobby sessions,Make-up,
PSS,Hobby sessions,Parenting skills,
PSS,Kindergarden,,
PSS,Social events/clubs,Chess,
PSS,Social events/clubs,Discussion Groups,
PSS,Social events/clubs,Festival,
PSS,Social events/clubs,Football,
PSS,Social events/clubs,Picnic,
PSS,Social events/clubs,Trip,
PSS,Social events/clubs,iftar,
PSS,Sport,Ping pong,
PSS,Sport,Sewing/knitting,
PSS,Sport,Sportif Games,
PSS,Sport,Volleyball,
PSS,Strc. Reg. Workshops,Music,
PSS,Turkish,Advanced,
PSS,Turkish,Beginning,
PSS,Turkish,Conversation,
PSS,Turkish,Intermediate,
PSS,Tutoring,,
Social Cohesion,İftar,,
Social Cohesion,Festivals,,
Social Cohesion,Film screening,,
Social Cohesion,Other,,
Social Cohesion,Story telling,,
