Organisation,Branch,SubBranch,SubSubBranch,Name L10n:tr,Acronym,Acronym L10n:tr,Website,Logo,Comments,Type,Country,Phone,Phone2,Email
Support To Life,,,,Hayata Destek,,,http://hayatadestek.org,,,NGO,TR,+90 216 336 2262,,info@hayatadestek.org
Support To Life,STL Adana,,,,,,,,,NGO,TR,,,
Support To Life,STL Batman,,,,,,,,,NGO,TR,,,
Support To Life,STL Diyarbakır,,,,,,,,,NGO,TR,,,
Support To Life,STL Hatay,,,,,,,,,NGO,TR,,,
Support To Life,STL İstanbul,,,,,,,,,NGO,TR,,,
Support To Life,STL Kayseri,,,,,,,,,NGO,TR,,,
Support To Life,STL Mardin,,,,,,,,,NGO,TR,,,
Support To Life,STL Mersin,,,,,,,,,NGO,TR,,,
Support To Life,STL Nevşehir,,,,,,,,,NGO,TR,,,
Support To Life,STL Şanlıurfa,,,,,,,,,NGO,TR,,,
Support To Life,STL Şanlıurfa,Haliliye,,,,,,,,NGO,TR,,,
Support To Life,STL Şanlıurfa,Viranşehir,,,,,,,,NGO,TR,,,
Support To Life,STL Zonguldak,,,,,,,,,NGO,TR,,,
