Organisation,Branch,Name L10n:ar,Type,Region,Country
Iraqi Red Crescent Society,Anbar,الانبار,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Babylon,بابل,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Baghdad,بغداد,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Basrah,البصرة,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Dahuk,دهوك,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Diyala,ديالى,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Erbil,اربيل,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Headquarters,المقر العام,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Kerbala,كربلاء,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Missan,ميسان,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Muthanna,المثنى,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Najaf,النجف,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Ninewa,نينوى,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Qadissiya,القادسية,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Salah al-Din,صلاح الدين,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Sulaymaniyah,السليمانية,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Kirkuk,كركوك,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Thi-Qar,ذي قار,Red Cross / Red Crescent,Middle East,IQ
Iraqi Red Crescent Society,Wassit,واسط,Red Cross / Red Crescent,Middle East,IQ
