Name,Marker
Activity Coordinated Assessment,Activity Coordinated Assessment
Activity Financing,Activity Financing
Activity Information Technology,Activity Information Technology
Activity Public Information,Activity Public Information
Activity Reporting,Activity Reporting
Activity Training,Activity Training
Camp IDP Refugee Camp,Camp IDP Refugee Camp
Cluster CCCM,Cluster CCCM
Cluster Early Recovery,Cluster Early Recovery
Cluster Emergency Telecommunications,Cluster Emergency Telecommunications
Cluster Food Security,Cluster Food Security
Cluster Health,Cluster Health
Cluster Logistics,Cluster Logistics
Cluster Shelter,Cluster Shelter
Cluster WASH,Cluster WASH
Crisis Conflict,Crisis Conflict
Disaster Cyclone,Disaster Cyclone
Disaster Earthquake,Disaster Earthquake
Disaster Epidemic,Disaster Epidemic
Disaster Fire,Disaster Fire
Disaster Flood,Disaster Flood
Disaster Heavy Rain,Disaster Heavy Rain
Disaster Landslide,Disaster Landslide
Disaster Storm,Disaster Storm
Disaster Tornado,Disaster Tornado
Disaster Tsunami,Disaster Tsunami
Disaster Volcano,Disaster Volcano
Food NFI Bucket,Food NFI Bucket
Food NFI Food,Food NFI Food
Food NFI Nonfood Item,Food NFI Nonfood Item
Food NFI Tent,Food NFI Tent
Infrastructure Building,Infrastructure Building
Infrastructure Church,Infrastructure Church
Infrastructure Community Building,Infrastructure Community Building
Infrastructure Government Office,Infrastructure Government Office
Infrastructure Hospital,Infrastructure Hospital
Infrastructure Hotel,Infrastructure Hotel
Infrastructure House,Infrastructure House
Infrastructure NGO Office,Infrastructure NGO Office
Infrastructure Police Station,Infrastructure Police Station
Infrastructure School,Infrastructure School
Infrastructure University,Infrastructure University
Logistics Airport,Logistics Airport
Logistics Airport Military,Logistics Airport Military
Logistics Boat,Logistics Boat
Logistics Bridge,Logistics Bridge
Logistics Bus,Logistics Bus
Logistics Car,Logistics Car
Logistics Ferry,Logistics Ferry
Logistics Gas Station,Logistics Gas Station
Logistics Helipad,Logistics Helipad
Logistics Port,Logistics Port
Logistics Ship,Logistics Ship
Logistics Train,Logistics Train
Logistics Truck,Logistics Truck
Logistics Tunnel,Logistics Tunnel
Other Cluster Rule Of Law,Other Cluster Rule Of Law
Other Cluster Safety Security,Other Cluster Safety Security
People Infant,People Infant
People Man,People Man
People Physical Impairments,People Physical Impairments
People Woman,People Woman
Product Type Report,Product Type Report
Security Arrest,Security Arrest
Security Dangerous Area,Security Dangerous Area
Security Mine,Security Mine
Telecommunications Mobile Phone,Telecommunications Mobile Phone
WASH Borehole,WASH Borehole
WASH Communal Latrine,WASH Communal Latrine
WASH Latrine Cabin,WASH Latrine Cabin
WASH Potable Water,WASH Potable Water
WASH Potable Water Source,WASH Potable Water Source
WASH Sanitation,WASH Sanitation
WASH Shower,WASH Shower
WASH Solid Waste,WASH Solid Waste
WASH Spring Water,WASH Spring Water
WASH Toilet,WASH Toilet
WASH Water Source,WASH Water Source
WASH Water Trucking,WASH Water Trucking
WASH Well,WASH Well
