Name,Organisation
Active,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste)
Corporate,Nepal Red Cross Society
Distinguished,Nepal Red Cross Society
Honorary,Nepal Red Cross Society
Honorary,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste)
Illustrious,Nepal Red Cross Society
Life,Malaysian Red Crescent Society
Life,Myanmar Red Cross Society
Life,Nepal Red Cross Society
Subscribing,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste)
Youth,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste)
