Organisation,Branch,Type,Region,Country
Asia-Pacific Region,CCST Bangkok,Red Cross / Red Crescent,South East Asia,TH
Asia-Pacific Region,CCST Beijing,Red Cross / Red Crescent,East Asia,CN
Asia-Pacific Region,CCST Jakarta,Red Cross / Red Crescent,South East Asia,ID
Asia-Pacific Region,CCST India,Red Cross / Red Crescent,South Asia,IN
Asia-Pacific Region,CCST Fiji,Red Cross / Red Crescent,Pacific,FJ
Asia-Pacific Region,CO Afghanistan,Red Cross / Red Crescent,South Asia,AF
Asia-Pacific Region,CO Bangladesh,Red Cross / Red Crescent,South Asia,BD
Asia-Pacific Region,CO DPRK,Red Cross / Red Crescent,East Asia,KP
Asia-Pacific Region,CO Myanmar,Red Cross / Red Crescent,South East Asia,MM
Asia-Pacific Region,CO Nepal,Red Cross / Red Crescent,South Asia,NP
Asia-Pacific Region,CO Pakistan,Red Cross / Red Crescent,South Asia,PK
Asia-Pacific Region,CO Philippines,Red Cross / Red Crescent,South East Asia,PH
Asia-Pacific Region,IFRC Cambodia,Red Cross / Red Crescent,South East Asia,VN
Asia-Pacific Region,IFRC Viet Nam,Red Cross / Red Crescent,South East Asia,VN
