id,file
"American Red Cross","../../../static/img/logo/arc.png"
"Afghan Red Crescent Society","AF.png"
"Australian Red Cross","AU.png"
"Bhutan Red Cross Society","BT.jpg"
"Honduran Red Cross","CRH.png"
"Indonesian Red Cross Society (Palang Merah Indonesia)","PMI.png"
"International Committee of the Red Cross","ICRC.png"
"International Federation of Red Cross and Red Crescent Societies","IFRC.png"
"Iraqi Red Crescent Society","IRCS.png"
"Malagasy Red Cross Society","CRMADA.png"
"Maldivian Red Crescent","MV.png"
"Mongolian Red Cross Society","galbirlag.png"
"Myanmar Red Cross Society","MY.jpg"
"New Zealand Red Cross","NZRC.png"
"Pakistan Red Crescent Society","PK.png"
"Paraguayan Red Cross","PY.png"
"Philippine Red Cross","PH.png"
"Red Cross of the Democratic Republic of the Congo","RDC.png"
"Singapore Red Cross Society","SG.png"
"Sri Lanka Red Cross Society","LK.png"
"Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste)","CVTL.png"
"Viet Nam Red Cross","VNRC.png"
