Name,Date Name,Time Name
Monday Morning,Mondays,Morning
Monday Afternoon,Mondays,Afternoon
Monday Evening,Mondays,Evening
Tuesday Morning,Tuesdays,Morning
Tuesday Afternoon,Tuesdays,Afternoon
Tuesday Evening,Tuesdays,Evening
Wednesday Morning,Wednesdays,Morning
Wednesday Afternoon,Wednesdays,Afternoon
Wednesday Evening,Wednesdays,Evening
Thursday Morning,Thursdays,Morning
Thursday Afternoon,Thursdays,Afternoon
Thursday Evening,Thursdays,Evening
Friday Morning,Fridays,Morning
Friday Afternoon,Fridays,Afternoon
Friday Evening,Fridays,Evening
Saturday Morning,Saturdays,Morning
Saturday Afternoon,Saturdays,Afternoon
Saturday Evening,Saturdays,Evening
Sunday Morning,Sundays,Morning
Sunday Afternoon,Sundays,Afternoon
Sunday Evening,Sundays,Evening
