Event,Organisation,L1,L2,L3,L4,PSGC,Location,Activity,Sectors,SubSector,Beneficiaries:Total,Start Date,End Date,Status
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion,21504021,Concepcion Elementary School,Provision of Temporary Learning Space (TLS),Education,,163,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion,21504021,Concepcion Elementary School,Provision of Teachers Learning Kit (TLK),Education,,163,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion,21504021,Concepcion Elementary School,Provision of Back-to-School Kit (BSK),Education,,163,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Abolo,21504001,Abolo Elementary School,Provision of Temporary Learning Space (TLS),Education,,111,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Abolo,21504001,Abolo Elementary School,Provision of Teachers Learning Kit (TLK),Education,,111,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Abolo,21504001,Abolo Elementary School,Provision of Back-to-School Kit (BSK),Education,,111,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Unag ,21504047,Unag-Annabuculan Elementary School,Provision of Temporary Learning Space (TLS),Education,,196,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Unag ,21504047,Unag-Annabuculan Elementary School,Provision of Teachers Learning Kit (TLK),Education,,196,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Amulung,Unag ,21504047,Unag-Annabuculan Elementary School,Provision of Back-to-School Kit (BSK),Education,,196,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig,21529018,Carig Elementary School,Provision of Temporary Learning Space (TLS),Education,,552,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig,21529018,Carig Elementary School,Provision of Teachers Learning Kit (TLK),Education,,552,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig,21529018,Carig Elementary School,Provision of Back-to-School Kit (BSK),Education,,552,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Annafunan East,21529001,Annafunan Elementary School,Provision of Temporary Learning Space (TLS),Education,,78,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Annafunan East,21529001,Annafunan Elementary School,Provision of Teachers Learning Kit (TLK),Education,,78,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,21529049,Tuguegarao West High School,Provision of Temporary Learning Space (TLS),Education,,68,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,21529049,Tuguegarao West High School,Provision of Teachers Learning Kit (TLK),Education,,68,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,21529049,Pallua Elementary School,Provision of Temporary Learning Space (TLS),Education,,511,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,21529049,Pallua Elementary School,Provision of Teachers Learning Kit (TLK),Education,,511,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,21529049,Pallua Elementary School,Provision of Back-to-School Kit (BSK),Education,,511,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Cataggaman Nuevo,21529021,Catanggaman Elementary School,Provision of Temporary Learning Space (TLS),Education,,89,,,Completed
