Name,Country,L1,L2,L3,L4
Ammacian Day Care Center,PH,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Ammacian
Dugpa Day Care Center,PH,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Dugpa
Camalog National High School - Malagnat Extension N Pinukpuk,PH,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Malagnat
Rizal Central Elementary School,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Babalag East
Babalag East Day Care Center,PH,CAR [Cordillera Administrative Region],Kalinga,RIzal,Babalag East
Bagbag Day Care Center,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Bulbol
Kinama Day Care Center,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Kinama
Romualdez Elementary School,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Romualdez
San Francisco Learning Center,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,San Francisco
RNSAT Santor Annex,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor
Santor Elementary School,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor
Tagapan Day Care Center,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor
Abolo Elementary School,PH,Region II [Cagayan Valley],Cagayan,Amulung,Abolo
Concepcion Elementary School,PH,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion
Unag-Annabuculan Elementary School,PH,Region II [Cagayan Valley],Cagayan,Amulung,Unag 
Bical Elementary School,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical
Bugatay Elementary School,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay
Penablanca West Central School,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro
Nannarian Elementary School,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian
Annafunan Elementary School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Annafunan East
Carig Elementary School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig
Catanggaman Elementary School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Cataggaman Nuevo
Libag Elementary School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Libag Sur
Tuguegarao West High School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur
Pallua Elementary School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur
Tuguegarao West Central School,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Ugac Sur
Ammugauan Primary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Ammugauan
Biga Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental
Bubog Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug
Santo Tomas National High School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro
Santo Tomas Central Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro
Cabagan Central Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro
Malapagay Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Malapagay
San Rafael Abajo Primary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Rafael Abajo
San Rafael Alto Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Rafael Alto
San Vicente Elementary School,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente
