Event,Organisation,Country,L1,L2,L3,L4,Location,Activity,Sectors,Beneficiaries:Total,Start Date,End Date,Status
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Ammacian,Ammacian Day Care Center,Provision of Early Childhood Care Development Kit (ECCD),Education,21,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Dugpa,Dugpa Day Care Center,Provision of Early Childhood Care Development Kit (ECCD),Education,32,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Malagnat,Camalog National High School - Malagnat Extension Northern Pinukpuk,Provision of Temporary Learning Space (TLS),Education,90,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Babalag East,Rizal Central Elementary School,Provision of Temporary Learning Space (TLS),Education,94,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Babalag East,Babalag East Day Care Center,Provision of Early Childhood Care Development Kit (ECCD),Education,46,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Bulbol,Bagbag Day Care Center,Provision of Early Childhood Care Development Kit (ECCD),Education,35,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Kinama,Kinama Day Care Center,Provision of Early Childhood Care Development Kit (ECCD),Education,36,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Romualdez,Romualdez Elementary School,Provision of Temporary Learning Space (TLS),Education,39,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,San Francisco,San Francisco Learning Center,Provision of Early Childhood Care Development Kit (ECCD),Education,36,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor,RNSAT Santor Annex,Provision of Temporary Learning Space (TLS),Education,46,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor,Santor Elementary School,Provision of Temporary Learning Space (TLS),Education,22,,,Completed
Typhoon Haima,Save the Children,PH,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor,Tagapan Day Care Center,Provision of Early Childhood Care Development Kit (ECCD),Education,31,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Abolo,Abolo Elementary School,Provision of Temporary Learning Space (TLS),Education,111,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Abolo,Abolo Elementary School,Provision of Teachers Learning Kit (TLK),Education,111,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Abolo,Abolo Elementary School,Provision of Back-to-School Kit (BSK),Education,111,,,Completed
