Warehouse,Organisation,Category,Category Code,Catalog,Item Code,Item Name,Units,Brand,Model,Year,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Tracking Number,Bin,Supplier/Donor,Owned By (Organisation/Branch),Expiry Date,Quantity,Unit Value,Currency,Comments
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Blankets,Piece,,,,Roll,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,5000,4.5,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Jerry Cans,Piece,,,,Case,6,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,4000,1.2,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Kitchen Sets,Unit,,,,Box,10,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,900,28,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Hygiene Kits,Unit,,,,Box,25,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,1250,25,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,10000,0.5,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Food,,Standard,,Rice,kg,,,,Sack,5,,,,,,,,Indonesian Red Cross Society (Palang Merah Indonesia),Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,20000,1.2,USD,
Ainaro Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Blankets,Piece,,,,Roll,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,150,6,USD,
Ainaro Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Jerry Cans,Piece,,,,Case,6,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,200,3,USD,
Ainaro Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Kitchen Sets,Unit,,,,Box,10,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,2500,19,USD,
Ainaro Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Hygiene Kits,Unit,,,,Box,25,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,50,21,USD,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Blankets,Piece,,,,Roll,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,500,7,USD,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Jerry Cans,Piece,,,,Case,6,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,100,2,USD,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Kitchen Sets,Unit,,,,Box,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,50,15,USD,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,800,1,USD,
Manatuto Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Blankets,Piece,,,,Roll,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,150,4,USD,
Manatuto Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Jerry Cans,Piece,,,,Case,6,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,100,4,USD,
Manatuto Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Hygiene Kits,Unit,,,,Box,10,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,10,16,USD,
Manatuto Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Box,25,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,1000,0.75,USD,
Same Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Blankets,Piece,,,,Roll,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,600,3,USD,
Same Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Kitchen Sets,Unit,,,,Box,10,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,75,18,USD,
