Organisation,Branch,SubBranch,SubSubBranch,Type,Region,Country
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ambandrika,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ambatondrazaka Suburbaine,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ambatondrazaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ambatosoratra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ambohitsilaozana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Amparihintsokatra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ampitatsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Andilanatoby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Andromba,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Antanandava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Antsangasanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Bejofo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Didy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Feramanga Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Ilafy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Imerimandroso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Manakambahiny Andrefana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Manakambahiny Antsinanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Soalazaina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Ambatondrazaka,Tanambao Besakay,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ambatomainty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Amboavory,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ambodimanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ambohijanahary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ambohimandroso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ambohitrarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Amparafaravola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ampasikely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Andilana Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Andrebakely Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Andrebakely Sud,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Anororo,Red Cross / Red Crescent,Indian Ocean,MG
