Name,Organisation,Branch,Country,L1,L2,L3,Address,Building,Lat,Lon,Phone1,Phone2,Email,Fax,Comments
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,TL,Dili,Vera Cruz,Caicoli,Dili,Borohun,-8.56037,125.57775,,,,,
Ainaro Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,TL,Ainaro,Ainaro,Ainaro,Mauulo 2,,-9.01702,125.50397,,,,,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,TL,Lautém,Lospalos,Fuiloro,Sentral,,-8.52188,126.99469,,,,,
Manatuto Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,TL,Manatuto,Manatuto,Aiteas,Carlilo,,-8.53368,126.00626,,,,,
Same Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,TL,Manufahi,Same,Holarua,Haturae,,-8.98788,125.66456,,,,,
Viqueque Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,TL,Viqueque,Viqueque,Caraubalo,Lameklaran,,-8.86043,126.36281,,,,,
Anbar Branch Warehouse,Iraqi Red Crescent Society,Anbar,IQ,Anbar,,,,,,,,,,,
Babylon Branch Warehouse,Iraqi Red Crescent Society,Babylon,IQ,Babylon,,,,,,,,,,,
Baghdad Branch Warehouse,Iraqi Red Crescent Society,Baghdad,IQ,Baghdad,,,,,,,,,,,
Basrah Branch Warehouse,Iraqi Red Crescent Society,Basrah,IQ,Basrah,,,,,,,,,,,
Dahuk Branch Warehouse,Iraqi Red Crescent Society,Dahuk,IQ,Dahuk,,,,,,,,,,,
Diyala Branch Warehouse,Iraqi Red Crescent Society,Diyala,IQ,Diyala,,,,,,,,,,,
Erbil Branch Warehouse,Iraqi Red Crescent Society,Erbil,IQ,Erbil,,,,,,,,,,,
Kerbala Branch Warehouse,Iraqi Red Crescent Society,Kerbala,IQ,Kerbala,,,,,,,,,,,
Missan Branch Warehouse,Iraqi Red Crescent Society,Missan,IQ,Missan,,,,,,,,,,,
Muthanna Branch Warehouse,Iraqi Red Crescent Society,Muthanna,IQ,Muthanna,,,,,,,,,,,
Najaf Branch Warehouse,Iraqi Red Crescent Society,Najaf,IQ,Najaf,,,,,,,,,,,
Ninewa Branch Warehouse,Iraqi Red Crescent Society,Ninewa,IQ,Ninewa,,,,,,,,,,,
Qadissiya Branch Warehouse,Iraqi Red Crescent Society,Qadissiya,IQ,Qadissiya,,,,,,,,,,,
Salah al-Din Branch Warehouse,Iraqi Red Crescent Society,Salah al-Din,IQ,Salah al-Din,,,,,,,,,,,
Sulaymaniyah Branch Warehouse,Iraqi Red Crescent Society,Sulaymaniyah,IQ,Sulaymaniyah,,,,,,,,,,,
Kirkuk Branch Warehouse,Iraqi Red Crescent Society,Kirkuk,IQ,Kirkuk,,,,,,,,,,,
Thi-Qar Branch Warehouse,Iraqi Red Crescent Society,Thi-Qar,IQ,Thi-Qar,,,,,,,,,,,
Wassit Branch Warehouse,Iraqi Red Crescent Society,Wassit,IQ,Wassit,,,,,,,,,,,
Baghdad Strategic Warehouse,Iraqi Red Crescent Society,,IQ,Baghdad,,,,,,,,,,,
Baghdad Regional Warehouse,Iraqi Red Crescent Society,,IQ,Baghdad,,,,,,,,,,,
Babylon Strategic Warehouse,Iraqi Red Crescent Society,,IQ,Babylon,,,,,,,,,,,
Basrah Strategic Warehouse,Iraqi Red Crescent Society,,IQ,Basrah,,,,,,,,,,,
Diwaniya Strategic Warehouse,Iraqi Red Crescent Society,,IQ,Qadissiya,Diwaniya,,,,,,,,,,
Salah al-Din Strategic Warehouse,Iraqi Red Crescent Society,,IQ,Salah al-Din,,,,,,,,,,,
