Keyword,Quantity,Date,Lat,Lon,L4,L3,L2,L1,Country
WATER,1500,,8.330694,-13.07214,,,,,SL
HELP,400,,8.330694,-13.07214,,,,,SL
THANKS,2,,8.330694,-13.07214,,,,,SL
SOS,495,,8.330694,-13.07214,,,,,SL
WATER,1500,,8.217502,-11.06358,,,,,SL
HELP,758,,8.217502,-11.06358,,,,,SL
WATER8,1373,,8.112276,-12.073968,,,,,SL
WATER4,1943,,8.68692,-12.53081,,,,,SL
WATER3,975,,9.2056,-11.95771,,,,,SL
WATER1,3291,,8.89231,-12.04455,,,,,SL
WATER4,2378,,8.476113,-13.23921,,,,,SL
WATER5,3809,,7.859196,-11.18675,,,,,SL
WATER2,525,,8.68102,-12.50146,,,,,SL
WATER6,2544,,8.285248,-10.565941,,,,,SL
WATER8,1256,,8.4779,-13.22929,,,,,SL
HELP1,511,,8.278461,-10.37319,,,,,SL
HELP2,1003,,7.8651,-11.6995,,,,,SL
HELP3,2736,,8.48614,-13.228,,,,,SL
HELP4,1019,,9.059414,-11.736802,,,,,SL
HELP5,639,,9.35832,-11.76657,,,,,SL
HELP6,394,,8.47795,-13.22158,,,,,SL
HELP7,365,,8.345,-13.2319,,,,,SL
