Name,Type,Date,Country,L1,L2,L3,Lat,Lon,Comments
Sabagulau – High Water,High Water,4/03/12,TL,Ainaro,Ainaro,Ainaro,-8.97558,125.50048,
Kertapati – Strong Wind,Strong Wind,2/03/12,TL,Ainaro,Ainaro,Ainaro,-8.98464,125.50353,
Bemoris – Power Cut,Power Failure,2/03/12,TL,Ainaro,Ainaro,Cassa,-9.13367,125.54511,
Qeorema -  Flood,Flood,29/02/12,TL,Ainaro,Hatu-Builico,Mulo,-8.88218,125.53573,
Ausur – Flood,Flood,29/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.12902,125.57946,
Goulau -  Flood,Flood,4/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.11476,125.58599,
Luru – Flash Flood,Flash Flood,29/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.12667,125.58523,
Raisoro – High Water,High Water,1/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.13087,125.59697,
Raesoro – High Water,High Water,1/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.10784,125.58114,
Raibere – High Water,High Water,28/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.06699,125.56467,
Nonuboka – Landslide,Landslide,4/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.13307,125.59534,
Surukraik – Landslide,Landslide,2/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.11004,125.58253,
Leolima – Landslide,Landslide,2/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.11082,125.58594,
Bonuk -  Trapped,People Trapped,4/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.21533,125.53972,
Bonuk – Power Cut,Power Failure,29/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.21533,125.53972,
Hutseo 2 – Power Cut,Power Failure,29/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.15373,125.57941,
Hutseo 1 – Power Cut,Power Failure,2/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.13691,125.58631,
Lese – Power Cut,Power Failure,28/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.13435,125.57018,
Aimerliu – Power Cut,Power Failure,2/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.1349,125.57328,
Bismata -  Power Cut,Power Failure,28/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.13203,125.60486,
Raibere – Blocked,Road Closed,3/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.06699,125.56467,
Groto – Blocked,Road Closed,1/03/12,TL,Ainaro,Hatu-Udo,Leolima,-9.11987,125.58872,
Hatu-Udo – Blocked,Road Closed,29/02/12,TL,Ainaro,Hatu-Udo,Leolima,-9.11958,125.5914,
Hatokade – Landslide,Landslide,1/03/12,TL,Ainaro,Maubisse,Maulau,-8.78311,125.68618,
Locoliu – Strong Wind,Strong Wind,1/03/12,TL,Baucau,Quelicai,Locoliu,-8.61147,126.57092,
Lotan -  Flood,Flood,4/03/12,TL,Bobonaro,Balibo,Batugade,-8.98042,125.00335,
Tititir – High Water,High Water,29/02/12,TL,Ermera,Ermera,Estado,-8.78968,125.38994,
Mangero - Strong Wind,Strong Wind,4/03/12,TL,Ermera,Ermera,Riheu,-8.73912,125.4359,
Gaulala – Strong Wind,Strong Wind,4/03/12,TL,Ermera,Letefoho,Eraulo,-8.80887,125.45694,
Hamahun - Water,High Water,2/03/12,TL,Lautém,Iliomar,Cainliu,-8.64367,126.82452,
Hamahun -  Wind,Strong Wind,3/03/12,TL,Lautém,Iliomar,Cainliu,-8.64367,126.82452,
Caidabu – Flood,Flood,1/03/12,TL,Lautém,Iliomar,Fuat,-8.63494,126.84219,
Caintau – Strong Wind,Strong Wind,2/03/12,TL,Lautém,Iliomar,Iliomar I,-8.713,126.83646,
Iraluruto - Strong Wind,Strong Wind,3/03/12,TL,Lautém,Iliomar,Iliomar II,-8.74461,126.84537,
Tamaro – High Water,High Water,28/02/12,TL,Lautém,Lautém,Baduro,-8.37394,126.88677,
Tamitaru – High Water,High Water,3/03/12,TL,Lautém,Lautém,Baduro,-8.36873,126.89146,
Laculomano – Landslide,Landslide,3/03/12,TL,Lautém,Lautém,Baduro,-8.45596,126.89569,
Liarafa – Landslide,Landslide,3/03/12,TL,Lautém,Lautém,Baduro,-8.35379,126.91561,
Irafala – Collapsed,Bridge Closed,28/02/12,TL,Lautém,Lautém,Baduro,-8.45491,126.88918,
Luandau – Collapsed,Bridge Closed,1/03/12,TL,Lautém,Lautém,Baduro,-8.45368,126.88738,
Baduro – Collapsed,Bridge Closed,2/03/12,TL,Lautém,Lautém,Baduro,-8.45349,126.89121,
