uid,role,description,controller,function,table,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,gis,,,READ,,,,,"Anonymous users can see the Map"
ANONYMOUS,Anonymous,,cr,,,READ,,,,,"Anonymous users can see Shelters"
ANONYMOUS,Anonymous,,hms,,,READ,,,,,"Anonymous users can see Hospitals"
ANONYMOUS,Anonymous,,org,,,READ,,,,,"Anonymous users can see Organisations and Offices"
ANONYMOUS,Anonymous,,req,,,READ,,,,,"Anonymous users can see Requests"
AUTHENTICATED,Authenticated,,doc,,,"READ",,,,,"Authenticated users can access documents"
AUTHENTICATED,Authenticated,,gis,,,"READ","READ|CREATE|UPDATE|DELETE",,,,
AUTHENTICATED,Authenticated,,gis,location,,"READ|CREATE","READ|CREATE|UPDATE|DELETE",,,,"Note the owning role for locations is set to Authenticated by default, so this controls the access that logged in users have. (In general, tables do not have a default owning role.)"
AUTHENTICATED,Authenticated,,hrm,,,"READ|UPDATE",,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,hrm,person,,,"READ|UPDATE",,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,hrm,staff,,,,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,hrm,volunteer,,,,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,inv,,,"READ",,,,,"Authenticated  users can see Warehouses"
AUTHENTICATED,Authenticated,,msg,search,,"READ",,,,,"Custom Controller to allow access to PR via JSON for AutoComplete"
AUTHENTICATED,Authenticated,,pr,,,"READ|UPDATE",,,,,"Authenticated users can only see/edit their own PR records"
AUTHENTICATED,Authenticated,,pr,person,,"CREATE","READ|UPDATE",,,,"But need to be able to add/edit addresses"
AUTHENTICATED,Authenticated,,pr,pentity,,"READ",,,,,"Custom Controller to allow access to PR via JSON for AutoComplete"
