Organisation,Acronym,Catalog,GROUP_CODE,GROUP_DESCRIPTION,FAM,FAMILY_DESCRITPION,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,AUD,Audio Accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,FOD,Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,FOR,Forms,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,GAM,Games & Recreational Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,IDE,Identification Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,OFE,Office Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,PAC,Packing Material,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,PER,Personal Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,PHO,Photography Access,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,PRM,Promotion Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,PRO,Protection,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,SEC,Security Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,STA,Stationary,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,A,Administration,VID,Video Accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,BUD,FOR Budget,,, 
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,CAB,Cables,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,CNT,Connector,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,HFB,Hf Base,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,HFM,Hf Mobile,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,HFP,Hf Portable,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,MEA,Measuring & Marking,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,REP,Repair,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,SAT,Satellite,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,TEL,Telephones,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,UFB,Uf Base,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,UFM,Uhf Mobile,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,UFP,Uf Portable,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,VFB,Vhf Base,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,VFM,Vhf Mobile,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,VFP,Vhf Portable,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,C,Radio & Telecom,WLN,WirelessLAN,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,ASD,Antiseptics & Disinfectants,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,CHP,Chemicals & Pesticides,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,DGT,Diagnostic Tests,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,EXO,External Ophtalmic Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,EXT,External Use Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,INF,Infusions,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,INJ,Injections,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,ORA,Oral Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,D,Drugs,VAS,Vaccines & Sera,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,BUI,Building/Construction,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,ELE,Electric Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,GEN,Generators/Powersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,HDW,Hardware /Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,MAC,Machines & Engines,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,MEA,Measuring & Marking,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,E,Engineering,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,BAF,Basic Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,CAN,Canned Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,CER,Cereals,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,DAI,Dairy,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,NUT,Nutrition,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,OIL,Edible Oil,,,
