item code,item description,length cm,height cm,width cm,volume litre,weight kg,in EIC
CBUDBEAN01,"BEANS, french, extra thin, tin, per kg",0,0,0,0,0,yes
OOMAMOULEC17,"MOULD, for 1 upper part, for elbow cructch, small L17cm",39.5,29,30,34.365,12.6,yes
OOMAMOULEC23,"MOULD, for 1 upper part, for elbow cructch, medium L 23cm",51,27,34,46.818,22,yes
AAUDLOUDCOMBI,LOUDSPEAKER amplified wih tape-deck & wireless hand micro,42,64,37,99.456,14.9,
AAUDLOUDLSM,LOUDSPEAKER Anchor AN-130 (Mini speaker),0,0,0,0,0,
ASTAPTOUZ621,"(P-Touch label maker) TAPE, YELLOW, 9mm, black lettres",9.5,2.1,7.3,0.1456,0.04,
EELESTAB0175,"VOLTAGE STABILIZER, 3 phases independent 400V/230V, 175 KVA",0,0,0,0,0,yes
EELESTAB0250,"VOLTAGE STABILIZER, 3 phases independent 400V/230V, 250 KVA",0,0,0,0,0,
OOMAMARPLB25B,"(large belt grinder mod 306) BELT, 250x2000mm, grit 60",30,23.5,2.5,1.7625,4.7,
OOMAMARPSAFOOT,(for all grinder models) SAFETY FOOT SWITCH,29,17,17,8.381,1,
AFODCHEE01,"CHEESE, long preservation, per kg",0,0,0,0,0,
AFODCHOC01,"CHOCOLATE, per 100g",0,0,0,0,0,
AFODMEAL004,Navarin de mouton 285 grammes,0,0,0,0,0,
AFODMEAL005,Filet de julienne sauce provencale 285 g,0,0,0,0,0,
AFODMWAT1.5,"MINERAL WATER, 1.5L bottle",0,0,0,0,0,
AFOROUTW,OUTWARD REGISTER for shipping (50 sheets),29.6,0.8,21.2,0.502,0.32,
APACBAGSD4,"(bag, diplomatic) LEAD SEAL, bag of 100",0,0,0,0,0,
DORAMULT3T,"MULTIVITAMIN ,12 MINERALS & TRACE elements, tabs (Supradyn®)",5,8,5,0.2,0.08,
DORANALA5T,"NALIDIXIC ACID, 500 mg, tab.",0,0,0,0.001584,0.0009,yes
DORAMULT2T,"VITAMIN B compound, CALCIUM, MAGNESIUM,ZINC, tabs (Berocca®)",11,5,9,0.495,0.18,
EGENHONDEU65,"GENERATOR ""Honda"" EU65, 5.5 KVA, 230V, pétrole",0,0,0,0,0,
TXMEMISC,"MISCELLANEOUS, Mercedes spareparts",0,0,0,0,0,
TXMIMISC,"MISCELLANEOUS, Mitsubishi spareparts",0,0,0,0,0,
TXPEMISC,"MISCELLANOUS, Peugeot spareparts",0,0,0,0,0,
TXPETOOLPPSA1,"DIAGNOSIS TOOL, Peugeot Platform 2000 (router)",0,0,0,0,0,
TXPETOOLPPSA2,"DIAGNOSIS TOOL, Peugeot Platform 2000 (cd)",0,0,0,0,0,
TXPETOOLPPSH1,"DIAGNOSIS TOOL, Pack H1, laptop IBM",0,0,0,0,0,
TXPETOOLPPSH2,"DIAGNOSIS TOOL, Pack H2, socket USB adaptor",0,0,0,0,0,
TXPETOOLPPSH3,"DIAGNOSIS TOOL, Pack H3, external DVD",0,0,0,0,0,
TXRNMISC,"MISCELLANOUS, Renault spareparts",0,0,0,0,0,
TXSAMISC,"MISCELLANEOUS, Samero Spare Parts",0,0,0,0,0,
TXSCMISC,"MISCELLANOUS, Scania spareparts",0,0,0,0,0,
TXSHMISC,"MISCELLANEOUS, Schmitz Spare Parts",0,0,0,0,0,
TXTO04234-68010,"FUEL FILTER, PRE",0,0,0,0,0,
TXTO04434-60031,"GASKET KIT,FR. AXLE OVERHAUL",0,0,0,0,0,
TXTO04465-60030,"PAD KIT, FRONT BRAKE",0,0,0,0,0,
TXTO04495-60060,"SHOE KIT, REAR",0,0,0,0,0,
TXTO13450-18011,FLYWHEEL,0,0,0,0,0,
TXTO13505-17011,IDLER SUB-ASSY,0,0,0,0,0,
